wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1552830,-2210063,hypsographic,Uwo,Uwo,official,-9.495574,161.296547,SB-000,,
-1550607,-2207227,hydrographic,Pia,Pia,official,-7.090529,155.795443,SB-000,,
-1548078,-2204032,park,Lupa,Lupa,official,-8,157.5,SB-000,,
-1546290,-2201756,settlement,Hu,Hu,official,-9.3,161.1,SB-000,,
-1545890,-2201272,settlement,Haa,Haa,official,-9.075312,160.190384,SB-000,,
-2195416,-3038653,park,Melanesia,Melanesia,colloquial,-12,160,S1-000,,
-1552864,-2210116,park,Vaka,Vaka,official,-8.733333,158.133333,SB-000,,
-1552863,-2210115,park,Vaitara,Vaitara,official,-8.3,157.133333,SB-000,,
-1553453,-2210839,settlement,Wango,Wango,official,-10.3,161.566667,SB-000,,
-1552171,19988229,hydrographic,Tao,Tao,official,-9.573801,160.210562,SB-000,,
-1552508,-2209647,settlement,Toa,Toa,official,-9.150403,160.39121,SB-000,,
-1551399,-2208241,hydrographic,Saveke,Saveke,official,-7.395489,155.568177,SB-000,,
-1552170,-2209236,settlement,Taori,Taori,official,-9.42015,161.40223,SB-000,,
-1552380,-2209480,settlement,Telina,Telina,official,-8.521321,158.073394,SB-000,,
-1552381,-2209481,settlement,Telina,Telina,official,-9.894315,160.648354,SB-000,,
-1551678,-2208608,hydrographic,Soto,Soto,official,-9.567909,160.414838,SB-000,,
-1552688,-2209881,settlement,Tunoe,Tunoe,official,-7.123158,156.836263,SB-000,,
-1551400,-2208242,park,Savele,Savele,official,-8.55,157.783333,SB-000,,
-1551679,-2208609,hydrographic,Soto,Soto,official,-9.617977,160.334513,SB-000,,
-1550336,-2206866,hydrographic,Oviovi,Oviovi,official,-9.726642,160.377072,SB-000,,
-1550398,-2206952,park,Pama,Pama,official,-9.483333,160.416667,SB-000,,
-1550677,-2207310,settlement,Pite,Pite,official,-9.799004,159.926199,SB-000,,
-1550548,-2207151,settlement,Pawa,Pawa,official,-10.278907,161.732365,SB-000,,
-1550716,-2207363,settlement,Polo,Polo,official,-6.686403,156.651155,SB-000,,
-1550839,-2207514,park,Putuo,Putuo,official,-7.65,158.783333,SB-000,,
-1550484,-2207066,settlement,Paru,Paru,official,-9.271885,159.655507,SB-000,,
-1551077,-2207816,settlement,Roapu,Roapu,official,-9.631426,161.558154,SB-000,,
-1549155,-2205343,hydrographic,Mignalu,Mignalu,official,-8.5428,159.684273,SB-000,,
-1550049,-2206442,settlement,Noli,Noli,variant,-10.85248,165.852276,SB-000,,
-1549157,-2205345,park,Miho,Miho,official,-8.266667,157.1,SB-000,,
-1549156,-2205344,park,Miho,Miho,official,-8.216667,157.033333,SB-000,,
-1550050,-2206458,park,Noro,Noro,official,-8.266667,157.2,SB-000,,
-1550051,-2206459,settlement,Noro,Noro,official,-8.222737,157.19978,SB-000,,
-1547723,-2203533,park,Laheai,Laheai,official,-7.1,155.85,SB-000,,
-1548736,-2199922,hydrographic,Bani,Bani,variant,-6.613607,156.429507,SB-000,,
-1547703,-2203505,hydrographic,Labau,Labau,official,-8.608816,160.82094,SB-000,,
-1547613,-2203395,park,Kurara,Kurara,official,-9.45,159.916667,SB-000,,
-1548189,-2204177,settlement,Makile,Makile,official,-9.538795,159.617629,SB-000,,
