wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1322398,-1910939,administrative_region,"Anse Louis","Anse Louis",official,-4.733333,55.5,SC-000,1,
-1322658,-1911351,hypsographic,"Round Island","Round Island",variant,-4.35,55.783333,SC-000,,
-1322653,-1911340,hypsographic,"Renommée Rock","Renommee Rock",official,-4.466667,55.85,SC-000,,
-1322488,-1911074,hypsographic,"D’Arros islet","D'Arros islet",variant,-5.4,53.3,SC-000,,
-1322385,-1910913,hydrographic,"African Banks","African Banks",official,-4.883333,53.4,SC-000,,
-1322701,-1911415,hydrographic,"Swan Shoal","Swan Shoal",official,-4,54.566667,SC-000,,
-1322564,-1911201,hypsographic,"Les Sœurs","Les Soeurs",official,-4.283333,55.866667,SC-000,,
-1322415,-1910963,hypsographic,"Beacon Island","Beacon Island",official,-4.616667,55.516667,SC-000,,
-1322686,-1911393,hydrographic,"Sherard Osborn","Sherard Osborn",variant,-4.783333,54.5,SC-000,,
-1322666,-1911364,hydrographic,"Baie Sainte Anne","Baie Sainte Anne",official,-4.333333,55.766667,SC-000,,
-1322429,-1910982,spot,"Bon Espoir Estate","Bon Espoir Estate",official,-4.7,55.5,SC-000,,
-1322588,-1911231,hypsographic,"Mancienne Rocks","Mancienne Rocks",variant,-4.8,55.5,SC-000,,
-1322619,-1911289,hypsographic,"Petite Île","Petite Ile",official,-4.666667,55.416667,SC-000,,
-1322499,-1911098,hypsographic,"Étoile Cay","Etoile Cay",official,-5.883333,53.016667,SC-000,,
-1322631,-1911305,hypsographic,"Poivre islets","Poivre islets",variant,-5.766667,53.316667,SC-000,,
-1322416,-1910965,administrative_region,"Beau Vallon","Beau Vallon",official,-4.608333,55.433333,SC-08,,
-1322454,-1911014,hypsographic,"Cascassaye Island","Cascassaye Island",official,-5.45,53.366667,SC-000,,
-1322425,-1910976,hypsographic,Bird,Bird,variant,-3.716667,55.2,SC-000,,
-1322647,-1910992,hypsographic,"Brulé Island","Brule Island",variant,-4.666667,55.533333,SC-000,,
-1322608,-1911274,hypsographic,"North Island","North Island",official,-4.566667,55.433333,SC-000,,
-1322564,-1911399,hypsographic,"The Sister Islands","The Sister Islands",variant,-4.283333,55.866667,SC-000,,
-1322482,-1911062,hydrographic,"Anse aux Couches","Anse aux Couches",official,-4.716667,55.533333,SC-000,,
-1322560,-1910927,hypsographic,Amirantes,Amirantes,variant,-6,53.166667,SC-000,,
-1322393,-1910934,administrative_region,"Anse aux Pins","Anse aux Pins",official,-4.6875,55.516667,SC-01,,
-1322458,-1911019,hypsographic,"Île au Cerf","Ile au Cerf",official,-4.633333,55.5,SC-000,,
-1322559,-1911196,hypsographic,"Le Rocher","Le Rocher",official,-4.65,55.466667,SC-000,,
-1322478,-1911055,hydrographic,"Conquest Shoal","Conquest Shoal",variant,-4.383333,54.266667,SC-000,,
-1322423,-1910974,hydrographic,"Bertaut Reef","Bertaut Reef",official,-5.666667,53.233333,SC-000,,
-1322468,-1911035,hypsographic,"Chien islet","Chien islet",variant,-5.433333,53.333333,SC-000,,
-1322450,-1911009,settlement,Cascade,Cascade,official,-4.666667,55.5,SC-000,,
-1322578,-1911228,hypsographic,Mamelles,Mamelles,official,-4.483333,55.533333,SC-000,,
-1322563,-1911429,hydrographic,"The Wash","The Wash",variant,-4.333333,55.8,SC-000,,
-1322577,-1911223,hydrographic,"Anse Major","Anse Major",official,-4.616667,55.383333,SC-000,,
-1322438,-1910994,hypsographic,"Pointe Cabris","Pointe Cabris",official,-4.616667,55.45,SC-000,,
-1322471,-1911038,hydrographic,"Anse Cimetière","Anse Cimetiere",official,-4.683333,55.533333,SC-000,,
-1322724,-1911445,hydrographic,"Victoria Harbour","Victoria Harbour",official,-4.616667,55.483333,SC-000,,
-1322441,-1910998,hydrographic,"Caiman River","Caiman River",official,-4.7,55.483333,SC-000,,
-1322692,-1911404,hypsographic,"Souris islet","Souris islet",variant,-4.733333,55.516667,SC-000,,
-1322676,-1911378,hydrographic,"Seagull Shoal","Seagull Shoal",official,-4.683333,54.166667,SC-000,,
-1322458,-1911020,hypsographic,"Cerf Island","Cerf Island",variant,-4.633333,55.5,SC-000,,
-1322413,-1910959,hydrographic,"Bar Silhouette","Bar Silhouette",official,-3.833333,55.216667,SC-000,,
-1322662,-1911357,hydrographic,"Anse Royale","Anse Royale",official,-4.733333,55.516667,SC-000,,
-1322507,-1911113,hydrographic,"Anse François","Anse Francois",official,-4.666667,55.516667,SC-000,,
-1322392,-1910930,hypsographic,"Annonyme Island","Annonyme Island",variant,-4.65,55.516667,SC-000,,
-1322609,-1911275,hypsographic,"North Island","North Island",official,-4.866667,53.383333,SC-000,,
-1322593,-1911171,settlement,"La Misere","La Misere",variant,-4.666667,55.466667,SC-000,,
-1322504,-1911109,hydrographic,"Anse Forbans","Anse Forbans",official,-4.783333,55.516667,SC-000,,
-1322489,-1911078,hypsographic,"Dennis Island","Dennis Island",variant,-3.8,55.666667,SC-000,,
-1322446,-1911005,hypsographic,"Capucin Rock","Capucin Rock",official,-4.816667,55.516667,SC-000,,
-1322474,-1911045,hypsographic,"Coetivy Island","Coetivy Island",variant,-7.133333,56.266667,SC-000,,
-1322723,-1911219,settlement,Mahé,Mahe,variant,-4.616667,55.45,SC-000,,
-1322716,-1911203,hypsographic,"Les Trois Freres","Les Trois Freres",variant,-4.633333,55.433333,SC-000,,
-1322681,-1911385,administrative_region,"Colony of the Seychelles","Colony of the Seychelles",variant,-4.583333,55.666667,SC-000,,
-1322501,-1911161,hypsographic,"Joâo de Nova","Joao de Nova",variant,-10.166667,51.166667,SC-000,,
-1322708,-1911422,hypsographic,"Cape Ternay","Cape Ternay",official,-4.633333,55.366667,SC-000,,
-1322576,-1911138,hydrographic,"Great Pass","Great Pass",variant,-9.366667,46.25,SC-000,,
