wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-4525,-6498,administrative_region,"Wilāyat Dārfūr","Wilayat Darfur",official,13,25,SD-000,1,
-4525,-6496,administrative_region,Darfur,Darfur,variant,13,25,SD-000,1,
-9441,-15070,administrative_region,"Wilāyat Kurdufān","Wilayat Kurdufan",official,13,29.5,SD-000,1,
-2864,-21872,administrative_region,"Al Iqlīm ash Sharqī","Al Iqlim ash Sharqi",variant,18,36,SD-000,1,
-1570,-6094,administrative_region,Central,Central,variant,13,33,SD-000,1,
-2864,-4013,administrative_region,"Al Wilāyah ash Sharqīyah","Al Wilayah ash Sharqiyah",official,18,36,SD-000,1,
-9441,-14629,administrative_region,Kordofan,Kordofan,variant,13,29.5,SD-000,1,
-1570,-2407,administrative_region,"Al Wilāyah al Wusţá","Al Wilayah al Wusta",official,13,33,SD-000,1,
-9441,-15068,administrative_region,"Iqlim Kurdofan","Iqlim Kurdofan",variant,13,29.5,SD-000,1,
-2864,-7568,administrative_region,Eastern,Eastern,variant,18,36,SD-000,1,
-14455,-22487,hydrographic,Simdu,Simdu,official,12.6,24.633333,SD-DS,,
-14972,-23327,hydrographic,Tarni,Tarni,official,13.313199,24.84974,SD-DN,,
-11814,-18399,settlement,Nagak,Nagak,official,12.716667,30.8,SD-KN,,
-14706,-22920,hydrographic,Suriba,Suriba,short,16.483333,34,SD-NR,,
9085423,9089860,settlement,Mwes,Mwes,official,16.6694,33.3681,SD-NR,,
9085674,9090306,settlement,Gadlab,Gadlab,official,17.0601,33.667,SD-NR,,
10512109,11076862,settlement,Aqadi,Aqadi,official,11.8039,34.0732,SD-NB,,
10478292,11020344,park,Lūy,Luy,official,17.7138,37.5378,SD-RS,,
11079507,12335751,settlement,Nyari,Nyari,official,13.389871,24.204424,SD-DN,,
11079545,12335843,settlement,Kewa,Kewa,official,13.013644,24.168315,SD-DC,,
-3180531,-4833958,hypsographic,"Jabal ‘Uwaynāt","Jabal `Uwaynat",variant,21.9,24.966667,S1-000,,
-3180531,-4460958,hypsographic,"Jabal al ‘Awaynāt","Jabal al `Awaynat",variant,21.9,24.966667,S1-000,,
-3180531,-4833957,hypsographic,"Gebél Auenat","Gebel Auenat",variant,21.9,24.966667,S1-000,,
-3180531,-4833959,hypsographic,"Jebel Uweinat","Jebel Uweinat",variant,21.9,24.966667,S1-000,,
-3180531,-4493620,hypsographic,"Jebel ‘Uweinat","Jebel `Uweinat",variant,21.9,24.966667,S1-000,,
-3180531,-4493599,hypsographic,"Jabal al ‘Uwaynāt","Jabal al `Uwaynat",official,21.9,24.966667,S1-000,,
-3180531,-4479459,hypsographic,"Jebel Oweinat","Jebel Oweinat",variant,21.9,24.966667,S1-000,,
-3180531,-4493621,hypsographic,"Jebel ‘Uwēnat","Jebel `Uwenat",variant,21.9,24.966667,S1-000,,
-3180531,-4460920,hypsographic,"Gebel el-Auenát","Gebel el-Auenat",variant,21.9,24.966667,S1-000,,
-3180531,-4493618,hypsographic,"Gebel ‘Uweinat","Gebel `Uweinat",variant,21.9,24.966667,S1-000,,
-3180531,-4493619,hypsographic,"Jabal ‘Uweinat","Jabal `Uweinat",variant,21.9,24.966667,S1-000,,
-3180531,-4460288,hypsographic,"Jebel Arkenu","Jebel Arkenu",variant,21.9,24.966667,S1-000,,
-3180531,13879880,hypsographic,"جبل العوينات","جبل العوينات",unknown,21.9,24.966667,S1-000,,
-1351607,-1936666,hypsographic,Djimgamba,Djimgamba,variant,8.276696,24.253829,S1-000,,
-1351607,-1946140,hypsographic,"Jabal Gingamba","Jabal Gingamba",official,8.276696,24.253829,S1-000,,
-1351518,-1946046,hypsographic,"Djebel Yara","Djebel Yara",variant,9.891902,23.670198,S1-000,,
-1351607,11651591,hypsographic,Yingamba,Yingamba,official,8.276696,24.253829,S1-000,,
-1351607,-1946139,hypsographic,"Djebel Yingamba","Djebel Yingamba",variant,8.276696,24.253829,S1-000,,
-1351518,11650822,hypsographic,Yara,Yara,official,9.891902,23.670198,S1-000,,
-1351607,11651593,hypsographic,"Jebel Gingamba","Jebel Gingamba",variant,8.276696,24.253829,S1-000,,
-1351607,-1937678,hypsographic,"Jebal Gingamba","Jebal Gingamba",variant,8.276696,24.253829,S1-000,,
-1351518,11650839,hypsographic,"Jebel Yarra","Jebel Yarra",official,9.891902,23.670198,S1-000,,
-1351518,-1946047,hypsographic,"Jabal Yarra","Jabal Yarra",variant,9.891902,23.670198,S1-000,,
-1350078,-1944346,hypsographic,"Jabal Rumbukindi",JabalRumbukindi,official,8.85,23.55,S1-000,,
-1350546,-1944910,park,"At Ta‘ā’ishah","At Ta`a'ishah",official,10.25,23.2,S1-000,,
-1350546,-1944909,park,Taaisa,Taaisa,official,10.25,23.2,S1-000,,
