wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
6070500,6077667,hydrographic,"Tors Både","Tors Bade",official,58.35,11.2,SE-O,,
6070327,6077494,settlement,Hultevik,Hultevik,official,58.266667,11.516667,SE-O,,
6070860,6078027,hydrographic,Gräsbåden,Grasbaden,official,58.35,11.25,SE-O,,
6070059,6077210,hypsographic,Brusen,Brusen,official,58.083333,11.766667,SE-O,,
6070672,6077839,hypsographic,Ringburen,Ringburen,official,58.330556,11.883333,SE-O,,
6070150,6077301,hypsographic,Skutholmen,Skutholmen,official,58.119444,11.6,SE-O,,
6070612,6077779,hypsographic,Kråkholmen,Krakholmen,official,58.266667,11.833333,SE-O,,
6070914,6078081,spot,"Östra Kajen","Ostra Kajen",official,58.354167,11.916667,SE-O,,
6070695,6077862,hydrographic,Sandviken,Sandviken,official,58.372222,11.616667,SE-O,,
6070613,6077780,hypsographic,Kollholm,Kollholm,official,58.272222,11.816667,SE-O,,
6070832,6077999,hypsographic,Stenen,Stenen,official,58.458333,11.25,SE-O,,
6070589,6077756,hydrographic,Strömmarna,Strommarna,official,58.238889,11.55,SE-O,,
6070064,6077215,hypsographic,"Yttre Kullen","Yttre Kullen",official,58.1,11.666667,SE-O,,
6070223,6077374,hypsographic,Roholmen,Roholmen,official,58.154167,11.416667,SE-O,,
6070180,6077331,settlement,Gullberg,Gullberg,official,58.172222,11.466667,SE-O,,
6070481,6077648,hypsographic,"Lösa Tångarna","Losa Tangarna",official,58.338889,11.258333,SE-O,,
6069835,6076986,hypsographic,"Norra Bågaren","Norra Bagaren",official,58.008333,11.5,SE-O,,
6070483,6077650,hypsographic,"Stora Silleskär","Stora Silleskar",official,58.338889,11.25,SE-O,,
6069636,6076753,hypsographic,Brandholmen,Brandholmen,official,57.861648,11.636409,SE-O,,
6070122,6077273,hypsographic,Buskären,Buskaren,official,58.104167,11.375,SE-O,,
6069978,6077129,settlement,Äng,Ang,official,58.070833,11.516667,SE-O,,
6069963,6077114,hypsographic,Ängholmen,Angholmen,official,58.072222,11.7,SE-O,,
6069909,6077060,hydrographic,"Bräcke Kile","Bracke Kile",official,57.977778,11.683333,SE-O,,
