wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2686419,-3705415,hypsographic,"Indian Archipelago","Indian Archipelago",variant,1.0E-6,120,S1-000,,
-2686419,-3701207,hypsographic,"East Indian Archipelago","East Indian Archipelago",variant,1.0E-6,120,S1-000,,
-2686419,-3719028,hypsographic,"Malay Archipelago","Malay Archipelago",official,1.0E-6,120,S1-000,,
-2686419,-3705424,hypsographic,Indonesia,Indonesia,variant,1.0E-6,120,S1-000,,
-2686419,-3719005,hypsographic,Malasia,Malasia,variant,1.0E-6,120,S1-000,,
-2686419,-3719029,hypsographic,Malaysia,Malaysia,variant,1.0E-6,120,S1-000,,
-2686419,-3688244,hypsographic,"Asiatic Archipelago","Asiatic Archipelago",variant,1.0E-6,120,S1-000,,
-2686419,19493316,hypsographic,"Kapuluang Malay","Kapuluang Malay",official,1.0E-6,120,S1-000,,
-2686419,-3701208,hypsographic,"East Indies","East Indies",variant,1.0E-6,120,S1-000,,
-2686419,19493315,hypsographic,"Arquipélago Malaio","Arquipelago Malaio",official,1.0E-6,120,S1-000,,
-2686419,19493314,hypsographic,"Kepulauan Melayu","Kepulauan Melayu",official,1.0E-6,120,S1-000,,
-2686419,-3701204,hypsographic,"Eastern Archipelago","Eastern Archipelago",variant,1.0E-6,120,S1-000,,
-2405147,-3320793,hydrographic,"Salat Tebrau","Salat Tebrau",variant,1.466667,103.8,S1-000,,
-2405147,-3320792,hydrographic,"Old Strait","Old Strait",variant,1.466667,103.8,S1-000,,
-2405147,-3320790,hydrographic,"Straits of Johore","Straits of Johore",variant,1.466667,103.8,S1-000,,
-2405147,262849,hydrographic,"Johor Strait","Johor Strait",variant,1.466667,103.8,S1-000,,
-2405147,-3320791,hydrographic,"Selat Johor","Selat Johor",official,1.466667,103.8,S1-000,,
-2405147,-3320794,hydrographic,"Selat Tebrau","Selat Tebrau",variant,1.466667,103.8,S1-000,,
-2405147,-3320789,hydrographic,"Johor Straits","Johor Straits",variant,1.466667,103.8,S1-000,,
-2405147,-3320787,hydrographic,"Johore Strait","Johore Strait",colloquial,1.466667,103.8,S1-000,,
-73093,-107200,hypsographic,Benwi,Benwi,short,1.316667,103.683333,SG-000,,
-73734,-108053,settlement,"Ulu Bedok","Ulu Bedok",short,1.333333,103.933333,SG-000,,
-73774,-108091,settlement,"Tanjong Pagar","Tanjong Pagar",short,1.283333,103.833333,SG-000,,
-73761,-108088,hydrographic,Yuchi,Yuchi,variant,1.373333,103.665556,SG-000,,
-73761,33566,hydrographic,"Sungai Yuchi","Sungai Yuchi",official,1.373333,103.665556,SG-000,,
-73760,-108085,settlement,"Yio Chu Kang Estate","Yio Chu Kang Estate",official,1.389722,103.853889,SG-000,,
-73759,-108084,settlement,"Yio Chu Kang","Yio Chu Kang",official,1.391111,103.851389,SG-000,,
-73759,-108086,settlement,"Yio Chu Kang Village","Yio Chu Kang Village",variant,1.391111,103.851389,SG-000,,
-73758,-108083,spot,"Yio Chu Kang I","Yio Chu Kang I",official,1.374167,103.842778,SG-000,,
