wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1205608,-1771623,hypsographic,"Red Rock","Red Rock",official,-15.94214,-5.747939,SH-HL,,
-1205432,-1771422,spot,"High Point","High Point",official,-15.95,-5.733333,SH-HL,,
-1205423,-1771411,hypsographic,"Hayes Hill","Hayes Hill",official,-7.933333,-14.416667,SH-AC,,
-1205246,-1771207,spot,"Bates Branch","Bates Branch",official,-15.966667,-5.716667,SH-HL,,
-1205582,-1771595,hypsographic,"Porpoise Point","Porpoise Point",official,-7.899647,-14.351727,SH-AC,,
-1205735,-1771769,hypsographic,"Travellers Hill","Travellers Hill",official,-7.93821,-14.367396,SH-AC,,
-1205643,-1771668,administrative_region,"Saint Helena","Saint Helena",variant,-15.95,-5.7,SH-000,,
-1205329,-1771296,park,"Cricket Valley","Cricket Valley",official,-7.95,-14.333333,SH-AC,,
-1205361,-1771332,spot,"East Lodge","East Lodge",official,-15.95,-5.716667,SH-HL,,
-1205557,-1771564,hypsographic,"Old Father Point","Old Father Point",official,-16.007541,-5.761641,SH-HL,,
-1205276,-1771239,hypsographic,"Bonfire Ridge","Bonfire Ridge",official,-15.960017,-5.682947,SH-HL,,
-1205615,-1771630,spot,"Rock Farm","Rock Farm",official,-15.983333,-5.716667,SH-HL,,
-1205585,-1771598,hydrographic,"Potato Bay","Potato Bay",official,-16.003295,-5.711472,SH-HL,,
-1205445,-1771435,hypsographic,"Horse’s Head","Horse's Head",official,-16.007157,-5.71304,SH-HL,,
-1205379,-1771353,hypsographic,"Flagstaff Hill","Flagstaff Hill",official,-15.919824,-5.679957,SH-HL,,
-1205225,-1771180,hypsographic,"Anchorstock Point","Anchorstock Point",official,-37.118432,-12.350407,SH-TA,,
-1205496,-1771494,settlement,Longwood,Longwood,official,-15.94916,-5.685712,SH-HL,,
-1205643,12293025,administrative_region,"Saint Helena, Ascension, and Tristan da Cunha","Saint Helena, Ascension, and Tristan da Cunha",official,-15.95,-5.7,SH-000,,
-1205547,-1771554,hypsographic,"North East Point","North East Point",official,-7.913057,-14.333213,SH-AC,,
-1205279,-1771242,hypsographic,"Botleys Point","Botleys Point",official,-15.998068,-5.753612,SH-HL,,
-1205572,-1771583,hypsographic,"Perfect Crater","Perfect Crater",official,-7.933333,-14.366667,SH-AC,,
