wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-85479,-124729,settlement,Kovk,Kovk,official,46.133333,15.116667,SI-034,,
-92062,-134288,settlement,Plat,Plat,official,46.5,14.866667,SI-074,,
-99400,-145398,settlement,Vas,Vas,official,45.474722,14.869167,SI-165,,
-100181,-146486,hypsographic,Vežica,Vezica,official,46.35,14.65,SI-067,,
94573,116738,settlement,Brdo,Brdo,short,46.122778,14.642222,SI-023,,
105209,129404,hypsographic,Ter,Ter,official,45.757778,13.9675,SI-111,,
98708,121691,settlement,Vrh,Vrh,short,45.867778,15.521389,SI-009,,
-2551001,-3512710,hypsographic,Alpi,Alpi,official,46.416667,10,S1-000,,
-2551001,-3512719,hypsographic,Alps,Alps,colloquial,46.416667,10,S1-000,,
-2551001,-3512681,hypsographic,Alpe,Alpe,official,46.416667,10,S1-000,,
-2551001,15216851,hypsographic,Alps,Alps,official,46.416667,10,S1-000,,
-2551001,-3515229,hypsographic,"Les Alpes","Les Alpes",variant,46.416667,10,S1-000,,
-2551001,-3512704,hypsographic,Alpes,Alpes,official,46.416667,10,S1-000,,
-2551001,-3512699,hypsographic,Alpen,Alpen,official,46.416667,10,S1-000,,
-1994707,-2766442,hypsographic,Loščica,Loscica,variant,46.5,13.816667,S1-000,,
-1992368,-2763271,hypsographic,"Kamniške Planine","Kamniske Planine",variant,46.383333,14.583333,S1-000,,
-1992368,-2776193,hypsographic,"Steiner Alpen","Steiner Alpen",official,46.383333,14.583333,S1-000,,
-1992368,-2774008,hypsographic,Savinjske,Savinjske,variant,46.383333,14.583333,S1-000,,
-1992368,-2776194,hypsographic,"Savinjske Alpe","Savinjske Alpe",official,46.383333,14.583333,S1-000,,
-1994707,-2778764,hypsographic,Voisca,Voisca,variant,46.5,13.816667,S1-000,,
-1994707,-2780588,hypsographic,Woschza,Woschza,official,46.5,13.816667,S1-000,,
-1994707,-2778991,hypsographic,Vošca,Vosca,official,46.5,13.816667,S1-000,,
-1992368,-2763270,hypsographic,"Kamniške Alpe","Kamniske Alpe",variant,46.383333,14.583333,S1-000,,
-1991856,6096995,hypsographic,Sneschnik,Sneschnik,official,46.474444,14.697778,S1-000,,
-1991541,-2775176,hypsographic,"Pass See-Berg","Pass See-Berg",variant,46.416667,14.516667,S1-000,,
-1991541,-2775174,hypsographic,Seeberg,Seeberg,variant,46.416667,14.516667,S1-000,,
-1991856,-2774563,hypsographic,Schneschnig,Schneschnig,variant,46.474444,14.697778,S1-000,,
-1991541,-2775177,hypsographic,Seebergsattel,Seebergsattel,official,46.416667,14.516667,S1-000,,
-1991541,-2775178,hypsographic,"Jezerski Vrh","Jezerski Vrh",official,46.416667,14.516667,S1-000,,
-1991856,-2775555,hypsographic,Sneschnig,Sneschnig,variant,46.474444,14.697778,S1-000,,
-1991856,-2775556,hypsographic,Sneženik,Snezenik,official,46.474444,14.697778,S1-000,,
-1991856,-2775558,hypsographic,Snežnik,Sneznik,variant,46.474444,14.697778,S1-000,,
-1988295,-2771063,hypsographic,Possruck,Possruck,official,46.616667,15.466667,S1-000,,
-1988651,9041503,hypsographic,Radelj,Radelj,official,46.640833,15.212222,S1-000,,
-1988295,-2771055,hypsographic,Posruck,Posruck,variant,46.616667,15.466667,S1-000,,
-1988651,-2771503,hypsographic,"Radel Pass","Radel Pass",variant,46.640833,15.212222,S1-000,,
-1988295,-2771064,hypsographic,Kozjak,Kozjak,official,46.616667,15.466667,S1-000,,
-1988651,-2771504,hypsographic,Radel,Radel,variant,46.640833,15.212222,S1-000,,
-1988651,-2771534,hypsographic,Radlpass,Radlpass,variant,46.640833,15.212222,S1-000,,
-1988651,9041504,hypsographic,Radlpaß,Radlpass,official,46.640833,15.212222,S1-000,,
-1985386,-130316,hypsographic,Mlinzasattel,Mlinzasattel,official,46.5,13.983333,S1-000,,
-1987341,-2779328,park,Warth,Warth,variant,47.25,16.416667,S1-000,,
-1985720,-4851873,hydrographic,Mura,Mura,official,46.3,16.916667,S1-000,,
-1985386,-2767580,hypsographic,Mlinca,Mlinca,official,46.5,13.983333,S1-000,,
-1985720,-2767972,hydrographic,Mur,Mur,official,46.3,16.916667,S1-000,,
-1987341,19727069,park,"Őrség Hegyhát","Orseg Hegyhat",variant,47.25,16.416667,S1-000,,
-1987341,-2769884,park,Őrség,Orseg,official,47.25,16.416667,S1-000,,
-1985386,-2767579,hypsographic,"Mlince Sattel","Mlince Sattel",variant,46.5,13.983333,S1-000,,
-1984045,-2765935,hydrographic,Lendva,Lendva,official,46.483333,16.583333,S1-000,,
-1984045,-2766073,hydrographic,Libenica,Libenica,variant,46.483333,16.583333,S1-000,,
-1984045,-2765937,hydrographic,Ledava,Ledava,official,46.483333,16.583333,S1-000,,
-1984045,-2765931,hydrographic,Lendava,Lendava,variant,46.483333,16.583333,S1-000,,
-1975877,-2756188,hydrographic,Drave,Drave,variant,45.55,18.916667,S1-000,,
-1975877,15692493,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-1268348,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-2756189,hydrographic,Dravus,Dravus,variant,45.55,18.916667,S1-000,,
-1975877,-1268331,hydrographic,"Drau Fluss","Drau Fluss",variant,45.55,18.916667,S1-000,,
-1975877,15248504,hydrographic,Drava,Drava,colloquial,45.55,18.916667,S1-000,,
-1975877,-2756185,hydrographic,Drau,Drau,official,45.55,18.916667,S1-000,,
-1975877,-2756184,hydrographic,"Drava River","Drava River",colloquial,45.55,18.916667,S1-000,,
-1975877,-2756186,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-2756187,hydrographic,Dráva,Drava,official,45.55,18.916667,S1-000,,
-1151841,19650071,hypsographic,"Балкански Полуостров","Балкански Полуостров",unknown,44,23,S1-000,,
-1151841,-1698243,hypsographic,"Balkanski Poluostrov","Balkanski Poluostrov",official,44,23,S1-000,,
-1151841,19650073,hypsographic,"Βαλκανική Χερσόνησο","Βαλκανική Χερσόνησο",unknown,44,23,S1-000,,
-1151841,19650065,hypsographic,"Valkanikí Chersónisos","Valkaniki Chersonisos",official,44,23,S1-000,,
