wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2747895,19727593,park,Norðurlond,Nordhurlond,short,62,-6,S1-000,,
-2747895,19727615,park,"Nunat Avannarliit","Nunat Avannarliit",short,62,-6,S1-000,,
-2747895,19727617,park,Norden,Norden,official,62,-6,S1-000,,
-2747895,19727592,park,Norðurlöndin,Nordhurlondin,short,62,-6,S1-000,,
-2747895,19727616,park,Norden,Norden,official,62,-6,S1-000,,
-2747895,-3813561,park,Norden,Norden,official,62,-6,S1-000,,
-2747895,19727614,park,Pohjoismaat,Pohjoismaat,short,62,-6,S1-000,,
-2465632,-3398333,hydrographic,Ymerbukta,Ymerbukta,official,78.270134,13.954379,XR-000,,
-2465656,-3398395,hypsographic,Zeipelodden,Zeipelodden,official,79.668008,20.462794,XR-000,,
-2465487,-3397831,hydrographic,"Vestre Lognedalsbre","Vestre Lognedalsbre",official,77.487301,14.130968,XR-000,,
-2465632,-3398337,hydrographic,Ymesbukta,Ymesbukta,variant,78.270134,13.954379,XR-000,,
-2465562,-3398061,hypsographic,Watnelieøyra,Watnelieoyra,official,79.416667,13.416667,XR-000,,
-2465506,-3397873,hypsographic,Vikinghøgda,Vikinghogda,official,78.283333,16.8,XR-000,,
-2465574,-3398109,hypsographic,"Monts Wergeland","Monts Wergeland",variant,79.166667,13,XR-000,,
-2465664,-3398423,hypsographic,"Zittel’s Berg","Zittel's Berg",variant,77.378708,15.44562,XR-000,,
-2465665,-3398427,hydrographic,Zorgdragers-Bay,Zorgdragers-Bay,variant,80.412331,22.709013,XR-000,,
-2465492,-3397838,hypsographic,"Mount Vestvalla","Mount Vestvalla",variant,79.633333,11.333333,XR-000,,
-2465535,-3398296,hydrographic,"Bay Wosse","Bay Wosse",variant,78.430986,20.558031,XR-000,,
-2465566,-3398081,hypsographic,Waynfletefjellet,Waynfletefjellet,official,78.960476,17.298609,XR-000,,
-2465526,-3397940,hydrographic,Vollvatnet,Vollvatnet,official,76.595607,16.383466,XR-000,,
-2465529,-3397946,hypsographic,"Von Otterøyane","Von Otteroyane",official,79.260004,20.142334,XR-000,,
-2465617,-3398182,hydrographic,"Wiche Sound","Wiche Sound",variant,79.833333,14,XR-000,,
-2465507,-3397868,hydrographic,"Viken Gletscher","Viken Gletscher",variant,79.65,11.333333,XR-000,,
-2465560,-3398053,hypsographic,Wargentinflya,Wargentinflya,official,80.148525,18.296198,XR-000,,
-2465518,-3397897,hypsographic,Visingsøya,Visingsoya,variant,79.983898,18.197982,XR-000,,
-2465550,-3398003,hypsographic,Waldenøya,Waldenoya,official,80.619706,19.77404,XR-000,,
-2465559,-3398054,hypsographic,"Wargentins Berg","Wargentins Berg",variant,80.074163,18.705609,XR-000,,
-2465617,-3396001,hydrographic,Skayers-Bay,Skayers-Bay,variant,79.833333,14,XR-000,,
-2465535,-3398297,hydrographic,"Baye Wossen","Baye Wossen",variant,78.430986,20.558031,XR-000,,
-2465585,-3398256,hydrographic,"Witches Bay","Witches Bay",variant,78.376156,19.157725,XR-000,,
-2465585,-3398160,hydrographic,"Whales Wiches bay","Whales Wiches bay",variant,78.376156,19.157725,XR-000,,
-2465617,-3397288,hydrographic,Træbaien,Traebaien,variant,79.833333,14,XR-000,,
-2465511,-3397881,hydrographic,Vimsosen,Vimsosen,official,77.109868,15.042799,XR-000,,
-2465610,-3398264,hypsographic,Wittenburgfjella,Wittenburgfjella,official,78.566667,13.533333,XR-000,,
-2465517,-3397891,hydrographic,Virgo-Satama,Virgo-Satama,variant,79.733333,10.933333,XR-000,,
-2465601,-3398231,hypsographic,Willeberget,Willeberget,official,79.166667,11.433333,XR-000,,
-2465648,-3398364,hypsographic,Zachariassendalen,Zachariassendalen,official,78.083333,14.266667,XR-000,,
-2465604,-3398243,hydrographic,Wilnobreen,Wilnobreen,official,77.286459,15.987158,XR-000,,
-2465517,-3398255,hydrographic,"Wirgo Havn","Wirgo Havn",variant,79.733333,10.933333,XR-000,,
-2465556,-3398045,hydrographic,Wandbreen,Wandbreen,official,78.4,17.5,XR-000,,
-2465571,-3398106,hypsographic,Wendelbofjellet,Wendelbofjellet,official,77.87615,14.448525,XR-000,,
