wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
47062,60084,settlement,Mapota,Mapota,official,8.601844,-13.064672,SL-N,,
47492,60576,settlement,Baia,Baia,official,8.656868,-13.195,SL-N,,
12365648,15344507,hydrographic,Maye,Maye,official,7.907967,-11.412854,SL-E,,
12371755,15355603,settlement,Maka,Maka,official,7.330381,-11.96903,SL-S,,
12388423,15387832,settlement,Petefu,Petefu,official,7.985957,-12.369846,SL-S,,
12359017,15331846,hydrographic,Mosiri,Mosiri,official,8.450953,-12.777803,SL-N,,
12356405,15326466,hydrographic,Kuse,Kuse,official,9.909235,-11.895948,SL-N,,
12464952,15521613,settlement,Toro,Toro,official,8.629378,-12.757758,SL-N,,
12420557,15446598,settlement,Tewo,Tewo,official,8.076536,-10.691558,SL-E,,
12386002,15375131,settlement,Towobu,Towobu,official,8.07625,-12.37567,SL-S,,
12362768,15339273,hydrographic,Koye,Koye,official,7.896177,-11.637642,SL-S,,
12360438,15334559,settlement,Yema,Yema,official,8.324974,-12.840184,SL-S,,
12557433,15691496,hydrographic,Boagi,Boagi,official,8.587515,-11.053088,SL-E,,
12375025,15361755,settlement,Tamba,Tamba,official,8.298914,-10.593197,SL-E,,
12356609,15326982,hydrographic,Mantia,Mantia,official,9.81536,-11.752055,SL-N,,
12372954,15357664,settlement,Jembe,Jembe,official,7.527347,-11.563872,SL-S,,
12386510,15376530,hydrographic,Gbare,Gbare,official,9.11132,-12.581844,SL-N,,
12377120,15365073,settlement,Meme,Meme,official,7.43729,-11.388316,SL-S,,
12510368,15606248,hydrographic,Wanga,Wanga,official,8.888161,-10.574647,SL-E,,
12358059,15330078,hydrographic,Londi,Londi,official,7.070129,-11.541657,SL-S,,
12408089,15423100,hydrographic,Goya,Goya,official,8.024597,-10.976967,SL-E,,
12454715,15504810,settlement,Futa,Futa,official,8.919471,-12.499903,SL-N,,
12363404,15340487,settlement,Nwala,Nwala,official,8.365063,-12.402088,SL-N,,
12375163,15361926,settlement,Jimila,Jimila,official,8.266607,-10.5811,SL-E,,
12548058,15677076,settlement,Mayan,Mayan,official,8.657891,-11.892185,SL-N,,
12559845,15698748,hydrographic,Temi,Temi,official,8.657855,-12.440137,SL-N,,
12356899,15327430,hypsographic,Kabo,Kabo,official,9.647947,-11.960216,SL-N,,
12547437,15675854,settlement,Kopur,Kopur,official,8.839478,-11.863314,SL-N,,
-2133691,-2960070,hydrographic,Makana,Makana,variant,6.972954,-11.595555,S1-000,,
-2133853,-2960969,hydrographic,"Njagohun Creek","Njagohun Creek",variant,8.083034,-10.773243,S1-000,,
-2133789,-2954615,hydrographic,"Bewa River","Bewa River",variant,6.925699,-11.494334,S1-000,,
-2134110,-2955710,hydrographic,Dakka,Dakka,variant,8.448185,-10.398773,S1-000,,
-2133789,-2960232,hydrographic,Mano,Mano,official,6.925699,-11.494334,S1-000,,
-2133789,-2961289,hydrographic,Payao,Payao,variant,6.925699,-11.494334,S1-000,,
-2134029,-2960593,hydrographic,"Morra River","Morra River",variant,7.413789,-11.049582,S1-000,,
-2133789,-2957273,hydrographic,Gbeyar,Gbeyar,variant,6.925699,-11.494334,S1-000,,
-2133789,-2960211,hydrographic,"Manna River","Manna River",variant,6.925699,-11.494334,S1-000,,
-2134110,-2960732,hydrographic,Daka,Daka,official,8.448185,-10.398773,S1-000,,
-2133853,-2960326,hydrographic,"Mauwa River","Mauwa River",official,8.083034,-10.773243,S1-000,,
-2133789,-2958899,hydrographic,Keiha,Keiha,variant,6.925699,-11.494334,S1-000,,
-2133691,-2962405,hydrographic,Sulima,Sulima,variant,6.972954,-11.595555,S1-000,,
-2133853,-2958268,hydrographic,"Creek Jargohen","Creek Jargohen",variant,8.083034,-10.773243,S1-000,,
-2133691,127475,hydrographic,"Moa River","Moa River",variant,6.972954,-11.595555,S1-000,,
-2133789,-2957194,hydrographic,Gbea,Gbea,variant,6.925699,-11.494334,S1-000,,
-2133789,-2958698,hydrographic,Kaihala,Kaihala,variant,6.925699,-11.494334,S1-000,,
-2134472,-2961323,hydrographic,Peleya,Peleya,official,7.945967,-10.656317,SL-S,,
-2133789,-2962053,hydrographic,"Se River","Se River",variant,6.925699,-11.494334,S1-000,,
-2134029,-2960600,hydrographic,Moro,Moro,official,7.413789,-11.049582,S1-000,,
-2133658,135326,hydrographic,Magbole,Magbole,variant,7.734597,-10.701516,S1-000,,
-2133691,-2960083,hydrographic,Makona,Makona,official,6.972954,-11.595555,S1-000,,
-2133658,-2960015,hydrographic,Magbole,Magbole,official,7.734597,-10.701516,S1-000,,
-2133853,-2960327,hydrographic,Mauwa,Mauwa,official,8.083034,-10.773243,S1-000,,
-2134110,-2960731,hydrographic,"Ndaka Creek","Ndaka Creek",official,8.448185,-10.398773,S1-000,,
-2134029,15365543,hydrographic,Moro,Moro,variant,7.413789,-11.049582,S1-000,,
-2133789,-2957267,hydrographic,Gbewa,Gbewa,variant,6.925699,-11.494334,S1-000,,
-2133691,-2960084,hydrographic,Moa,Moa,official,6.972954,-11.595555,S1-000,,
-2133789,15268168,hydrographic,"Gbewa River","Gbewa River",variant,6.925699,-11.494334,S1-000,,
-2133691,-2960082,hydrographic,"Makona River","Makona River",official,6.972954,-11.595555,S1-000,,
-2133789,-2960231,hydrographic,"Mano River","Mano River",official,6.925699,-11.494334,S1-000,,
-2133853,-2960052,hydrographic,Mahwah,Mahwah,variant,8.083034,-10.773243,S1-000,,
-2132973,-2958963,hydrographic,Keya,Keya,official,8.057154,-10.715879,S1-000,,
-2133086,-2959137,hypsographic,"Kokonkua Mountain","Kokonkua Mountain",variant,8.31807,-10.297525,S1-000,,
