wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-117985,-181725,park,Fratta,Fratta,official,43.95,12.45,SM-000,,
-129581,-197512,settlement,Serravalle,Serravalle,official,43.968333,12.481111,SM-09,,
-129575,-197505,administrative_region,Serravalle,Serravalle,official,43.966667,12.466667,SM-09,,
-129575,9225706,administrative_region,"Castello di Serravalle","Castello di Serravalle",official,43.966667,12.466667,SM-09,,
-127866,14101195,administrative_region,"San Marino","San Marino",official,43.9375,12.458333,SM-000,,
-127866,-195269,administrative_region,"Republic of San Marino","Republic of San Marino",colloquial,43.9375,12.458333,SM-000,,
-127866,14103783,administrative_region,"San Marino","San Marino",colloquial,43.9375,12.458333,SM-000,,
-127866,-195267,administrative_region,"Most Serene Republic of San Marino","Most Serene Republic of San Marino",variant,43.9375,12.458333,SM-000,,
-127866,-195270,administrative_region,"Repubblica di San Marino","Repubblica di San Marino",official,43.9375,12.458333,SM-000,,
-127864,-195265,settlement,"San Marino","San Marino",official,43.935,12.446111,SM-07,,
-127864,9225865,settlement,"Città di San Marino","Citta di San Marino",variant,43.935,12.446111,SM-07,,
-127864,9225747,settlement,"San Marino Città","San Marino Citta",variant,43.935,12.446111,SM-07,,
-125119,9225772,settlement,Chiesanuova,Chiesanuova,official,43.906111,12.421389,SM-02,,
-125119,-191542,settlement,"Poggio di Chiesanuova","Poggio di Chiesanuova",variant,43.906111,12.421389,SM-02,,
-118991,-183160,park,Guaita,Guaita,official,43.95,12.45,SM-000,,
-117537,-181142,park,Fiorentino,Fiorentino,official,43.916667,12.45,SM-000,,
-117187,-180667,settlement,Falciano,Falciano,official,43.983333,12.5,SM-09,,
-117145,-180621,settlement,Faetano,Faetano,official,43.926111,12.498056,SM-04,,
-116863,-180228,settlement,Domagnano,Domagnano,official,43.949167,12.468611,SM-03,,
-115412,9225705,administrative_region,"Castello di Chiesanuova","Castello di Chiesanuova",official,43.916667,12.416667,SM-02,,
-115412,-178354,administrative_region,Chiesanuova,Chiesanuova,official,43.916667,12.416667,SM-02,,
-111892,-173822,settlement,"Borgo Maggiore","Borgo Maggiore",official,43.940833,12.4475,SM-06,,
-109920,-171141,park,Acquaviva,Acquaviva,official,43.95,12.416667,SM-000,,
-109919,-171140,settlement,Acquaviva,Acquaviva,official,43.945278,12.41833,SM-01,,
9171960,14093612,administrative_region,Domagnano,Domagnano,official,43.954167,12.483333,SM-03,,
9171954,9225751,administrative_region,"Castello di San Marino Città","Castello di San Marino Citta",official,43.933333,12.45,SM-07,,
9171954,9225753,administrative_region,"Città di San Marino","Citta di San Marino",variant,43.933333,12.45,SM-07,,
9171957,14093610,administrative_region,Acquaviva,Acquaviva,official,43.95,12.416667,SM-01,,
9171961,14093613,administrative_region,Faetano,Faetano,official,43.925,12.491667,SM-04,,
9171962,9225761,administrative_region,"Castello di Fiorentino","Castello di Fiorentino",official,43.908333,12.458333,SM-05,,
9171960,9225759,administrative_region,"Castello di Domagnano","Castello di Domagnano",official,43.954167,12.483333,SM-03,,
9171958,9225757,administrative_region,"Castello di Borgo Maggiore","Castello di Borgo Maggiore",official,43.941667,12.458333,SM-06,,
9171963,14093615,administrative_region,Montegiardino,Montegiardino,official,43.908333,12.483333,SM-08,,
9171962,14093614,administrative_region,Fiorentino,Fiorentino,official,43.908333,12.458333,SM-05,,
9171958,14093611,administrative_region,"Borgo Maggiore","Borgo Maggiore",official,43.941667,12.458333,SM-06,,
9171954,9225863,administrative_region,"Castello di San Marino","Castello di San Marino",variant,43.933333,12.45,SM-07,,
9171963,9225763,administrative_region,"Castello di Montegiardino","Castello di Montegiardino",official,43.908333,12.483333,SM-08,,
9171954,14093616,administrative_region,"San Marino Città","San Marino Citta",official,43.933333,12.45,SM-07,,
9171961,9225760,administrative_region,"Castello di Faetano","Castello di Faetano",official,43.925,12.491667,SM-04,,
9171957,9225755,administrative_region,"Castello di Acquaviva","Castello di Acquaviva",official,43.95,12.416667,SM-01,,
14744527,19260733,settlement,Fiorentino,Fiorentino,official,43.909167,12.458056,SM-05,,
14744528,19260754,settlement,Montegiardino,Montegiardino,official,43.909167,12.483333,SM-08,,
