wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2273211,-3136754,settlement,Pol,Pol,official,14.95,-15.816667,SN-DB,,
-2272750,-3136152,spot,Ogo,Ogo,official,14.75,-15.05,SN-LG,,
-2268102,-3129819,settlement,Gaé,Gae,official,16.566667,-15.45,SN-SL,,
-2272310,-3135490,settlement,Ngabou,Ngabou,official,14.793112,-12.670085,SN-MT,,
-2267927,218091,settlement,Fas,Fas,official,14.690108,-17.454011,SN-DK,,
-2273256,-3136819,settlement,Poutou,Poutou,official,14.7,-17.433333,SN-DK,,
-2269100,-3131247,settlement,Kariaye,Kariaye,official,12.958056,-16.519167,SN-ZG,,
-2265476,-3126165,settlement,Bal,Bal,variant,15.05,-16.933333,SN-TH,,
-2272774,-3136184,settlement,Ouada,Ouada,official,14.666667,-16.033333,SN-DB,,
-2265767,-3126618,settlement,Bayakh,Bayakh,official,15.633333,-16.216667,SN-LG,,
-2271620,-3134549,settlement,Moundé,Mounde,official,13.95,-16.65,SN-FK,,
-2272496,-3135780,hydrographic,Nguèr,Nguer,official,14.866667,-14.883333,SN-LG,,
-2271717,-3134668,settlement,Narga,Narga,official,14.35,-15.883333,SN-FK,,
-2269039,-3131166,settlement,Kansata,Kansata,official,13.066667,-14.016667,SN-KD,,
-2273094,-3136609,settlement,Patar,Patar,official,14.7,-16.15,SN-DB,,
-2268064,-3129762,park,Fourou,Fourou,short,13.183333,-13.316667,SN-TC,,
-2266612,-3127808,settlement,Darou,Darou,official,14.933333,-16.05,SN-DB,,
-2270337,-3132844,settlement,Kouring,Kouring,official,12.436667,-16.380556,SN-ZG,,
-2270220,-3132694,settlement,Koukari,Koukari,official,13.766667,-13.716667,SN-TC,,
-2269993,-3140155,settlement,Tüss,Tuss,variant,15.333333,-16.216667,SN-LG,,
-2267326,-3128778,settlement,Dilié,Dilie,official,14.033333,-15.8,SN-KL,,
-2269101,-3131250,settlement,Karonko,Karonko,official,12.55,-16.183333,SN-ZG,,
-2266166,-3127134,spot,Boni,Boni,official,15.9564,-14.7911,SN-SL,,
-2271090,-3133831,settlement,Massara,Massara,official,12.733333,-14.783333,SN-KD,,
-2270215,-3132688,settlement,Kougne,Kougne,official,12.496667,-15.608889,SN-SE,,
-2270916,-3133530,settlement,Maka,Maka,variant,15.183333,-16.8,SN-TH,,
-2265593,-3126393,settlement,Bani,Bani,official,12.507222,-15.733611,SN-SE,,
-2270219,-3132692,hydrographic,Koukadi,Koukadi,official,14.633333,-14.583333,SN-LG,,
-2271719,-3134670,settlement,Narga,Narga,official,14.816667,-15.8,SN-DB,,
-2271716,-3134667,spot,Narél,Narel,official,15.822704,-13.362607,SN-MT,,
-2266867,-3128131,settlement,Diabel,Diabel,official,14.533333,-16.133333,SN-FK,,
-2272972,-3136443,spot,Païlar,Pailar,official,14.533333,-15.083333,SN-KA,,
-2270216,-3132689,settlement,Kouïnar,Kouinar,official,14.85,-15.683333,SN-DB,,
-2271245,-3134043,spot,Mbédo,Mbedo,official,16.338896,-14.436631,SN-SL,,
-2271091,-3133832,settlement,Massara,Massara,official,15.1111,-15.9518,SN-LG,,
-2270257,-3132743,hydrographic,Koumane,Koumane,official,14.916667,-15.2,SN-LG,,
-2268772,-3130811,settlement,Ka,Ka,official,14.916667,-16.75,SN-TH,,
-2271579,-3134496,hydrographic,Mongole,Mongole,short,12.833333,-13,SN-KE,,
-2271766,-3134748,settlement,Ndam,Ndam,official,15,-16.033333,SN-LG,,
-2265300,-3125990,settlement,Badiat,Badiat,official,12.518056,-16.385278,SN-ZG,,
-2268320,-3130135,settlement,Gomone,Gomone,official,14.266667,-16.133333,SN-KL,,
-2266615,-3127816,settlement,Darou,Darou,official,15.3,-16.333333,SN-TH,,
-2270221,-3132695,settlement,Koukoma,Koukoma,official,13.624293,-12.082189,SN-TC,,
-2272244,-3135413,settlement,Ndouli,Ndouli,official,15.266,-15.4556,SN-LG,,
-2270190,-3132661,settlement,Kouak,Kouak,official,14.016667,-16.183333,SN-KL,,
-2272973,-3136446,settlement,Païpaï,Paipai,official,14.8,-16.25,SN-DB,,
-2265187,-3125847,settlement,Anisse,Anisse,short,12.566389,-15.731944,SN-SE,,
-2266611,-3127807,settlement,Darou,Darou,official,14.916667,-16.4,SN-DB,,
-2270191,-3132662,settlement,Kouaré,Kouare,official,13.833333,-15.933333,SN-KL,,
-2271398,-3134245,settlement,Mbram,Mbram,official,14.966667,-15.95,SN-DB,,
-2272359,-3135571,hydrographic,Ngari,Ngari,official,15.0698,-15.6111,SN-LG,,
-2268773,-3130812,settlement,Kaba,Kaba,official,13.8,-14.8,SN-KA,,
-2266613,-3127810,settlement,Darou,Darou,official,15.05,-16.683333,SN-TH,,
-2267429,-3128922,settlement,Diom,Diom,official,15.016667,-16.05,SN-LG,,
-2268913,-3131000,settlement,Kalom,Kalom,official,13.85,-14.283333,SN-TC,,
-2267429,-3128718,settlement,Dième,Dieme,variant,15.016667,-16.05,SN-LG,,
-2270611,-3133187,settlement,Lonbol,Lonbol,official,14.724334,-12.554349,SN-TC,,
-2272309,-3135489,settlement,Ngabou,Ngabou,official,14.783333,-15.983333,SN-DB,,
-2271720,-3134671,settlement,Nass,Nass,official,15.116667,-16.85,SN-TH,,
-2267836,-3129466,settlement,Etomé,Etome,official,12.475278,-16.363889,SN-ZG,,
-2267771,-3129386,settlement,Ebato,Ebato,official,13,-16.333333,SN-ZG,,
-2271089,-3133830,settlement,Massar,Massar,official,15.966667,-16.333333,SN-SL,,
-2265594,-3126395,settlement,Bani,Bani,official,12.844167,-15.423056,SN-SE,,
-2270610,-3133186,settlement,Lonbi,Lonbi,official,14.14585,-12.287512,SN-TC,,
-2269041,-3131168,settlement,Kantar,Kantar,official,13.8,-14.75,SN-KA,,
-2272752,-3136154,settlement,Ogo,Ogo,official,15.551633,-13.296827,SN-MT,,
-2271839,-3134901,settlement,Ndiah,Ndiah,variant,14.866667,-16.116667,SN-DB,,
-2266614,-3127813,settlement,Darou,Darou,official,15.15,-16.316667,SN-TH,,
-2266776,-3128004,spot,Debi,Debi,short,16.45,-16.283333,SN-SL,,
-2265592,-3126392,settlement,Banhar,Banhar,official,12.681111,-15.556111,SN-SE,,
-2270792,-3133422,settlement,Madina,Madina,official,12.509722,-16.035278,SN-ZG,,
-2269992,-3132405,settlement,Kirpa,Kirpa,official,14.166667,-15.95,SN-FK,,
-2269994,-3132407,settlement,Kissan,Kissan,official,13.866667,-14.583333,SN-TC,,
-2271327,-3134144,settlement,Mbodié,Mbodie,official,15.4155,-15.9934,SN-LG,,
-2270791,-3133421,settlement,Madina,Madina,official,12.516667,-15.783333,SN-SE,,
-2271016,-3133718,hydrographic,Mangal,Mangal,official,14.516667,-15.266667,SN-KA,,
-2270192,-3132663,hydrographic,Kouba,Kouba,official,12.772222,-16.648056,SN-ZG,,
-2270218,-3132691,settlement,Koukadi,Koukadi,official,14.583333,-14.516667,SN-LG,,
-2267927,-3129587,settlement,Fass,Fass,variant,14.690108,-17.454011,SN-DK,,
-2270933,-3133604,settlement,Mal,Mal,official,16.126667,-15.888333,SN-SL,,
-2266049,-3126993,spot,Bodel,Bodel,official,13.416667,-15.133333,SN-KD,,
-2271767,-3134757,settlement,Ndame,Ndame,variant,15.583333,-16.083333,SN-LG,,
-2267546,-3129074,settlement,Diourou,Diourou,official,12.802222,-16.273056,SN-ZG,,
-2272495,-3135779,settlement,Nguer,Nguer,official,15.216667,-16.55,SN-TH,,
-2267929,-3129589,settlement,Fassane,Fassane,official,12.491111,-15.581667,SN-SE,,
-2272433,-3135679,settlement,Ngop,Ngop,variant,12.5986,-12.8318,SN-KE,,
-2272751,-3136153,settlement,Ogo,Ogo,official,14.583333,-15.833333,SN-DB,,
-2271246,-3134044,settlement,Mbééda,Mbeeda,official,15.75,-13.783333,SN-MT,,
-2270038,-3132462,settlement,Kofadou,Kofadou,official,13.575516,-12.501663,SN-TC,,
-2266915,-3128191,settlement,Diaglé,Diagle,official,13.85,-16.366667,SN-FK,,
-2269993,-3132406,settlement,Kis,Kis,official,15.333333,-16.216667,SN-LG,,
-2269040,-3131167,settlement,Kansola,Kansola,official,12.997778,-16.550833,SN-ZG,,
-2272776,-3136186,settlement,Ouadane,Ouadane,official,15.783333,-16.166667,SN-LG,,
-2265100,-3125740,settlement,Aguior,Aguior,official,12.933333,-16.133333,SN-ZG,,
-2271718,-3134669,settlement,Narga,Narga,official,14.5,-15.883333,SN-FK,,
-2272775,-3136185,settlement,Ouadane,Ouadane,official,15.3,-16.233333,SN-LG,,
-2267928,-3129588,settlement,Fassada,Fassada,official,12.508056,-15.538056,SN-SE,,
-2270217,-3132690,settlement,Kouini,Kouini,official,12.989722,-16.041111,SN-ZG,,
-2266868,-3128132,settlement,Diabel,Diabel,official,14.583333,-15.583333,SN-KL,,
-2270484,-3133035,settlement,Larédji,Laredji,official,13.6,-13.616667,SN-TC,,
-2267325,-3128776,settlement,Dilapao,Dilapao,official,12.616389,-16.384444,SN-ZG,,
-2270420,-3132953,settlement,Lagnar,Lagnar,official,14.65,-16.35,SN-DB,,
-2273134,-3136663,settlement,Pendao,Pendao,short,16.616667,-15.083333,SN-SL,,
-2272342,-3129925,settlement,Gane,Gane,variant,14.516667,-16.45,SN-FK,,
-2265280,-3125966,hydrographic,Badé,Bade,official,14.216667,-13.3,SN-TC,,
-2268774,-3130813,settlement,Kaba,Kaba,official,14.733333,-16.616667,SN-TH,,
-2268262,-3130048,settlement,Gayene,Gayene,official,13.383333,-14.816667,SN-KD,,
8024712,8024712,settlement,Ida,Ida,short,12.838056,-15.532222,SN-SE,,
-2275170,-3139519,settlement,Tiara,Tiara,official,12.866667,-14.55,SN-KD,,
