wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3230275,-4575635,hydrographic,Vaio,Vaio,official,0.4,42.6,SO-JH,,
-3229369,-4574271,settlement,Shillow,Shillow,official,2.7541,43.8494,SO-BY,,
-3227773,-4572252,hydrographic,Osbo,Osbo,short,3.483333,42.5,SO-GE,,
-3227494,-4571832,settlement,Muuna,Muuna,official,0.507145,42.75891,SO-JD,,
-3226962,-4571089,hydrographic,Mataan,Mataan,official,3.733537,47.272983,SO-GA,,
-3226469,-4570427,park,"Madax Geri","Madax Geri",official,1.7,43.466667,SO-BY,,
-3225423,-4569069,hydrographic,Komey,Komey,official,1.099616,43.482949,SO-SH,,
-3223270,-4566033,hydrographic,Gurganeh,Gurganeh,short,9.533333,47.166667,SO-SA,,
-3222285,-4564542,hydrographic,Geellaa,Geellaa,official,10.365828,43.13778,SO-AW,,
-3219642,-4560750,settlement,Dharabo,Dharabo,official,2.3448,44.8088,SO-SH,,
11231226,13069372,hypsographic,Smiid,Smiid,official,-0.4534,42.4837,SO-JH,,
11272920,13172102,settlement,Silmow,Silmow,official,1.7932,44.6412,SO-SH,,
11270898,13165886,hydrographic,Rama,Rama,official,1.1044,44.019,SO-SH,,
11283550,13196253,park,Dago,Dago,official,10.7143,45.5964,SO-WO,,
11314981,13283471,hydrographic,Guda,Guda,official,10.924,50.6927,SO-BR,,
-3215352,-4554578,spot,Anodeha,Anodeha,short,8.433333,45.7,SO-TO,,
-3215808,-4555274,spot,Badan,Badan,official,4.964616,46.701119,SO-GA,,
-3214932,-4553868,spot,Aboli,Aboli,short,0.385278,41.649722,SO-JH,,
-3215807,-4555270,settlement,Bacugia,Bacugia,short,11.15,49.5,SO-BR,,
-3215353,-4554580,settlement,Anole,Anole,short,-0.866667,41.916667,SO-JH,,
-3215189,-4554270,settlement,Agghini,Agghini,short,2.414682,42.43636,SO-GE,,
