wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
11436274,13517430,settlement,Naipal,Naipal,short,5.840566,-55.214962,SR-PM,,
-915203,-1354829,hypsographic,Spin,Spin,official,5.133333,-55.216667,SR-BR,,
-918066,-1357636,hydrographic,"Laka Mapalansoela","Laka Mapalansoela",variant,2.972762,-54.17167,S1-000,,
-918297,-1359615,hydrographic,"Yapimaliki Soula","Yapimaliki Soula",official,4.083333,-54.333333,S1-000,,
-919671,20082488,hydrographic,"East Kutari","East Kutari",official,2.033333,-56.633333,S1-000,,
-918066,-1359221,hydrographic,"Taca Malapane","Taca Malapane",variant,2.972762,-54.17167,S1-000,,
-913965,-1352694,settlement,Flora,Flora,official,5.8,-55.2,SR-PM,,
-918144,-1359372,hydrographic,"Toou Soula","Toou Soula",official,4.955129,-54.440634,S1-000,,
-914122,-1352992,spot,Haque,Haque,variant,5.833333,-56.283333,SR-CR,,
-914970,-1354442,park,Pilatus,Pilatus,official,5.15,-55.05,SR-BR,,
-918066,-1359241,hydrographic,"Takamalapann Icholi","Takamalapann Icholi",official,2.972762,-54.17167,S1-000,,
-914651,-1353713,spot,Lust,Lust,variant,5.95,-54.816667,SR-CM,,
-918066,-1359146,hydrographic,"Singa Téteï Soula","Singa Tetei Soula",variant,2.972762,-54.17167,S1-000,,
-918066,-1357637,hydrographic,"Lake Mapalansoela","Lake Mapalansoela",variant,2.972762,-54.17167,S1-000,,
-919671,-1361493,hydrographic,"East Kutari River","East Kutari River",official,2.033333,-56.633333,S1-000,,
-918117,-1359326,hydrographic,"Tiepi Soula","Tiepi Soula",variant,4.976162,-54.441808,S1-000,,
-918117,-1357886,hydrographic,"Macou Soula","Macou Soula",variant,4.976162,-54.441808,S1-000,,
-918066,-1357638,hydrographic,"Lake Mapalan val","Lake Mapalan val",variant,2.972762,-54.17167,S1-000,,
-918066,-1357304,hydrographic,"Iaka Mapalansoela","Iaka Mapalansoela",variant,2.972762,-54.17167,S1-000,,
-914725,-1354030,hydrographic,Mochaweg,Mochaweg,official,5.65,-55.216667,SR-PR,,
-918066,-1359242,hydrographic,"Singatete Val","Singatete Val",official,2.972762,-54.17167,S1-000,,
-918066,-1359240,hydrographic,"Taka Malapan Icholi","Taka Malapan Icholi",variant,2.972762,-54.17167,S1-000,,
-918117,16164004,hydrographic,"Makou Soula","Makou Soula",official,4.976162,-54.441808,S1-000,,
-918267,-1359563,hydrographic,"Wakapou Soula","Wakapou Soula",official,3.7,-54,S1-000,,
-916998,-1357589,hydrographic,"Krobaï Soula","Krobai Soula",variant,2.663147,-54.28452,S1-000,,
-916965,-1356491,hydrographic,"Rivière Coulé Coulé","Riviere Coule Coule",variant,2.432401,-54.476556,S1-000,,
-917053,-1357676,hydrographic,Langatete,Langatete,variant,3.889461,-54.251108,S1-000,,
-916965,-1357537,hydrographic,"Koulé Koulé","Koule Koule",official,2.432401,-54.476556,S1-000,,
-916948,-1356400,hydrographic,"Saut Coficamsa","Saut Coficamsa",variant,4.224471,-54.392988,S1-000,,
-916461,-1356764,hydrographic,"Domofoe Soela","Domofoe Soela",official,3.338444,-54.063747,S1-000,,
-916699,-1356993,hydrographic,"Gaan Coumarou Gnan Gnan Soula","Gaan Coumarou Gnan Gnan Soula",variant,4.638524,-54.422456,S1-000,,
-916469,-1356775,hydrographic,"Saut Doutabiki","Saut Doutabiki",variant,4.533855,-54.447288,S1-000,,
-917382,-1358204,hydrographic,"Lamaké Soela","Lamake Soela",official,5.089722,-54.405715,S1-000,,
-916948,-1357504,hydrographic,"Sauts Kofi Kamiza","Sauts Kofi Kamiza",variant,4.224471,-54.392988,S1-000,,
-916948,-1357500,hydrographic,Koffiekamisa-Vallen,Koffiekamisa-Vallen,variant,4.224471,-54.392988,S1-000,,
-916668,-1357063,hydrographic,"Saut Gonsoutou","Saut Gonsoutou",variant,4.54854,-54.432707,S1-000,,
-916699,-1357075,hydrographic,"Saut Goumarou Gnagna","Saut Goumarou Gnagna",variant,4.638524,-54.422456,S1-000,,
-917554,-1358515,hydrographic,"Saut Panabisongou","Saut Panabisongou",variant,4.042665,-54.345122,S1-000,,
-917053,-1357682,hydrographic,"Langatetei Soela","Langatetei Soela",official,3.889461,-54.251108,S1-000,,
-917053,16199740,hydrographic,"Langa Téteï Soula","Langa Tetei Soula",official,3.889461,-54.251108,S1-000,,
-916817,-1355763,hydrographic,Armina-val,Armina-val,variant,5.136918,-54.364059,S1-000,,
-916998,-1357592,hydrographic,"Val Kroboi Soera","Val Kroboi Soera",variant,2.663147,-54.28452,S1-000,,
-917554,-1358516,hydrographic,"Panabi Soungou Soula","Panabi Soungou Soula",variant,4.042665,-54.345122,S1-000,,
-916747,-1357181,hydrographic,"Gransanti Val","Gransanti Val",official,4.323479,-54.39348,S1-000,,
-916998,16133716,hydrographic,"Kiboï Soula","Kiboi Soula",official,2.663147,-54.28452,S1-000,,
-917456,-1355662,hydrographic,"Amékan Soula","Amekan Soula",variant,4.806073,-54.467442,S1-000,,
-917053,-1357683,hydrographic,"Saut Langa-Tetey","Saut Langa-Tetey",variant,3.889461,-54.251108,S1-000,,
-916625,16139696,hydrographic,"Gaan Daaye Soula","Gaan Daaye Soula",official,4.017213,-54.325941,S1-000,,
-916948,-1357505,hydrographic,"Soula Kofi Kamiza","Soula Kofi Kamiza",official,4.224471,-54.392988,S1-000,,
-917554,-1358610,hydrographic,Penabisoengoe-val,Penabisoengoe-val,variant,4.042665,-54.345122,S1-000,,
-916623,-1356992,hydrographic,"Gaa Kaba Soula","Gaa Kaba Soula",official,4.479853,-54.441406,S1-000,,
-916318,-1356575,hydrographic,"Saut Dagouédé","Saut Dagouede",variant,4.165817,-54.339184,S1-000,,
-917343,-1358149,hydrographic,"Mboulo Soula","Mboulo Soula",official,4.082707,-54.345932,S1-000,,
-916318,-1356760,hydrographic,"Saut Dogouède","Saut Dogouede",variant,4.165817,-54.339184,S1-000,,
-916948,-1357499,hydrographic,Koffiekamisasoela,Koffiekamisasoela,variant,4.224471,-54.392988,S1-000,,
-916670,-1356897,hydrographic,"Saut Féti-Tabiki","Saut Feti-Tabiki",variant,5.115124,-54.371295,S1-000,,
-916998,-1357591,hydrographic,"Kroboï Soela","Kroboi Soela",variant,2.663147,-54.28452,S1-000,,
-917456,-1358318,hydrographic,"Saut Nassau","Saut Nassau",variant,4.806073,-54.467442,S1-000,,
-917456,-1359343,hydrographic,"Tion Tion Soula","Tion Tion Soula",variant,4.806073,-54.467442,S1-000,,
-917539,16133715,hydrographic,"Pakira Ime Enu Icholi","Pakira Ime Enu Icholi",official,2.736671,-54.245932,S1-000,,
-917763,-1358839,hypsographic,"Pouga Tabiki","Pouga Tabiki",official,4.862482,-54.466708,S1-000,,
-916623,-1356988,hydrographic,"Gaa Caba Soula","Gaa Caba Soula",variant,4.479853,-54.441406,S1-000,,
-917266,-1358013,hydrographic,"Soula Mankaba","Soula Mankaba",variant,4.380517,-54.418013,S1-000,,
-917343,-1358148,hydrographic,"Mboula Soula","Mboula Soula",variant,4.082707,-54.345932,S1-000,,
-917053,-1357680,hydrographic,"Langa Tétèï Soula","Langa Tetei Soula",variant,3.889461,-54.251108,S1-000,,
-917389,-1358252,hydrographic,Mope-soela,Mope-soela,variant,4.55714,-54.418976,S1-000,,
-917069,-1357714,hydrographic,"Saut Lavaud","Saut Lavaud",official,2.748644,-54.235002,S1-000,,
-916699,-1356508,hydrographic,"Saut Coumarou-Gnagna","Saut Coumarou-Gnagna",variant,4.638524,-54.422456,S1-000,,
-917554,-1358514,hydrographic,"Val Panabisoengoe","Val Panabisoengoe",variant,4.042665,-54.345122,S1-000,,
-916318,-1358747,hydrographic,"Pikiendagohidde Val","Pikiendagohidde Val",variant,4.165817,-54.339184,S1-000,,
-916808,-1357275,hydrographic,"Hapopata Icholi","Hapopata Icholi",official,2.903552,-54.185908,S1-000,,
-917053,-1357677,hydrographic,"Rapide Langa Téteï","Rapide Langa Tetei",variant,3.889461,-54.251108,S1-000,,
-916998,-1357590,hydrographic,"Krobai Soela","Krobai Soela",official,2.663147,-54.28452,S1-000,,
-917763,16021689,hypsographic,"Santi Tabbetje","Santi Tabbetje",official,4.862482,-54.466708,S1-000,,
-916623,-1356987,hydrographic,"Sauts Gaa Caba","Sauts Gaa Caba",variant,4.479853,-54.441406,S1-000,,
-917453,-1358319,hydrographic,"Nassau Dédé Soula","Nassau Dede Soula",official,3.331728,-54.064485,S1-000,,
-917554,16139730,hydrographic,"Panabi Langa Soula","Panabi Langa Soula",official,4.042665,-54.345122,S1-000,,
-917266,-1358014,hydrographic,"Mankaba Soula","Mankaba Soula",official,4.380517,-54.418013,S1-000,,
-917382,-1358203,hydrographic,"Saut la Moitié","Saut la Moitie",official,5.089722,-54.405715,S1-000,,
-917539,-1358489,hydrographic,"Pakiraïme Enu Icholi","Pakiraime Enu Icholi",variant,2.736671,-54.245932,S1-000,,
-916668,-1357061,hydrographic,"Gonsoeloe Val","Gonsoeloe Val",variant,4.54854,-54.432707,S1-000,,
-916817,-1357289,hydrographic,"Saut Hermine","Saut Hermine",variant,5.136918,-54.364059,S1-000,,
-916469,-1356776,hydrographic,"Dou Tabiki Soula","Dou Tabiki Soula",official,4.533855,-54.447288,S1-000,,
-917144,-1357831,hydrographic,"Sauts du Litani","Sauts du Litani",variant,3.310096,-54.065624,S1-000,,
-916668,-1357059,hydrographic,"Gonsoetoe Val","Gonsoetoe Val",official,4.54854,-54.432707,S1-000,,
-916623,-1357013,hydrographic,"Saut Ga-kaba","Saut Ga-kaba",variant,4.479853,-54.441406,S1-000,,
-917556,-1358523,hydrographic,"Panapi Soula","Panapi Soula",official,3.016667,-54.183333,S1-000,,
-916670,-1357065,hydrographic,"Saut Goodou Campou","Saut Goodou Campou",variant,5.115124,-54.371295,S1-000,,
-917266,-1358015,hydrographic,Mankaba-Val,Mankaba-Val,variant,4.380517,-54.418013,S1-000,,
-917069,-1356820,hydrographic,"Saut Elélétepou","Saut Eleletepou",variant,2.748644,-54.235002,S1-000,,
-916283,16138353,hydrographic,"Koulikouli Poupkatpe","Koulikouli Poupkatpe",official,3.025741,-54.17478,S1-000,,
-916674,-1357071,hydrographic,"Gossi Dokissi Soula","Gossi Dokissi Soula",official,4.115937,-54.341551,S1-000,,
-916817,-1357288,hydrographic,"Armina Vallen","Armina Vallen",official,5.136918,-54.364059,S1-000,,
-916817,-1355762,hydrographic,"Armina Stroomsnelling","Armina Stroomsnelling",variant,5.136918,-54.364059,S1-000,,
-917389,-1358212,hydrographic,"Saut Mompé","Saut Mompe",variant,4.55714,-54.418976,S1-000,,
-916461,-1356763,hydrographic,"Domoufou Soula","Domoufou Soula",variant,3.338444,-54.063747,S1-000,,
-916318,-1358746,hydrographic,"Pikiendagohede Vallen","Pikiendagohede Vallen",variant,4.165817,-54.339184,S1-000,,
-916283,-1356496,hydrographic,"Couli Couli Icholi","Couli Couli Icholi",variant,3.025741,-54.17478,S1-000,,
-916276,-1356486,hypsographic,"Couch’ Tabiki","Couch' Tabiki",variant,4.900554,-54.477645,S1-000,,
-916948,-1357498,hydrographic,"Koffi Camisa Soula","Koffi Camisa Soula",variant,4.224471,-54.392988,S1-000,,
-917266,-1357997,hydrographic,"Saut Mancaba","Saut Mancaba",variant,4.380517,-54.418013,S1-000,,
-916668,-1357060,hydrographic,"Goni Soutou Soula","Goni Soutou Soula",variant,4.54854,-54.432707,S1-000,,
-916817,-1357287,hydrographic,"Saut Hermina","Saut Hermina",official,5.136918,-54.364059,S1-000,,
-917144,16138361,hydrographic,"Sauts de l’ Alitani","Sauts de l' Alitani",official,3.310096,-54.065624,S1-000,,
-917053,16199739,hydrographic,"Soula Langa Tétï","Soula Langa Teti",variant,3.889461,-54.251108,S1-000,,
-916998,-1357587,hydrographic,"Saut Krobaï Loura","Saut Krobai Loura",variant,2.663147,-54.28452,S1-000,,
-917389,-1358226,hydrographic,"Monpé Soula","Monpe Soula",variant,4.55714,-54.418976,S1-000,,
-916699,-1357193,hydrographic,"Val Grankoemaranjam","Val Grankoemaranjam",variant,4.638524,-54.422456,S1-000,,
-917053,-1357678,hydrographic,"Val Langatetei","Val Langatetei",variant,3.889461,-54.251108,S1-000,,
-917554,-1358536,hydrographic,"Saut Parabisongou","Saut Parabisongou",variant,4.042665,-54.345122,S1-000,,
-916670,-1357066,hydrographic,"Saut Goodou Kampou","Saut Goodou Kampou",official,5.115124,-54.371295,S1-000,,
-916623,-1356578,hydrographic,"Dakabá Val","Dakaba Val",official,4.479853,-54.441406,S1-000,,
-916965,-1357538,hydrographic,"Koelékoelé Kreek","Koelekoele Kreek",official,2.432401,-54.476556,S1-000,,
-917524,-1358510,hydrographic,"Paloulou Icholi","Paloulou Icholi",variant,2.69395,-54.271361,S1-000,,
-916948,-1357502,hydrographic,"Val Koffijkamisa","Val Koffijkamisa",variant,4.224471,-54.392988,S1-000,,
-917539,-1357306,hydrographic,"Icholi Pakira Éméni","Icholi Pakira Emeni",variant,2.736671,-54.245932,S1-000,,
-917524,-1358467,hydrographic,"Paalou Icholi","Paalou Icholi",official,2.69395,-54.271361,S1-000,,
-916318,-1356576,hydrographic,"Sauts Dagouédé","Sauts Dagouede",variant,4.165817,-54.339184,S1-000,,
-917389,-1358215,hydrographic,"Mompé Soula","Mompe Soula",official,4.55714,-54.418976,S1-000,,
-917069,-1356823,hydrographic,"Eléüéletpe Icholi","Eleueletpe Icholi",variant,2.748644,-54.235002,S1-000,,
-916461,16138362,hydrographic,"Domofou Soula","Domofou Soula",official,3.338444,-54.063747,S1-000,,
-917069,16133714,hydrographic,"Elewe Tepou Icholi","Elewe Tepou Icholi",variant,2.748644,-54.235002,S1-000,,
-917456,-1358324,hydrographic,"Nasson Soula","Nasson Soula",official,4.806073,-54.467442,S1-000,,
-916318,-1356577,hydrographic,"Dagou Edé Soula","Dagou Ede Soula",official,4.165817,-54.339184,S1-000,,
-916668,-1357076,hydrographic,"Saut Goun Soutou","Saut Goun Soutou",variant,4.54854,-54.432707,S1-000,,
-916948,16429642,hydrographic,"Kofi Kamiza Soula","Kofi Kamiza Soula",official,4.224471,-54.392988,S1-000,,
-917389,-1358224,hydrographic,"Saut Monpé","Saut Monpe",variant,4.55714,-54.418976,S1-000,,
-917144,-1357375,hydrographic,"Sauts de l’Itany","Sauts de l'Itany",variant,3.310096,-54.065624,S1-000,,
-916276,16021690,hypsographic,"Bonidoro Tabbetje","Bonidoro Tabbetje",official,4.900554,-54.477645,S1-000,,
-917053,-1357681,hydrographic,"Rapide Langa Tétey","Rapide Langa Tetey",variant,3.889461,-54.251108,S1-000,,
-916668,-1357058,hydrographic,"Goni Sountou Soula","Goni Sountou Soula",official,4.54854,-54.432707,S1-000,,
-916948,-1357497,hydrographic,"Saut Koffi Camisa","Saut Koffi Camisa",variant,4.224471,-54.392988,S1-000,,
-916940,-1357485,hydrographic,"Kepioudou Soula","Kepioudou Soula",official,4.983333,-54.45,S1-000,,
-917456,-1358320,hydrographic,Nassau-val,Nassau-val,variant,4.806073,-54.467442,S1-000,,
-917266,-1358012,hydrographic,"Saut Mankaba","Saut Mankaba",variant,4.380517,-54.418013,S1-000,,
-916699,-1357117,hydrographic,"Sauts Grand Coumarou Gnan Gnan","Sauts Grand Coumarou Gnan Gnan",variant,4.638524,-54.422456,S1-000,,
-916747,-1357182,hydrographic,"Grand Santi Soula","Grand Santi Soula",variant,4.323479,-54.39348,S1-000,,
-917456,-1358323,hydrographic,"Saut Nasson","Saut Nasson",variant,4.806073,-54.467442,S1-000,,
-917524,-1358468,hydrographic,"Paloeloe Val","Paloeloe Val",official,2.69395,-54.271361,S1-000,,
-916625,-1356995,hydrographic,"Gaan Daay Soula","Gaan Daay Soula",variant,4.017213,-54.325941,S1-000,,
