wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1888,-8708,administrative_region,Equatoria,Equatoria,variant,5,31,SS-000,1,
-1888,-12652,administrative_region,"Al Iqlīm al Istiwā’ī","Al Iqlim al Istiwa'i",variant,5,31,SS-000,1,
-3356,-4697,administrative_region,"Bahr el Ghazal","Bahr el Ghazal",variant,8,28,SS-000,1,
-3356,-4693,administrative_region,"Wilāyat Baḩr al Ghazāl","Wilayat Bahr al Ghazal",official,8,28,SS-000,1,
-1888,-2755,administrative_region,"Al Wilāyah al Istiwā’īyah","Al Wilayah al Istiwa'iyah",official,5,31,SS-000,1,
-3356,-4699,administrative_region,"Bahr el Ghazal Province","Bahr el Ghazal Province",variant,8,28,SS-000,1,
-12040,-18719,settlement,Nek,Nek,official,8.241005,30.273457,SS-UY,,
11434,13693,settlement,Bi,Bi,official,9.392728,30.832015,SS-JG,,
-9889,-15665,hypsographic,Lila,Lila,official,5.075728,34.453631,SS-EE,,
-1340,-2114,settlement,Aiwi,Aiwi,official,7.69205,29.64117,SS-LK,,
-1558,-2394,hydrographic,Alat,Alat,official,7.146322,31.621791,SS-JG,,
-6678,-10885,settlement,Gumu,Gumu,official,4.41124,30.114774,SS-EW,,
10776811,11586670,hydrographic,Gulu,Gulu,official,5.546564,30.175669,SS-EW,,
11033796,12247450,settlement,Wilu,Wilu,official,9.067184,28.450611,SS-WR,,
11034486,12249301,vegetation,Agel,Agel,official,9.251152,28.379841,SS-WR,,
11034366,12248630,park,Yeoi,Yeoi,official,9.069507,28.273857,SS-WR,,
11134940,12790976,park,Dor,Dor,official,6.855404,29.579752,SS-LK,,
11317668,13291800,hypsographic,Gula,Gula,official,5.438449,27.494383,SS-EW,,
-2258138,-4833907,hydrographic,Nakalale,Nakalale,official,4.864714,34.935141,S1-000,,
-2258138,-3116849,hydrographic,"River Nakalali","River Nakalali",variant,4.864714,34.935141,S1-000,,
-2253668,-3110927,hypsographic,"Lokwanamoru Range","Lokwanamoru Range",official,4.633333,35.216667,S1-000,,
-2253668,-3110928,hypsographic,"Lokwanamur Range","Lokwanamur Range",variant,4.633333,35.216667,S1-000,,
-2253668,-3110929,hypsographic,"Lokwanamurua North","Lokwanamurua North",variant,4.633333,35.216667,S1-000,,
-2248305,-3102554,hypsographic,Kaangmanang,Kaangmanang,variant,4.624616,35.597066,S1-000,,
-2248305,-3104261,hypsographic,Kangamanang,Kangamanang,official,4.624616,35.597066,S1-000,,
-2248305,-3102550,hypsographic,Kaamanang,Kaamanang,variant,4.624616,35.597066,S1-000,,
-2248305,-3104262,hypsographic,Kamanang,Kamanang,official,4.624616,35.597066,S1-000,,
-2182068,-3018164,hypsographic,"Western Rift Valley","Western Rift Valley",official,1.0E-6,30,S1-000,,
-2043813,13117406,hypsographic,"Jebel Bangenze","Jebel Bangenze",official,4.484278,29.010778,S1-000,,
-2043813,-2837252,hypsographic,"Mont Genze","Mont Genze",variant,4.484278,29.010778,S1-000,,
-2043813,-2831210,hypsographic,"Jabal Bangenze","Jabal Bangenze",variant,4.484278,29.010778,S1-000,,
-2043813,-2831211,hypsographic,Bangenzi,Bangenzi,variant,4.484278,29.010778,S1-000,,
