wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1312667,-1899711,settlement,Plancas,Plancas,official,0.36965572,6.59552094,ST-05,,
-1312681,-1899725,hypsographic,"Ilhéu Portinho","Ilheu Portinho",official,1.53483209,7.38448577,ST-P,,
-1312687,-1899733,settlement,"Praia Grande","Praia Grande",official,0.08748098,6.57646997,ST-03,,
-1312737,-1899806,settlement,"Santa Cecília","Santa Cecilia",official,0.18628346,6.69043819,ST-02,,
-1312534,-1899536,settlement,Magdalena,Magdalena,variant,0.32935295,6.66568643,ST-06,,
-1312674,-1899718,hypsographic,"Praia Ponta do Sol","Praia Ponta do Sol",variant,1.64918982,7.37249678,ST-P,,
-1312767,-1899840,settlement,"Santo André","Santo Andre",official,0.33321584,6.69008974,ST-05,,
-1312376,-1899314,hypsographic,"Ilhéu Caroço","Ilheu Caroco",official,1.51342568,7.42994243,ST-P,,
-1312536,-1899542,hydrographic,Malanza,Malanza,official,0.044736,6.533829,ST-03,,
-1312549,-1899559,hydrographic,"Rio Maria Luisa","Rio Maria Luisa",official,0.32979575,6.51184458,ST-04,,
-1312814,-1899906,hypsographic,"Pico de São Tomé","Pico de Sao Tome",official,0.26886247,6.54140935,ST-04,,
-1312731,-1899795,hypsographic,"Praia Sambangombe","Praia Sambangombe",official,0.08755307,6.51632677,ST-03,,
-1312813,-1899900,hypsographic,"Isla de São-Thomé","Isla de Sao-Thome",variant,0.2384176,6.5973827,"ST-01,ST-02,ST-03,ST-04,ST-05,ST-06",,
-1312294,-1899211,hydrographic,"As Duas Águas","As Duas Aguas",variant,1.68982139,7.3990485,ST-P,,
-1312559,-1899572,hypsographic,"Picos de Mencorne","Picos de Mencorne",variant,1.57754764,7.39917132,ST-P,,
-1312814,-1899901,hypsographic,"Pico de São Thomé","Pico de Sao Thome",variant,0.26886247,6.54140935,ST-04,,
-1312280,-1899196,settlement,Amparo,Amparo,official,0.18599405,6.66243051,ST-02,,
-1312429,-1899383,hypsographic,"Morro de Este","Morro de Este",variant,1.58590588,7.40825143,ST-P,,
-1312636,-1899689,hypsographic,"Praia Pentufa","Praia Pentufa",variant,0.31856112,6.74140742,ST-01,,
-1312345,-1899493,hydrographic,"Rio Kábumbê","Rio Kabumbe",variant,0.214233,6.508698,ST-04,,
-1312855,-1899958,settlement,"Vista Alegre","Vista Alegre",official,0.31888554,6.67597131,ST-06,,
-1312471,-1899436,settlement,Gratidão,Gratidao,official,0.33048839,6.68002301,ST-06,,
-1312388,-1899329,hypsographic,Celeste,Celeste,variant,0.0799697,6.59397429,ST-03,,
-1312810,-1899898,hypsographic,"Ponta de São Sebastião","Ponta de Sao Sebastiao",official,0.34634532,6.73939637,ST-01,,
-1312360,-1899319,hypsographic,"Praia da Cascalheira","Praia da Cascalheira",variant,1.6836637,7.42606788,ST-P,,
-1312357,-1899495,hypsographic,Kambuta,Kambuta,variant,0.24163696,6.67383833,ST-02,,
-1312462,-1899426,hypsographic,"Praia Golfinho","Praia Golfinho",variant,1.68850285,7.41210265,ST-P,,
-1312271,-1899186,hydrographic,"Baía das Agulhas","Baia das Agulhas",official,1.61380672,7.3575659,ST-P,,
-1312696,-1899742,hypsographic,Preguiça,Preguica,variant,0.262664,6.64757009,ST-06,,
-1312562,-1899578,hypsographic,"Praia Mikondo","Praia Mikondo",variant,0.16905872,6.67899222,ST-02,,
-1312755,-1899825,settlement,Santana,Santana,official,1.66355742,7.43808335,ST-P,,
-1312377,-1899316,hypsographic,"Morro Carregado","Morro Carregado",official,0.40747492,6.61020522,ST-05,,
-1312653,-1899693,hypsographic,"Praia do Periquito","Praia do Periquito",variant,1.60368994,7.42526839,ST-P,,
-1312431,-1899385,hypsographic,"Praia de Évora","Praia de Evora",official,1.64439145,7.43910832,ST-P,,
-1312577,-1899593,settlement,"Monte Café","Monte Cafe",official,0.30036005,6.63976721,ST-06,,
-1312793,-1899217,settlement,Azeitona,Azeitona,variant,1.66464889,7.40232141,ST-P,,
-1312651,-1899691,hypsographic,"Praia Pequena","Praia Pequena",official,1.63778261,7.44659443,ST-P,,
-1312541,-1899550,settlement,"Manuel Gomes","Manuel Gomes",official,1.63334523,7.3820023,ST-P,,
-1312451,-1899408,settlement,Futuro,Futuro,official,1.66948282,7.42649123,ST-P,,
-1312578,-1899594,settlement,"Monte Carmo","Monte Carmo",official,0.144944,6.579078,ST-03,,
-1312749,-1899818,settlement,"Santa Joaquina","Santa Joaquina",official,1.60712335,7.4011341,ST-P,,
-1312527,-1899525,hydrographic,"Baía Luisa","Baia Luisa",variant,0.211975,6.724007,ST-02,,
-1312663,-1899707,settlement,Pinheira,Pinheira,official,0.28720913,6.71794502,ST-02,,
-1312840,-1899941,settlement,Triunfo,Triunfo,official,0.40368908,6.68023047,ST-05,,
-1312486,-1899459,hypsographic,"Praia Inhame","Praia Inhame",official,0.02493992,6.52058954,ST-03,,
-1312791,-1899857,hydrographic,"Angra de São Jão dos Angolares","Angra de Sao Jao dos Angolares",variant,0.12684747,6.65079927,ST-03,,
-1312825,-1899924,hypsographic,"Morro Sintra","Morro Sintra",variant,0.0972359,6.55712323,ST-03,,
-1312402,-1899350,hypsographic,"Praia da Correia","Praia da Correia",official,1.60109293,7.35308509,ST-P,,
-1312761,-1899832,settlement,Santarém,Santarem,official,0.34235867,6.68492311,ST-05,,
-1312817,-1899910,administrative_region,"República Democrática de São Tomé e Príncipe","Republica Democratica de Sao Tome e Principe",official,1,7,ST-000,,
-1312424,-1899378,hypsographic,"Praia Escada","Praia Escada",official,-0.01196834,6.52213892,ST-03,,
-1312716,-1899766,settlement,"Ribeira Fria","Ribeira Fria",official,1.5890193,7.42392574,ST-P,,
-1312629,-1899663,hypsographic,"Os Dois Irmãos","Os Dois Irmaos",official,1.578675,7.423432,ST-P,,
