wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1148546,-1693686,settlement,Tula,Tula,official,13.55,-89.283333,SV-LI,,
7418,8302,settlement,Segura,Segura,official,13.938056,-89.253889,SV-SA,,
-1148597,-1686187,hydrographic,"Río del Agua Caliente","Rio del Agua Caliente",variant,13.9,-87.88,SV-UN,,
-1148542,-1693677,settlement,"Tres Ceibas","Tres Ceibas",official,13.831389,-89.188611,SV-SS,,
-1148541,-1693676,settlement,"Tres Ceibas","Tres Ceibas",official,13.752222,-89.4775,SV-SO,,
-1148650,-1693936,settlement,Zamorano,Zamorano,variant,13.5,-88.183333,SV-SM,,
-1148544,-1693680,settlement,Trinchera,Trinchera,official,13.4,-87.933333,SV-UN,,
-1148555,-1693701,hypsographic,"Cerro Tutultepeque","Cerro Tutultepeque",official,13.9,-89.233333,SV-SS,,
-1148617,-1693878,settlement,Volcancillo,Volcancillo,variant,13.215,-87.931667,SV-UN,,
-1148587,-1693810,settlement,"Valle Nuevo","Valle Nuevo",official,13.7875,-89.546389,SV-SO,,
-1148601,-1693849,settlement,Veracruz,Veracruz,official,13.65,-88.933333,SV-PA,,
-1148579,-1688744,settlement,"El Portzuelo","El Portzuelo",variant,13.916667,-89.716667,SV-AH,,
-1148479,-1693466,hydrographic,"Río Tapetayo","Rio Tapetayo",variant,13.751389,-89.8175,SV-AH,,
-1148553,-1693699,hydrographic,Tutianapán,Tutianapan,variant,13.993333,-89.464722,SV-SA,,
-1148490,-1693481,hydrographic,"Rio Taxis","Rio Taxis",variant,13.59,-89.425833,SV-LI,,
-1148557,-1693709,settlement,Ulapa,Ulapa,official,13.516667,-88.883333,SV-PA,,
-1148568,-1693730,settlement,Uvitas,Uvitas,official,13.766667,-87.9,SV-UN,,
-1148623,-1693888,administrative_region,"Municipio de Yamabal","Municipio de Yamabal",variant,13.64967132,-88.17210099,SV-MO,,
-1148657,-1693952,administrative_region,"Municipio de Zaragoza","Municipio de Zaragoza",variant,13.5787735,-89.29800322,SV-LI,,
-1148633,-1693906,hydrographic,"Río Yububa","Rio Yububa",variant,13.716667,-88.1,SV-MO,,
-1148550,-1693694,settlement,Turín,Turin,official,13.966389,-89.766111,SV-AH,,
-1148634,-1693908,settlement,Yucuaiquín,Yucuaiquin,official,13.55,-88,SV-UN,,
-1148554,-1693689,settlement,Tultultepeque,Tultultepeque,variant,13.893889,-89.223333,SV-SS,,
-1148638,-1692236,settlement,Sacamil,Sacamil,variant,13.898333,-89.196944,SV-SS,,
-1148595,-1693840,settlement,"Vega Grande","Vega Grande",official,14.2,-89.283333,SV-CH,,
-1148588,-1693811,settlement,"Valle Nuevo","Valle Nuevo",official,13.843333,-89.698333,SV-SO,,
-1144084,-1686403,settlement,Apopa,Apopa,official,13.807222,-89.179167,SV-SS,,
-1148515,-1693619,hypsographic,"Isla Tipa","Isla Tipa",official,14.247778,-89.52,SV-SA,,
-1148572,-1687199,settlement,"Caserío Valeriana","Caserio Valeriana",variant,14.4,-89.5,SV-SA,,
-1148514,-1693618,hydrographic,"Quebrada Timoya","Quebrada Timoya",variant,13.583333,-88.983333,SV-PA,,
-1148510,-1690752,settlement,"Las Tijeretas","Las Tijeretas",variant,13.916667,-88.25,SV-MO,,
-1148563,-1693722,settlement,Usulután,Usulutan,official,13.35,-88.45,SV-US,,
-1148527,-1693721,hydrographic,"Río Urbina","Rio Urbina",variant,13.8,-89.188333,SV-SS,,
-1148560,-1693718,hydrographic,"Río Guajiniquil","Rio Guajiniquil",official,13.813333,-87.715556,SV-000,,
-1148585,-1693808,settlement,"Valle Nuevo","Valle Nuevo",official,13.65,-89.816667,SV-SO,,
-1148603,-1693851,settlement,Veracruz,Veracruz,official,13.733333,-89.1,SV-SS,,
