wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
10962296,12096847,administrative_region,"Land Sint Maarten","Land Sint Maarten",official,18.04167,-63.06667,SX-000,,1
-1710526,-2400739,administrative_region,"Dutch West Indies","Dutch West Indies",variant,12.166667,-69,S1-000,1,
10962296,12096849,administrative_region,"Sint Maarten","Sint Maarten",official,18.04167,-63.06667,SX-000,,1
-1710526,-2401166,administrative_region,"Netherlands West Indies","Netherlands West Indies",variant,12.166667,-69,S1-000,1,
-1710526,-2401164,administrative_region,"Netherlands Antilles","Netherlands Antilles",colloquial,12.166667,-69,S1-000,1,
10962296,14403690,administrative_region,"Sint Maarten","Sint Maarten",official,18.04167,-63.06667,SX-000,,1
10962296,12096848,administrative_region,"Country of Sint Maarten","Country of Sint Maarten",official,18.04167,-63.06667,SX-000,,1
-1710526,-2400685,administrative_region,Curaçao,Curacao,variant,12.166667,-69,S1-000,1,
-1710526,13822577,administrative_region,"Antia Hulandes","Antia Hulandes",official,12.166667,-69,S1-000,1,
-1710526,-2401165,administrative_region,"Nederlandse Antillen","Nederlandse Antillen",official,12.166667,-69,S1-000,1,
-1710526,-2401159,administrative_region,"Nederlandsche Antillen","Nederlandsche Antillen",variant,12.166667,-69,S1-000,1,
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1710152,-2400995,hypsographic,"Koolbaai Berg","Koolbaai Berg",variant,18.029175,-63.074171,SX-000,,
-1710616,-2401297,spot,"Prinses Juilana","Prinses Juilana",variant,18.042958,-63.111882,SX-000,,
-1710226,-2400756,hydrographic,"Flaminco Pond","Flaminco Pond",official,18.033333,-63.1,SX-000,,
-1710296,-2400855,hypsographic,"Guana Cay","Guana Cay",variant,18.018056,-63.019052,SX-000,,
-1710616,-2401298,spot,"Luchthaven Prinses Juliana","Luchthaven Prinses Juliana",variant,18.042958,-63.111882,SX-000,,
-1710067,-2400531,park,"Billy Folly","Billy Folly",official,18.028028,-63.088336,SX-000,,
-1710151,-2400646,hydrographic,"Cole Bay","Cole Bay",official,18.023199,-63.085209,SX-000,,
-1710071,-2400536,hypsographic,"Pointe Blanche","Pointe Blanche",variant,18.005386,-63.043479,SX-000,,
-1710045,-2400506,spot,"Fort Belair","Fort Belair",official,18.016667,-63.05,SX-000,,
-1710193,-2400704,settlement,Diamond,Diamond,official,18.043236,-63.083019,SX-000,,
-1710520,-2401155,hypsographic,"Naked Boy","Naked Boy",official,18.036634,-63.031885,SX-000,,
-1710724,-2401446,hypsographic,"Sentry Hill","Sentry Hill",official,18.040525,-63.071217,SX-000,,
-1710119,-2400598,hydrographic,"Burgeux Bay","Burgeux Bay",official,18.0358,-63.117537,SX-000,,
-1710582,-2400820,settlement,"Great Bay","Great Bay",variant,18.025556,-63.049167,SX-000,,
-1710552,-2401209,settlement,"Over the Pond","Over the Pond",official,18.037989,-63.043675,SX-000,,
-1710459,-2401073,hydrographic,"Anse des Mahaux","Anse des Mahaux",variant,18.039552,-63.121811,SX-000,,
-1710458,-2401072,settlement,Madame’s,Madame's,variant,18.040282,-63.049548,SX-000,,
-1710582,-2400752,settlement,Filipsburg,Filipsburg,variant,18.025556,-63.049167,SX-000,,
-1710443,-2400970,hypsographic,"Klein Key","Klein Key",variant,18.050671,-63.109762,SX-000,,
-1710738,-2401470,hydrographic,Simson,Simson,variant,18.036425,-63.104898,SX-000,,
-1710738,-2401480,hydrographic,"Simson Bay","Simson Bay",variant,18.036425,-63.104898,SX-000,,
-1710781,-2401572,settlement,"Spring Garden","Spring Garden",official,18.033333,-63.033333,SX-000,,
-1710810,-2401605,settlement,"The Villa","The Villa",official,18.031086,-63.060006,SX-000,,
-1710738,-2401477,hydrographic,"Simson Baai Lagoen","Simson Baai Lagoen",variant,18.036425,-63.104898,SX-000,,
-1710016,-2400462,spot,"Fort Amsterdam","Fort Amsterdam",official,18.014524,-63.059624,SX-000,,
-1710270,-2400802,hydrographic,"Grande Baie","Grande Baie",variant,18.018925,-63.052397,SX-000,,
-1710632,-2401320,settlement,Reward,Reward,official,18.058964,-63.064442,SX-000,,
-1710400,-2400994,settlement,Koolbaai,Koolbaai,official,18.033333,-63.066667,SX-000,,
-1710453,-2401064,park,Lowlands,Lowlands,official,18.049942,-63.126849,SX-000,,
-1710516,-2401151,hydrographic,"Mullet Pond Bay","Mullet Pond Bay",official,18.033333,-63.116667,SX-000,,
