wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
14365244,18560888,road,"Shāri‘ al Ḩalbūnī Ḩārat ar Rabī‘ī","Shari` al Halbuni Harat ar Rabi`i",official,33.509973,36.290172,SY-DI,,
14365244,18560889,road,"شارع الحلبوني حارة الربيعي","شارع الحلبوني حارة الربيعي",unknown,33.509973,36.290172,SY-DI,,
14365245,18560895,road,"جادة يوسف القباني","جادة يوسف القباني",unknown,33.507412,36.296216,SY-DI,,
14365245,18560894,road,"Jādat Yūsuf al Qabbānī","Jadat Yusuf al Qabbani",official,33.507412,36.296216,SY-DI,,
14365246,18560922,road,"جادة الجراح","جادة الجراح",unknown,33.503441,36.301536,SY-DI,,
14365246,18560921,road,"Jādat al Jarrāḩ","Jadat al Jarrah",official,33.503441,36.301536,SY-DI,,
14365247,18560928,road,"Jādat ash Shamā‘īn","Jadat ash Shama`in",official,33.506404,36.305409,SY-DI,,
14365247,18560929,road,"جادة الشماعين","جادة الشماعين",unknown,33.506404,36.305409,SY-DI,,
14365248,18560931,road,"جادة الخضيرية","جادة الخضيرية",unknown,33.506528,36.304197,SY-DI,,
14365248,18560930,road,"Jādat al Khuḑayrīyah","Jadat al Khudayriyah",official,33.506528,36.304197,SY-DI,,
14365249,18560933,road,"Jādat al Mulayḩī","Jadat al Mulayhi",official,33.50627,36.308687,SY-DI,,
14365249,18560934,road,"جادة المليحي","جادة المليحي",unknown,33.50627,36.308687,SY-DI,,
14365250,18560935,road,"Jādat Bāb al Barīd","Jadat Bab al Barid",official,33.510287,36.305189,SY-DI,,
14365250,18560936,road,"جادة باب البريد","جادة باب البريد",unknown,33.510287,36.305189,SY-DI,,
14365251,18560958,road,"Shāri‘ Abū ‘Ubaydah Bin al Jurr","Shari` Abu `Ubaydah Bin al Jurr",official,33.508572,36.301553,SY-DI,,
14365251,18560959,road,"شارع ابو عبيدة بن الجر","شارع ابو عبيدة بن الجر",unknown,33.508572,36.301553,SY-DI,,
14365252,18560961,road,"شارع الحسيني","شارع الحسيني",unknown,33.508633,36.302001,SY-DI,,
14365252,18560960,road,"Shāri‘ al Ḩusaynī","Shari` al Husayni",official,33.508633,36.302001,SY-DI,,
14365253,18560963,road,"شارع غسان","شارع غسان",unknown,33.508651,36.302476,SY-DI,,
14365253,18560962,road,"Shāri‘ Ghassān","Shari` Ghassan",official,33.508651,36.302476,SY-DI,,
14365254,18560964,road,"Shāri‘ Ţāriq Bin Zayd","Shari` Tariq Bin Zayd",official,33.508695,36.302959,SY-DI,,
14365254,18560965,road,"شارع طارق بن زيد","شارع طارق بن زيد",unknown,33.508695,36.302959,SY-DI,,
14365255,18560967,road,"Jādat Abū Nuwwās","Jadat Abu Nuwwas",official,33.511003,36.310254,SY-DI,,
14365255,18560968,road,"جادة نواس","جادة نواس",unknown,33.511003,36.310254,SY-DI,,
14365256,18560970,road,"جادة الاسية","جادة الاسية",unknown,33.50945,36.312113,SY-DI,,
14365256,18560969,road,"Jādat al Āsiyah","Jadat al Asiyah",official,33.50945,36.312113,SY-DI,,
14365257,18560972,road,"جادة المسك","جادة المسك",unknown,33.51171,36.317546,SY-DI,,
14365257,18560971,road,"Jādat al Misk","Jadat al Misk",official,33.51171,36.317546,SY-DI,,
