wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1312222,-1899125,settlement,"Sandy Point","Sandy Point",official,21.939328,-72.038027,TC-000,,
-1312246,-1899158,hypsographic,"Turks Islands","Turks Islands",official,21.4,-71.116667,TC-000,,
-1312195,-1899052,hypsographic,"Grand Caicos","Grand Caicos",variant,21.797563,-71.727852,TC-000,,
-1312244,-1899156,administrative_region,"Turks and Caicos Islands","Turks and Caicos Islands",official,21.733333,-71.583333,TC-000,,
-1312233,-1899165,hydrographic,"West Caicos Reefs","West Caicos Reefs",variant,21.583333,-72.433333,TC-000,,
-1312216,-1899118,hypsographic,"Providenciales Island","Providenciales Island",official,21.780525,-72.245542,TC-000,,
-1312240,-1899150,hypsographic,"Toney Rock","Toney Rock",official,21.337794,-71.087027,TC-000,,
-1312239,-1899149,hypsographic,"Three Mary Cays","Three Mary Cays",official,21.960992,-72.021321,TC-000,,
-1312220,-1899122,hypsographic,"Sail Rock Island","Sail Rock Island",official,21.585542,-71.525504,TC-000,,
-1312194,-1899088,hypsographic,"Mangrove Cay","Mangrove Cay",official,21.824169,-72.141798,TC-000,,
-1312255,-1899171,settlement,Whitby,Whitby,official,21.954002,-71.966136,TC-000,,
-1312210,-1899109,hypsographic,"Pear Cay","Pear Cay",official,21.372902,-71.089454,TC-000,,
-1312251,-1899167,settlement,"West Road","West Road",official,21.475279,-71.148525,TC-000,,
-1312211,-1899111,hypsographic,"Penniston Cay","Penniston Cay",official,21.375432,-71.12181,TC-000,,
-1312204,-1899102,hydrographic,"North Creek","North Creek",official,21.492171,-71.139816,TC-000,,
-1312226,-1899131,hydrographic,"Silver Bank Passage","Silver Bank Passage",official,20.75,-70.25,TC-000,,
-1312216,-1898987,hypsographic,"Blue Hills","Blue Hills",variant,21.780525,-72.245542,TC-000,,
-1312224,-1899129,hydrographic,"Seller’s Cut","Seller's Cut",variant,21.799198,-72.192761,TC-000,,
-1312167,-1899059,hydrographic,"Grassy Creek","Grassy Creek",official,21.633333,-71.483333,TC-000,,
-1312232,-1899140,hypsographic,"Southwest Point","Southwest Point",variant,21.623045,-72.482569,TC-000,,
-1312250,-1899166,hydrographic,"West Reef","West Reef",official,21.783333,-72.433333,TC-000,,
-1312241,-1899151,hydrographic,"Town Pond","Town Pond",official,21.470215,-71.137171,TC-000,,
-1312208,-1899106,hypsographic,"Caye Parrot","Caye Parrot",variant,21.919412,-72.059446,TC-000,,
-1312195,-1899053,hypsographic,"Grand Caicos Island","Grand Caicos Island",variant,21.797563,-71.727852,TC-000,,
-1312169,-1899061,spot,"Gun Hill","Gun Hill",official,21.43372,-71.129053,TC-000,,
-1312217,-1899119,hydrographic,"Pumpkin Bluff Pond","Pumpkin Bluff Pond",official,21.948596,-71.998355,TC-000,,
-1312257,-1899173,hydrographic,"Windward Going Through","Windward Going Through",official,21.717705,-71.634847,TC-000,,
-1312198,-1899092,hydrographic,"Molasses Reef","Molasses Reef",official,21.566667,-72.3,TC-000,,
-1312214,-1899114,hypsographic,"Plandon Cay","Plandon Cay",official,21.580688,-71.494337,TC-000,,
-1312227,-1899134,hypsographic,"Six Hill Cays","Six Hill Cays",official,21.460696,-71.629329,TC-000,,
-1312224,17489800,hydrographic,"Sellar’s Cut","Sellar's Cut",official,21.799198,-72.192761,TC-000,,
-1312201,-1899095,hydrographic,"Passe du Mouchoir Carre","Passe du Mouchoir Carre",variant,21.166667,-71,TC-000,,
-1312246,-1899154,hypsographic,"Turk Islands","Turk Islands",variant,21.4,-71.116667,TC-000,,
-1312190,-1899084,hydrographic,"Lorimer Creek","Lorimer Creek",official,21.75,-71.6,TC-000,,
-1312247,-1899161,hypsographic,"Water Cay","Water Cay",official,21.851244,-72.119194,TC-000,,
-1312199,-1899094,hypsographic,"Monkey Hill","Monkey Hill",official,21.928823,-72.018071,TC-000,,
-1312186,-1899079,hydrographic,"Long Bay","Long Bay",official,21.781327,-72.155416,TC-000,,
-1312180,-1899072,settlement,Kew,Kew,official,21.9134,-71.992653,TC-000,,
-1312252,-1899168,hypsographic,"West Sand Spit","West Sand Spit",official,21.391948,-72.138899,TC-000,,
-1312151,-1899038,hydrographic,"Ferguson Cut","Ferguson Cut",official,21.833333,-71.75,TC-000,,
-1312242,-1899152,hydrographic,"Town Salinas","Town Salinas",official,21.466667,-71.133333,TC-000,,
-1312213,-1899113,hypsographic,"Pine Cay","Pine Cay",official,21.873607,-72.09268,TC-000,,
-1312231,-1899139,hypsographic,"South Rock","South Rock",official,21.033333,-71.733333,TC-000,,
-1312203,-1899004,hypsographic,"Caïque du Nord","Caique du Nord",variant,21.904932,-71.955215,TC-000,,
-1312245,-1899155,hydrographic,"Turk Passage","Turk Passage",variant,21.416667,-71.316667,TC-000,,
-1312212,-1899112,hydrographic,"Philips Reef","Philips Reef",official,21.716667,-71.383333,TC-000,,
-1312189,-1899082,hypsographic,"Long Cay","Long Cay",official,21.470788,-71.553909,TC-000,,
-1312202,-1899099,hypsographic,"Nigger Cay","Nigger Cay",official,21.631361,-71.486291,TC-000,,
-1312228,-1899135,hypsographic,"South Bluff","South Bluff",official,21.766667,-72.35,TC-000,,
-1312188,-1899083,hypsographic,"Ile Longue","Ile Longue",variant,21.414312,-71.100202,TC-000,,
-1312249,-1899163,hypsographic,"West Caicos","West Caicos",official,21.665047,-72.454405,TC-000,,
-1312209,-1899108,hypsographic,"Pear Cay","Pear Cay",official,21.183333,-71.683333,TC-000,,
-1312243,-1899153,hydrographic,"Tucker Rock","Tucker Rock",official,21.211773,-71.246379,TC-000,,
-1312168,-1899060,settlement,Greenwich,Greenwich,official,21.95,-71.933333,TC-000,,
-1312174,-1899066,hypsographic,"Hog Cay","Hog Cay",official,21.641478,-71.517567,TC-000,,
-1312201,-1899098,hydrographic,"Mouchoir Passage","Mouchoir Passage",official,21.166667,-71,TC-000,,
-1312245,-1899157,hydrographic,"Turks Island Passage","Turks Island Passage",official,21.416667,-71.316667,TC-000,,
-1312254,-1899170,hydrographic,"Wheeland Cut","Wheeland Cut",official,21.85678,-72.313819,TC-000,,
-1312249,-1899164,hypsographic,"West Caicos Island","West Caicos Island",official,21.665047,-72.454405,TC-000,,
-1312234,-1899142,hydrographic,"Stake Bank","Stake Bank",official,21.553611,-71.527439,TC-000,,
-1312171,-1899063,hydrographic,"Hawks Nest Anchorage","Hawks Nest Anchorage",official,21.419957,-71.137204,TC-000,,
-1312256,-1899172,hypsographic,"White Cay","White Cay",official,21.183333,-71.8,TC-000,,
-1312258,-1899174,settlement,"Yankee Town","Yankee Town",official,21.662577,-72.466308,TC-000,,
-1312236,-1899145,spot,"Sugar Cane Mill","Sugar Cane Mill",official,21.9,-71.983333,TC-000,,
-1312238,-1899147,settlement,"The Bight","The Bight",variant,21.779602,-72.204212,TC-000,,
-1312179,-1899071,hydrographic,"Juniper Hole","Juniper Hole",official,21.883333,-71.883333,TC-000,,
-1312226,-1899132,hydrographic,"Silver passage","Silver passage",variant,20.75,-70.25,TC-000,,
-1312201,-1899097,hydrographic,"Mouchoir Carré Passage","Mouchoir Carre Passage",variant,21.166667,-71,TC-000,,
