wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1091644,-1617722,administrative_region,"Région du Borkou-Ennedi-Tibesti","Region du Borkou-Ennedi-Tibesti",official,18,19,TD-000,1,
-1091644,-1617721,administrative_region,"Préfectures de Borkou-Ennedi-Tibesti","Prefectures de Borkou-Ennedi-Tibesti",variant,18,19,TD-000,1,
-1091644,-1617720,administrative_region,"Préfecture du Borkou-Ennedi-Tibesti","Prefecture du Borkou-Ennedi-Tibesti",variant,18,19,TD-000,1,
-1101855,-1630203,settlement,Nga,Nga,official,13.251177,15.251322,TD-LC,,
-1105576,-1634779,settlement,Yéï,Yei,official,8.7825,17.0169,TD-LR,,
-1095960,-1622986,settlement,"Grin II","Grin II",official,9.9558,15.3539,TD-ME,,
-1094604,-1621366,settlement,Fil,Fil,official,11.2195,19.0423,TD-GR,,
-1090364,-1616104,settlement,Baria,Baria,official,11.014,16.1787,TD-CB,,
-1103344,-1632012,hydrographic,Sakala,Sakala,official,10.9621,21.3252,TD-SA,,
-1089877,-1615513,hydrographic,Baa,Baa,short,10.5,15.2,TD-ME,,
-1092788,-1619160,hydrographic,Di,Di,official,15.228716,14.546892,TD-KA,,
-1103577,-1632295,settlement,"Sé I","Se I",official,8.050124,15.719427,TD-LR,,
10153632,10420124,hypsographic,Kafia,Kafia,official,14.056647,14.117358,TD-KA,,
10316898,10711734,spot,Djélid,Djelid,official,14.169,19.6478,TD-BA,,
10153697,10420189,hypsographic,Kidi,Kidi,official,14.607469,14.722244,TD-KA,,
10321167,10719261,settlement,Bayo,Bayo,official,11.9598,17.5679,TD-GR,,
10322149,10720779,hydrographic,Ba,Ba,official,8.1023,15.9345,TD-LR,,
10338230,10748513,settlement,Daba,Daba,official,9.205023,18.262117,TD-MC,,
-3180555,-4493639,settlement,Ūzū,Uzu,official,21.833333,17.4,TD-000,,
-3180419,-4493432,settlement,Ūrī,Uri,official,21.4,19.216667,TD-000,,
-3179031,-4490623,hydrographic,"Enneri Tidéti","Enneri Tideti",official,22.6,18.4,S1-000,,
-3179031,-4490886,hydrographic,"Enneri Tidedi","Enneri Tidedi",variant,22.6,18.4,S1-000,,
-3179031,-4490622,hydrographic,"Ennedi Tededi",EnnediTededi,official,22.6,18.4,S1-000,,
-3179031,-4490624,hydrographic,"Uadi Tededi","Uadi Tededi",variant,22.6,18.4,S1-000,,
-3179029,-4833952,hydrographic,Tecaro,Tecaro,official,21.55,19.25,S1-000,,
-3179031,-4491580,hydrographic,"Ennedi Uadi Tededi","Ennedi Uadi Tededi",variant,22.6,18.4,S1-000,,
-3178729,-4490136,hydrographic,"Enneri Taanoa","Enneri Taanoa",official,22.616667,17.583333,S1-000,,
-3178729,-4490134,hydrographic,"Ennedi Tanoa","Ennedi Tanoa",variant,22.616667,17.583333,S1-000,,
-3178729,-4490135,hydrographic,"Wād Tanoa",WadTanoa,official,22.616667,17.583333,S1-000,,
-3178871,-4490368,hypsographic,"Tārsū Mūsá","Tarsu Musa",official,21.3,18.6,TD-000,,
-3174845,-4483927,hypsographic,"Gherd es Sara",GherdesSara,official,21,21.233333,S1-000,,
-3174528,-4469992,hypsographic,"Great Desert","Great Desert",variant,26,13,S1-000,,
-3174845,-4483978,hypsographic,"Gherd es Sarra","Gherd es Sarra",variant,21,21.233333,S1-000,,
-3174528,-4483463,hypsographic,Sahara,Sahara,official,26,13,S1-000,,
-3174845,-4483926,hypsographic,"Ghurd as Sara","Ghurd as Sara",official,21,21.233333,S1-000,,
-3174528,-4483465,hypsographic,"Sahara Desert","Sahara Desert",variant,26,13,S1-000,,
-3174528,-4483499,hypsographic,Sahra,Sahra,variant,26,13,S1-000,,
-3174528,-4483464,hypsographic,"Deserto di Sahara","Deserto di Sahara",variant,26,13,S1-000,,
-3170785,-4477671,hydrographic,Mossei,Mossei,official,21.633333,19.416667,S1-000,,
