wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1393049,-2000498,hypsographic,"Europa Island","Europa Island",colloquial,-22.333333,40.366667,TF-000,,
-1393050,-2000500,administrative_region,"Île Tromelin","Ile Tromelin",official,-15.891944,54.523611,TF-000,1,
-1393051,-2000503,hypsographic,"Sandy Island","Sandy Island",variant,-15.891944,54.523611,TF-000,,
-1393051,-2000501,hypsographic,"Île Tromelin","Ile Tromelin",official,-15.891944,54.523611,TF-000,,
-1393048,-2000493,administrative_region,"Europa Island","Europa Island",colloquial,-22.366667,40.366667,TF-000,1,
-1393049,-2000495,hypsographic,"Île Europa","Ile Europa",official,-22.333333,40.366667,TF-000,,
-1393049,-2000496,hypsographic,Europa,Europa,variant,-22.333333,40.366667,TF-000,,
-1393050,-2000499,administrative_region,"Tromelin Island","Tromelin Island",colloquial,-15.891944,54.523611,TF-000,1,
-1393048,-2000494,administrative_region,"Île Europa","Ile Europa",official,-22.366667,40.366667,TF-000,1,
-1393051,-2000506,hypsographic,"Tromelin Island","Tromelin Island",colloquial,-15.891944,54.523611,TF-000,,
-1393051,-2000502,hypsographic,"Ile de Sable","Ile de Sable",variant,-15.891944,54.523611,TF-000,,
-1393051,-2000504,hypsographic,Tromelin,Tromelin,variant,-15.891944,54.523611,TF-000,,
-1312867,-1899971,hypsographic,"Baxos da India","Baxos da India",variant,-21.483333,39.7,TF-000,,
-1312867,-1899969,hypsographic,"Europa Rocks","Europa Rocks",variant,-21.483333,39.7,TF-000,,
-1312867,-1899968,hypsographic,"Récifs Bassas da India","Recifs Bassas da India",variant,-21.483333,39.7,TF-000,,
-1312866,-1899966,administrative_region,"Bassas da India","Bassas da India",official,-21.483333,39.7,TF-000,1,
-1312867,-1899973,hypsographic,"Basse de Judie","Basse de Judie",variant,-21.483333,39.7,TF-000,,
-1312867,-1899972,hypsographic,"Baixo da Judia","Baixo da Judia",variant,-21.483333,39.7,TF-000,,
-1312867,-1899970,hypsographic,Bassas-de-India,Bassas-de-India,variant,-21.483333,39.7,TF-000,,
-1312867,-1899967,hypsographic,"Bassas da India","Bassas da India",official,-21.483333,39.7,TF-000,,
-1309176,-1893747,hypsographic,"Cap du Patanela","Cap du Patanela",official,-48.703771,68.92913,TF-000,,
-1309050,-1893550,hypsographic,"Rocher du Milieu","Rocher du Milieu",official,-38.706331,77.531243,TF-000,,
-1309145,-1893702,hypsographic,"La Table de l’Oiseau","La Table de l'Oiseau",official,-48.6676,69.031248,TF-000,,
-1309019,-1893504,hypsographic,"Pointe Matifou","Pointe Matifou",official,-49.5,69.833333,TF-000,,
-1309091,-1893609,hypsographic,"Îlot Murray","Ilot Murray",variant,-49.524341,70.263609,TF-000,,
-1309191,-1893775,hypsographic,"Le Val Perché","Le Val Perche",variant,-49.475599,69.366255,TF-000,,
-1309295,-1893944,hypsographic,"Mont du Renne","Mont du Renne",official,-49.348268,69.231866,TF-000,,
-1309008,-1893487,hydrographic,"Marmite Port","Marmite Port",official,-49.2,69.666667,TF-000,,
-1309058,-1893478,hydrographic,"Rivière Marinette","Riviere Marinette",variant,-46.383333,51.8,TF-000,,
-1309106,-1893632,hypsographic,"Plateau des Névés","Plateau des Neves",official,-49.539551,69.499391,TF-000,,
-1309205,-1892640,hypsographic,"Cap Elisabeth","Cap Elisabeth",variant,-49.143214,70.185952,TF-000,,
-1309438,-1894215,hypsographic,"Île Swire","Ile Swire",official,-49.15,70.166667,TF-000,,
-1309387,-1894115,hydrographic,"Lac Sibélius","Lac Sibelius",official,-49.383252,69.526686,TF-000,,
