wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1499096,-2140491,settlement,Sié,Sie,official,8,1.116667,TG-000,,
-1498982,-2140341,settlement,Samaï,Samai,official,8.433333,1.366667,TG-000,,
-1498513,-2139745,settlement,Nuhundo,Nuhundo,official,9.95,0.6,TG-000,,
-1495801,-2136168,hydrographic,Bla,Bla,official,6.883333,0.616667,TG-000,,
-1495048,-2135148,spot,Akoida,Akoida,official,9.566667,1,TG-000,,
-1494671,-2134673,settlement,Adiva,Adiva,official,7.516667,1.016667,TG-000,,
335025,416443,settlement,Alagbo,Alagbo,official,6.140833,1.258611,TG-M,,
341360,424245,settlement,Djava,Djava,official,6.221944,1.104444,TG-M,,
341288,424153,settlement,Dola,Dola,official,6.235833,1.195,TG-M,,
-1497099,-2137869,settlement,Kasé,Kase,variant,9.666667,1.283333,TG-000,,
-1496665,-2137270,hydrographic,Gbéloé,Gbeloe,official,7.516667,1.666667,TG-000,,
-1495739,-2136083,hydrographic,Bétémon,Betemon,official,10.516667,0.1,TG-000,,
-1496318,-2136828,settlement,Djuélo,Djuelo,official,9.133333,1.016667,TG-000,,
-1497440,-2138308,settlement,Kouaro,Kouaro,official,7.7,0.683333,TG-000,,
-1496515,-2137074,settlement,Fantomé,Fantome,official,7.133333,1.616667,TG-000,,
-1495919,-2136321,settlement,Bougri,Bougri,official,10.2,0.583333,TG-000,,
-1495715,-2136053,hydrographic,Bélédai,Beledai,official,8.35,1.616667,TG-000,,
-1495340,-2135532,hydrographic,Ata,Ata,official,9,1.166667,TG-000,,
-1497932,-2138977,hydrographic,Lifia,Lifia,official,7,0.7,TG-000,,
-1497291,-2138124,settlement,Kofédo,Kofedo,official,7.5,1.316667,TG-000,,
-1495741,-2136086,settlement,Bétia,Betia,official,7.85,1.083333,TG-000,,
-1497590,-2138518,settlement,Kouokou,Kouokou,official,10.5,0.716667,TG-000,,
-1496983,-2137720,settlement,Kaka,Kaka,official,9.633333,0.75,TG-000,,
-1497880,-2138906,settlement,Laokopé,Laokope,official,7.033333,1.166667,TG-000,,
-1495003,-2135084,hydrographic,Ajatoé,Ajatoe,official,6.8,1.116667,TG-000,,
-1495442,-2135672,settlement,Atiwé,Atiwe,variant,6.45,1.716667,TG-000,,
-1496126,-2136587,hydrographic,Détoé,Detoe,official,7.983333,0.966667,TG-000,,
-1495917,-2136319,settlement,Bougou,Bougou,official,10.983333,0.25,TG-000,,
-1495921,-2136323,settlement,Bouita,Bouita,official,6.866667,0.733333,TG-000,,
-1497906,-2138942,settlement,Legbanou,Legbanou,official,6.216667,1.6,TG-000,,
-1495688,-2136013,settlement,Bato,Bato,official,7.216667,1.133333,TG-000,,
-1495075,-2135180,settlement,Akoutia,Akoutia,official,9.383333,1.316667,TG-000,,
-1495002,-2135083,hydrographic,Ajaika,Ajaika,official,10.066667,0.966667,TG-000,,
-1497183,-2137975,spot,Késo,Keso,variant,6.5,0.966667,TG-000,,
-1494954,-2135021,settlement,Agoumana,Agoumana,official,8.516667,1.5,TG-000,,
-1496317,-2136826,spot,Djovadjé,Djovadje,official,6.7,0.95,TG-000,,
-1495341,-2135535,settlement,Ataké,Atake,official,7.35,1.233333,TG-000,,
