wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
12287616,15213522,hydrographic,"Huai Khun Lao","Huai Khun Lao",official,19.075845,99.387463,TH-57,,
12287536,15213777,hydrographic,ห้วยน้ำนา,ห้วยน้ำนา,unknown,19.320998,99.534049,TH-57,,
12287605,15213511,hydrographic,"Huai Pa Khang","Huai Pa Khang",official,19.102771,99.450185,TH-57,,
12287512,15213753,hydrographic,ห้วยแม่ส้าน,ห้วยแม่ส้าน,unknown,19.497659,99.661309,TH-57,,
12286917,15211600,hydrographic,ห้วยทรายขาว,ห้วยทรายขาว,unknown,19.271905,99.371591,TH-57,,
12287504,15213409,hydrographic,"Huai Nong Daeng","Huai Nong Daeng",official,19.334287,99.514871,TH-57,,
12287547,15213452,hydrographic,"Nam Rong Kia","Nam Rong Kia",official,19.285125,99.515234,TH-57,,
12287454,15213695,hydrographic,ห้วยปางก้อ,ห้วยปางก้อ,unknown,19.884141,99.709221,TH-57,,
12287386,15213290,hydrographic,"Nam Mae Ngao","Nam Mae Ngao",official,19.669055,100.228148,TH-57,,
12286635,15210708,hydrographic,ห้วยตอเฮีย,ห้วยตอเฮีย,unknown,17.459811,99.213859,TH-52,,
12287613,15213855,hydrographic,ห้วยชมพู,ห้วยชมพู,unknown,19.139055,99.499652,TH-57,,
12287515,15213756,hydrographic,ห้วยแม่จอมแง่ขวา,ห้วยแม่จอมแง่ขวา,unknown,19.403691,99.530585,TH-57,,
12287625,15213867,hydrographic,ห้วยหลุแง่ซ้าย,ห้วยหลุแง่ซ้าย,unknown,19.365699,99.374987,TH-57,,
12287594,15213500,hydrographic,"Huai Makliang","Huai Makliang",official,19.185018,99.333252,TH-57,,
12286876,15211595,hydrographic,"Nam Mae Pun Ngae Sai","Nam Mae Pun Ngae Sai",official,19.335071,99.374283,TH-57,,
12286949,15211770,hydrographic,ห้วยน้อย,ห้วยน้อย,unknown,19.479832,99.469933,TH-57,,
12288660,15216206,hydrographic,ห้วยโป่งหลวง,ห้วยโป่งหลวง,unknown,19.982658,100.449907,TH-57,,
12287598,15213504,hydrographic,"Huai Pong","Huai Pong",official,19.113113,99.461442,TH-57,,
12287534,15213775,hydrographic,ห้วยน้ำอุ่น,ห้วยน้ำอุ่น,unknown,19.433309,99.62547,TH-57,,
12286935,15211698,hydrographic,"Huai Cho","Huai Cho",official,19.338659,99.377765,TH-57,,
12287455,15213696,hydrographic,ห้วยป่าขม,ห้วยป่าขม,unknown,19.971784,99.619145,TH-57,,
12287562,15213467,hydrographic,"Huai Rai","Huai Rai",official,19.450165,99.895499,TH-57,,
12286920,15211606,hydrographic,ห้วยหม้อ,ห้วยหม้อ,unknown,19.278237,99.422514,TH-57,,
12287543,15213448,hydrographic,"Huai Sai Klang","Huai Sai Klang",official,19.462158,99.494709,TH-57,,
12287535,15213776,hydrographic,ห้วยน้ำริน,ห้วยน้ำริน,unknown,19.458388,99.616818,TH-57,,
12286919,15211604,hydrographic,ห้วยหมากแขว่น,ห้วยหมากแขว่น,unknown,19.273066,99.394863,TH-57,,
12286949,15211769,hydrographic,"Huai Noi","Huai Noi",official,19.479832,99.469933,TH-57,,
12287567,15213472,hydrographic,"Huai Ko","Huai Ko",official,19.414634,99.928316,TH-57,,
12286923,15211612,hydrographic,"Huai Hin Lat","Huai Hin Lat",official,19.284834,99.415813,TH-57,,
12286946,15211743,hydrographic,"Huai Rai Noi","Huai Rai Noi",official,19.435413,99.437168,TH-57,,
12287538,15213443,hydrographic,"Huai Noi","Huai Noi",official,19.283724,99.530261,TH-57,,
12286933,15211693,hydrographic,ห้วยป่าตึง,ห้วยป่าตึง,unknown,19.295335,99.417976,TH-57,,
12287544,15213785,hydrographic,ห้วยทราย,ห้วยทราย,unknown,19.427163,99.527624,TH-57,,
12286921,15211607,hydrographic,"Huai Pa Rai","Huai Pa Rai",official,19.277657,99.430535,TH-57,,
