wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2557495,-3521740,settlement,Zuman,Zuman,official,38.860567,68.956999,TJ-RA,,
-2557441,-3521670,settlement,Zangi-Baba,Zangi-Baba,official,38.1,69.65,TJ-KT,,
-2557280,-3521428,settlement,Uyuly,Uyuly,official,40.042416,69.064405,TJ-SU,,
-2557044,-3521083,hydrographic,Sor,Sor,official,39.262204,67.675036,TJ-SU,,
-2556730,-3520622,settlement,Purud,Purud,official,38.886336,68.923148,TJ-RA,,
-2556423,-3520115,settlement,Marsor,Marsor,official,38.056733,72.168588,TJ-GB,,
-2556369,-3520030,settlement,Loyeva,Loyeva,official,38.4,70.05,TJ-KT,,
-2556074,-3519589,settlement,Khodishar,Khodishar,official,39.418586,69.23206,TJ-SU,,
-2555854,-3519312,settlement,Kalacha,Kalacha,official,39.283333,69.933333,TJ-RA,,
-2555709,-3519081,settlement,Goch,Goch,official,38.450057,71.054121,TJ-GB,,
-2555618,-3518963,settlement,Dzhur,Dzhur,official,38.8,70.716667,TJ-GB,,
-2555399,-3518652,settlement,Chorsay,Chorsay,official,37.966667,69.85,TJ-KT,,
-2555307,-3518525,settlement,Burma,Burma,official,38.85,68.683333,TJ-RA,,
-3395834,-4831909,hypsographic,"Kōtale Waṟam","Kotale Waram",variant,37.225631,73.822498,S1-000,,
-3395834,-4831911,hypsographic,"Waram Pass","Waram Pass",variant,37.225631,73.822498,S1-000,,
-3395834,11042214,hypsographic,"Kōtal-e Warm","Kotal-e Warm",short,37.225631,73.822498,S1-000,,
-3395834,-4831690,hypsographic,"Kowtal-e Vārām","Kowtal-e Varam",variant,37.225631,73.822498,S1-000,,
-3395834,-4831910,hypsographic,"Kowtal-e Wārām","Kowtal-e Waram",variant,37.225631,73.822498,S1-000,,
-3387080,-4816237,hypsographic,"Pik Povalo-Shveykovskogo","Pik Povalo-Shveykovskogo",variant,37.233333,74.883333,S1-000,,
-3387080,-4851745,hypsographic,"Peak Povalo Shveikovski","Peak Povalo Shveikovski",variant,37.233333,74.883333,S1-000,,
-3387080,-4807180,hypsographic,"Peak Kokrash Kol","Peak Kokrash Kol",variant,37.233333,74.883333,S1-000,,
-3387080,-4816236,hypsographic,"Qullai Povalo-Shveykovskiy","Qullai Povalo-Shveykovskiy",short,37.233333,74.883333,S1-000,,
-3386289,13821548,hydrographic,Pomir,Pomir,official,37.019302,72.660361,S1-000,,
