wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1309595,-1894472,hypsographic,Oatafu,Oatafu,variant,-8.55,-172.5,TK-000,,
-1309619,-1894461,hypsographic,"Nuko Nono Island","Nuko Nono Island",variant,-9.2,-171.9,TK-000,,
-1309636,-1894488,hypsographic,Tisungatu,Tisungatu,official,-9.4,-171.2,TK-000,,
-1309631,-1894483,hypsographic,Sikatai,Sikatai,official,-9.366667,-171.2,TK-000,,
-1309617,-1894463,hypsographic,Nukumassanga,Nukumassanga,official,-9.383333,-171.2,TK-000,,
-1309606,-1894448,hypsographic,Longatana,Longatana,official,-9.4,-171.2,TK-000,,
-1309638,-1894490,hypsographic,"Tokelan Islands","Tokelan Islands",variant,-9,-171.75,TK-000,,
-1309616,-1894462,hypsographic,Nukulakia,Nukulakia,official,-9.416667,-171.216667,TK-000,,
-1309627,-1894477,hypsographic,Patalinga,Patalinga,official,-9.4,-171.233333,TK-000,,
-1309608,-1894451,hypsographic,Mawtu,Mawtu,official,-9.433333,-171.2,TK-000,,
-1309640,-1894498,hypsographic,Tukumatini,Tukumatini,official,-9.4,-171.233333,TK-000,,
-1309638,-1894500,hypsographic,"Union Islands","Union Islands",variant,-9,-171.75,TK-000,,
-1309629,-1894479,hypsographic,Saumatafanga,Saumatafanga,official,-9.416667,-171.2,TK-000,,
-1309629,-1894480,hypsographic,"Saumatafanga Island","Saumatafanga Island",variant,-9.416667,-171.2,TK-000,,
-1309594,-1894428,hypsographic,"Atáfu Island","Atafu Island",variant,-8.533333,-172.516667,TK-000,,
-1309638,-1894489,hypsographic,"Tokalau Islands","Tokalau Islands",variant,-9,-171.75,TK-000,,
-1309604,-1894446,hypsographic,Fulatutasi,Fulatutasi,official,-9.4,-171.2,TK-000,,
-1309603,-1894457,hypsographic,Mulifonua,Mulifonua,variant,-9.333333,-171.216667,TK-000,,
