wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2698267,-3741693,hypsographic,"Soenda Isles","Soenda Isles",variant,-2,110,S1-000,,
-2686419,-3705415,hypsographic,"Indian Archipelago","Indian Archipelago",variant,1.0E-6,120,S1-000,,
-2700387,19492709,hypsographic,"Pequenas Ilhas da Sonda","Pequenas Ilhas da Sonda",official,-9,120,S1-000,,
-2686419,-3701207,hypsographic,"East Indian Archipelago","East Indian Archipelago",variant,1.0E-6,120,S1-000,,
-2686419,-3719028,hypsographic,"Malay Archipelago","Malay Archipelago",official,1.0E-6,120,S1-000,,
-2686419,-3705424,hypsographic,Indonesia,Indonesia,variant,1.0E-6,120,S1-000,,
-2698267,-3743135,hypsographic,"Sunda Islands","Sunda Islands",official,-2,110,S1-000,,
-2700387,-3716237,hypsographic,"Lesser Soendas","Lesser Soendas",variant,-9,120,S1-000,,
-2700387,-3742383,hypsographic,"Southeastern Islands","Southeastern Islands",variant,-9,120,S1-000,,
-2686419,-3719005,hypsographic,Malasia,Malasia,variant,1.0E-6,120,S1-000,,
-2686419,-3719029,hypsographic,Malaysia,Malaysia,variant,1.0E-6,120,S1-000,,
-2686419,-3688244,hypsographic,"Asiatic Archipelago","Asiatic Archipelago",variant,1.0E-6,120,S1-000,,
-2700387,-3711719,hypsographic,"Kleine Sunda-eilanden","Kleine Sunda-eilanden",variant,-9,120,S1-000,,
-2700387,-3716238,hypsographic,"Lesser Sunda Group","Lesser Sunda Group",variant,-9,120,S1-000,,
-2686419,19493316,hypsographic,"Kapuluang Malay","Kapuluang Malay",official,1.0E-6,120,S1-000,,
-2686419,-3701208,hypsographic,"East Indies","East Indies",variant,1.0E-6,120,S1-000,,
-2698267,19493292,hypsographic,"Sunda Isles","Sunda Isles",variant,-2,110,S1-000,,
-2686419,19493315,hypsographic,"Arquipélago Malaio","Arquipelago Malaio",official,1.0E-6,120,S1-000,,
-2700387,-3711718,hypsographic,"Kleine Soenda-eilanden","Kleine Soenda-eilanden",variant,-9,120,S1-000,,
