wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
14811142,19395773,spot,"Phares de la Goulette","Phares de la Goulette",official,36.806024,10.308495,TN-11,,
-3181205,-4494588,hydrographic,"Bi’r Zār","Bi'r Zar",official,31.467426,10.133133,S1-000,,
-3181208,-4494593,hydrographic,"Uadi Zar","Uadi Zar",variant,31.233056,9.999167,S1-000,,
-3181208,-4494595,hydrographic,"Wād Zār","Wad Zar",variant,31.233056,9.999167,S1-000,,
-3181205,18591559,hydrographic,"بئر زار","بئر زار",unknown,31.467426,10.133133,S1-000,,
-3181208,-4494594,hydrographic,"Wādī Zār","Wadi Zar",official,31.233056,9.999167,S1-000,,
-3181205,-1044019,hydrographic,"Biar Zahr","Biar Zahr",variant,31.467426,10.133133,S1-000,,
-3181205,-4494587,hydrographic,"Biar Zar","Biar Zar",variant,31.467426,10.133133,S1-000,,
-3181205,-4494589,hydrographic,"Bir Zar","Bir Zar",variant,31.467426,10.133133,S1-000,,
-3181208,-4494590,hydrographic,"Oued Zar",OuedZar,official,31.233056,9.999167,S1-000,,
-3178947,-4491200,hypsographic,"Erg Touil el Hellab","Erg Touil el Hellab",official,32.183333,10.983333,TN-000,,
-3178947,-4490482,hypsographic,"‘Irq Ţawīl al Ḩallāb","`Irq Tawil al Hallab",variant,32.183333,10.983333,TN-000,,
-3178947,-4491201,hypsographic,"Erg Touil Halleb","Erg Touil Halleb",variant,32.183333,10.983333,TN-000,,
-3178947,-4491334,hypsographic,"Ergh Tuíl Halláb","Ergh Tuil Hallab",variant,32.183333,10.983333,TN-000,,
-3178947,-4491331,hypsographic,"Ergh Tuíl el-Halláb","Ergh Tuil el-Hallab",variant,32.183333,10.983333,TN-000,,
-3178938,-4490470,hydrographic,"Sayḩ aţ Ţawīl","Sayh at Tawil",short,30.71281,10.182979,S1-000,,
-3174074,-4465419,hydrographic,"Oued Chaab er Rtem","Oued Chaab er Rtem",official,31.689641,10.187193,S1-000,,
-3174074,56391,hydrographic,"Wādī Shi‘āb ar Raim","Wadi Shi`ab ar Raim",variant,31.689641,10.187193,S1-000,,
-3174074,-4485311,hydrographic,"Wādī Shi‘b ar Ratam","Wadi Shi`b ar Ratam",variant,31.689641,10.187193,S1-000,,
-3174074,-4482641,hydrographic,"Shi‘āb ar Ratam","Shi`ab ar Ratam",official,31.689641,10.187193,S1-000,,
-3174074,-1037494,hydrographic,"Sciaab er Rtem","Sciaab er Rtem",variant,31.689641,10.187193,S1-000,,
-3173894,-4482375,hypsographic,"Ra’s Ramlat al Msenaat","Ra's Ramlat al Msenaat",variant,31.081627,10.21757,TN-000,,
-3173802,-4482230,hypsographic,"Qārat ar Raḩīl","Qarat ar Rahil",variant,31.96831,10.719465,S1-000,,
