wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2778434,-239123,undersea,"Kermadec-Tonga Ridge","Kermadec-Tonga Ridge",variant,-21,-175,TO-000,,
-2778361,-3856951,settlement,Buke,Buke,variant,-21.131783,-175.238717,TO-04,,
-2778360,-3857622,hypsographic,Puhi,Puhi,official,-19.6,-174.466667,TO-02,,
-2778360,-3856950,hypsographic,Buhi,Buhi,variant,-19.6,-174.466667,TO-02,,
-2778210,-3857384,hypsographic,"Lua Maiti","Lua Maiti",official,-19.833333,-174.533333,TO-02,,
-2778200,-3857361,hypsographic,"Luahoko Island","Luahoko Island",official,-19.671979,-174.39229,TO-02,,
-2778015,-3857033,hypsographic,"Fangasito Island","Fangasito Island",official,-18.766667,-174.133333,TO-05,,
-2778198,-3857351,hypsographic,"Lotuma Island","Lotuma Island",official,-18.660332,-174.011493,TO-05,,
-2778442,-3857750,settlement,Tu‘anuku,Tu`anuku,official,-18.662712,-174.032909,TO-05,,
-2778026,-3857053,hypsographic,"Fatumanga Island","Fatumanga Island",official,-18.783333,-174.183333,TO-05,,
-2778178,-3857317,hypsographic,"Lekeleka Island","Lekeleka Island",official,-18.75,-174,TO-05,,
-2778047,-3857090,hypsographic,"Fonuaika Island","Fonuaika Island",official,-20.116667,-174.7,TO-02,,
-2778058,-3857107,settlement,Fo‘ui,Fo`ui,official,-21.113293,-175.338323,TO-04,,
-2778338,-3857083,hypsographic,Fonou-Foua,Fonou-Foua,variant,-20.033333,-174.683333,TO-02,,
-2778431,-3857726,administrative_region,"Kingdom of Tonga","Kingdom of Tonga",official,-20,-175,TO-000,,
-2778035,-3857070,hydrographic,"Lua Fitu","Lua Fitu",official,-20.333333,-174.633333,TO-02,,
-2777970,-3856974,hypsographic,"Disappointment Tablemount","Disappointment Tablemount",variant,-18.583333,-172.2,TO-000,,
-2778333,19801826,hypsographic,Onevai,Onevai,official,-21.083333,-175.116667,TO-04,,
-2778181,-3857324,hypsographic,"Letteoo Rock","Letteoo Rock",official,-19.966667,-174.7,TO-02,,
-2778387,-3857654,hydrographic,"Sumner Shoal","Sumner Shoal",official,-21.05,-175.233333,TO-04,,
-2778044,-3856969,hypsographic,Culebras,Culebras,variant,-20.316667,-175.416667,TO-02,,
-2778282,-3857488,hypsographic,Muitoulo,Muitoulo,official,-18.6291,-174.07021,TO-05,,
