wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
10939639,12043526,settlement,Dereköy,Derekoy,official,37.590107,37.026451,TR-46,,
10939640,12043530,settlement,Güzelyurt,Guzelyurt,official,37.49622,37.021473,TR-46,,
10939641,12043574,spot,"Kahramanmaraş Havaalanı","Kahramanmaras Havaalani",variant,37.537435,36.953611,TR-46,,
10939641,17731618,spot,Kahramanmaras,Kahramanmaras,official,37.537435,36.953611,TR-46,,
10939642,12043589,settlement,Kılılı,Kilili,official,37.411709,36.883297,TR-46,,
10939643,12043592,settlement,Önsenhopuru,Onsenhopuru,official,37.45639,36.77087,TR-46,,
10939644,12043734,settlement,Kırmakaya,Kirmakaya,official,37.393116,36.727142,TR-46,,
10939645,12043735,settlement,Yolderesi,Yolderesi,official,37.384346,36.720509,TR-46,,
10939866,12043737,settlement,Bademli,Bademli,official,37.218197,36.743061,TR-27,,
10939867,12043738,settlement,Yeşilyurt,Yesilyurt,official,37.239006,36.756695,TR-27,,
10939868,12043739,settlement,Başpınar,Baspinar,official,37.195816,36.72652,TR-27,,
10939870,12043743,settlement,Minehüyük,Minehuyuk,official,37.291286,36.864414,TR-27,,
10939871,12043745,settlement,Özbek,Ozbek,official,37.368229,36.961414,TR-46,,
10939872,12043746,settlement,Kumçatı,Kumcati,official,37.377598,37.010143,TR-46,,
10939873,12043747,settlement,Yeniköy,Yenikoy,official,37.363316,37.003059,TR-46,,
10939874,12043748,settlement,Alibeyuşağı,Alibeyusagi,official,37.416202,37.02256,TR-46,,
10939875,12043749,settlement,Halkaçayırı,Halkacayiri,official,37.391739,37.065964,TR-46,,
10939876,12043751,settlement,Denizli,Denizli,official,37.426243,37.099423,TR-46,,
10939877,12044094,settlement,Yeniyurt,Yeniyurt,official,37.445007,37.036312,TR-46,,
10939877,12044093,settlement,Ituşağı,Itusagi,variant,37.445007,37.036312,TR-46,,
10939878,12044097,hypsographic,"Gedikli Hüyük","Gedikli Huyuk",official,37.210016,36.806115,TR-27,,
10939879,12044100,settlement,Kelibişler,Kelibisler,official,37.336491,36.997734,TR-46,,
10939880,12044101,settlement,Cennetpınar,Cennetpinar,variant,37.312914,37.007472,TR-46,,
10939880,16282536,settlement,Cennetpınarı,Cennetpinari,official,37.312914,37.007472,TR-46,,
10939881,12044102,settlement,Eğlen,Eglen,official,37.330139,37.126892,TR-46,,
10939882,12044103,settlement,Dedepaşa,Dedepasa,official,37.331768,37.122536,TR-46,,
10939883,12044108,settlement,Kadıncık,Kadincik,official,37.379703,37.150577,TR-46,,
10939884,12044111,settlement,Doğanlı,Doganli,official,37.412155,37.15308,TR-46,,
10939885,12044859,settlement,Kuzkent,Kuzkent,official,37.370342,37.26408,TR-46,,
10940346,16282564,settlement,Keleş,Keles,official,37.353453,37.287908,TR-46,,
10940346,12044860,settlement,Keles,Keles,variant,37.353453,37.287908,TR-46,,
10940347,12044865,settlement,Karagöl,Karagol,official,37.343121,37.327633,TR-27,,
10940348,12044866,settlement,İğdeli,Igdeli,official,37.370739,37.217163,TR-46,,
10940349,12044870,settlement,Ganidağı,Ganidagi,official,37.471333,37.421799,TR-46,,
10940350,12044913,settlement,"Yukarı Hücüklü","Yukari Hucuklu",official,37.371464,37.411175,TR-27,,
10940413,12045411,settlement,Gökçeli,Gokceli,official,37.547989,36.378246,TR-46,,
10940414,12045451,settlement,Küçüksır,Kucuksir,official,37.493744,36.600361,TR-46,,
10940415,12045452,spot,"Sır Barajı","Sir Baraji",official,37.485924,36.579769,TR-46,,
10940416,12045574,settlement,Dereboğazı,Derebogazi,official,37.527306,36.699764,TR-46,,
10940417,12045575,settlement,Kurtlar,Kurtlar,official,37.541973,36.788792,TR-46,,
10940418,12045576,settlement,Afşar,Afsar,official,37.580296,36.784668,TR-46,,
10940418,12045592,settlement,Avşar,Avsar,variant,37.580296,36.784668,TR-46,,
10940419,12045577,settlement,Zeytindere,Zeytindere,official,37.542313,36.741146,TR-46,,
10940420,12045579,settlement,Karataş,Karatas,official,37.544269,36.72708,TR-46,,
10940421,12045581,settlement,Muratlı,Muratli,official,37.489574,36.518505,TR-46,,
10940422,12045582,settlement,Kerimli,Kerimli,official,37.51862,36.544594,TR-46,,
10940423,12045583,settlement,Reyhanlı,Reyhanli,official,37.5322,36.545811,TR-46,,
10940424,12045584,settlement,Saygılı,Saygili,official,37.531239,36.602314,TR-46,,
10940425,12045586,settlement,Suluyayla,Suluyayla,official,37.561234,36.515446,TR-46,,
10940906,12045588,settlement,Kürtül,Kurtul,official,37.632004,36.733086,TR-46,,
10940907,12045590,park,"Kahramanmaraş Organize Sanayı","Kahramanmaras Organize Sanayi",official,37.604802,36.773074,TR-46,,
10940908,12045591,settlement,Orhangazi,Orhangazi,official,37.619877,36.714993,TR-46,,
10940909,12045593,hypsographic,"Alikayası Geçidi","Alikayasi Gecidi",official,37.684076,36.724057,TR-46,,
10940910,12045595,settlement,Suçatı,Sucati,official,37.783127,36.691666,TR-46,,
10940911,12045596,spot,"Suçatı Barajı","Sucati Baraji",official,37.762275,36.712525,TR-46,,
10974087,15405569,settlement,Nurettinköy,Nurettinkoy,official,37.452736,37.953886,TR-27,,
