wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1360751,-1959211,hydrographic,"Salt Water River","Salt Water River",official,10.128578,-61.10089,TT-MRC,,
-1360954,-1959496,hypsographic,"Virgin Hill","Virgin Hill",official,10.120661,-61.080559,TT-MRC,,
-1359920,-1958096,settlement,Esperance,Esperance,official,10.246505,-61.452796,TT-PED,,
-1359823,-1957965,administrative_region,"Cunupia Ward","Cunupia Ward",variant,10.55,-61.333333,TT-CTT,,
-1360727,-1959164,settlement,"Saint Joseph","Saint Joseph",official,10.284479,-61.446972,TT-SFO,,
-1360190,-1958456,hydrographic,"La Tinta Bay","La Tinta Bay",official,10.682561,-61.759749,TT-DMN,,
-1360492,20032434,hydrographic,Oropuna,Oropuna,official,10.607713,-61.361362,TT-TUP,,
-1359796,-1959028,hydrographic,"Quare River","Quare River",variant,10.606251,-61.107088,TT-SGE,,
-1360116,-1958352,hydrographic,"Iguana Bay","Iguana Bay",official,11.339903,-60.544415,TT-TOB,,
-1360808,-1959284,hydrographic,"Serpents Mouth","Serpents Mouth",official,10.04549,-61.935507,TT-000,,
-1360719,-1959152,administrative_region,"Saint George West","Saint George West",variant,10.666667,-61.416667,TT-000,1,
-1360870,14629627,hydrographic,L’Etang,L'Etang,official,10.396474,-61.163141,TT-MRC,,
-1360228,-1958503,hydrographic,"Ravine Lizard","Ravine Lizard",variant,10.149904,-61.026094,TT-MRC,,
-1360843,20032369,hydrographic,Stetin,Stetin,official,11.289157,-60.672465,TT-TOB,,
-1360974,-1959523,park,"Windbelt Reserve","Windbelt Reserve",official,10.599885,-61.031518,TT-SGE,,
-1360746,-1959198,hypsographic,"Morne Salé","Morne Sale",official,10.780342,-61.28503,TT-TUP,,
-1360717,-1959183,hypsographic,"Saint Mary’s Point","Saint Mary's Point",variant,10.083333,-61.85,TT-SIP,,
-1360353,-1958670,settlement,"Mc Bean Village","Mc Bean Village",variant,10.447672,-61.452153,TT-CTT,,
-1360639,-1959043,hypsographic,"Point Radix","Point Radix",official,10.333545,-60.97517,TT-MRC,,
-1360816,-1959293,hypsographic,"Signal Hill","Signal Hill",official,11.166667,-60.766667,TT-TOB,,
-1360455,-1958803,hydrographic,"Navette River","Navette River",official,10.18229,-61.002841,TT-MRC,,
-1360295,-1958587,hypsographic,Manati,Manati,variant,10.416667,-61.033333,TT-MRC,,
-1360794,20032375,hydrographic,Savaneta,Savaneta,official,10.387863,-61.482158,TT-CTT,,
-1360676,-1959092,hypsographic,"Point Rouge","Point Rouge",official,10.146626,-61.789613,TT-SIP,,
-1360100,20032529,hydrographic,Homard,Homard,official,10.830991,-61.064317,TT-SGE,,
-1360124,-1958363,hydrographic,"Irois River","Irois River",official,10.148755,-61.763556,TT-SIP,,
-1360330,20032469,hydrographic,Matapane,Matapane,official,10.566667,-61.2,TT-SGE,,
-1360534,-1958902,hypsographic,"Pelican Rock","Pelican Rock",variant,10.213967,-61.634028,TT-SIP,,
-1360663,-1959077,settlement,Riseland,Riseland,official,11.166667,-60.783333,TT-TOB,,
-1360771,-1959236,settlement,"Sangre Grande Oropuche","Sangre Grande Oropuche",official,10.594448,-61.078379,TT-SGE,,
-1360885,-1959391,hydrographic,"Têteron Bay","Teteron Bay",official,10.684434,-61.665078,TT-DMN,,
-1360458,-1958806,hydrographic,"Neg River","Neg River",official,10.218482,-61.587847,TT-SIP,,
-1359832,-1957975,settlement,Curucaye,Curucaye,official,10.669118,-61.450232,TT-SJL,,
-1360024,20032552,hydrographic,"Grand Fond","Grand Fond",official,10.832642,-60.97369,TT-SGE,,
-1359998,-1958201,hydrographic,"Anse Goulême","Anse Gouleme",variant,11.316314,-60.520441,TT-TOB,,
-1360937,14629620,settlement,"Upper Carapichaima","Upper Carapichaima",official,10.445562,-61.396342,TT-CTT,,
