wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1322264,-1910754,hypsographic,Finualanga,Finualanga,official,-9.433333,179.883333,TV-NKL,,
-1322260,-1910748,hypsographic,Fanutapu,Fanutapu,official,-7.249119,177.155199,TV-NUI,,
-1322315,-1910818,hypsographic,Nanumaga,Nanumaga,official,-6.290647,176.322558,TV-NMG,,
-1322327,-1910841,hydrographic,"Te Ava Papa","Te Ava Papa",official,-8.533333,179.066667,TV-FUN,,
-1322247,-1910724,hypsographic,Avalau,Avalau,official,-8.65,179.083333,TV-FUN,,
-1322338,-1910859,hypsographic,"Strickland Rock","Strickland Rock",official,-8.566667,179.133333,TV-FUN,,
-1322357,-1910886,hypsographic,"Tepuka Vili Vili","Tepuka Vili Vili",official,-8.466667,179.083333,TV-FUN,,
-1322263,-1910752,hypsographic,Fatato,Fatato,official,-8.55,179.183333,TV-FUN,,
-1322324,-1910732,hypsographic,"De Peysters Island","De Peysters Island",variant,-8,178.366667,TV-NKF,,
-1322288,-1910782,hypsographic,Lakina,Lakina,official,-5.649719,176.070283,TV-NMA,,
-1322317,19802756,hypsographic,Nanumea,Nanumea,official,-5.661485,176.103513,TV-NMA,,
-1322315,-1910820,hypsographic,Nanumanga,Nanumanga,variant,-6.290647,176.322558,TV-NMG,,
-1322365,-1910740,hypsographic,"Ellice Islands District","Ellice Islands District",variant,-8,178,TV-000,,
-1322246,-1910723,settlement,Asau,Asau,official,-7.490207,178.69367,TV-VAI,,
-1322281,-1910772,hypsographic,"Hounson Rock","Hounson Rock",official,-8.566667,179.133333,TV-FUN,,
-1322306,-1910805,hypsographic,Motuloa,Motuloa,official,-9.35,179.866667,TV-NKL,,
-1322254,-1910868,hypsographic,"Teafuaono Island","Teafuaono Island",variant,-7.983333,178.333333,TV-NKF,,
-1322324,-1910833,hypsographic,"Nukufetau Atoll","Nukufetau Atoll",official,-8,178.366667,TV-NKF,,
-1322311,-1910810,hypsographic,Motungie,Motungie,official,-8.65,179.1,TV-FUN,,
-1322328,-1910842,hypsographic,Pava,Pava,official,-8.433333,179.133333,TV-FUN,,
-1322325,-1910835,hypsographic,"Nukulaelae Atoll","Nukulaelae Atoll",official,-9.383333,179.866667,TV-NKL,,
-1322317,-1910822,hypsographic,"Nanumea Atoll","Nanumea Atoll",official,-5.661485,176.103513,TV-NMA,,
-1322319,-1910836,hypsographic,Nukulakita,Nukulakita,variant,-10.75,179.5,TV-000,,
-1322341,-1910862,settlement,Tanrake,Tanrake,official,-7.245269,177.146851,TV-NUI,,
-1322320,-1910856,hypsographic,"Sepper Island","Sepper Island",variant,-6.10689,177.343611,TV-NIT,,
-1322355,-1910884,hydrographic,"Te Ava Tepuka","Te Ava Tepuka",official,-8.466667,179.083333,TV-FUN,,
