wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2573911,-3542242,hypsographic,Tandesi,Tandesi,official,-5.4,35.533333,TZ-03,,
-2573772,-3542083,settlement,Stambuli,Stambuli,official,-5.15,39.766667,TZ-06,,
-2573771,-3542082,settlement,Stambuli,Stambuli,official,-5.05,39.716667,TZ-06,,
-2573709,-3542001,settlement,Solwa,Solwa,official,-3.4,32.9,TZ-22,,
-2573708,-3542000,settlement,Solulu,Solulu,official,-8,36.85,TZ-16,,
-2573707,-3541999,settlement,Solowu,Solowu,official,-5.65,35.916667,TZ-03,,
-2573615,-3541888,hypsographic,Sinda,Sinda,official,-6.816667,39.4,TZ-02,,
-2573567,-3541833,settlement,Sigwelo,Sigwelo,official,-4.966667,38.316667,TZ-25,,
-2573461,-3541701,settlement,Shanwa,Shanwa,official,-3.166667,33.766667,TZ-30,,
-2573413,-3541647,hydrographic,Serofu,Serofu,official,-5.033333,35.033333,TZ-23,,
-2573412,-3541646,hydrographic,Sero,Sero,official,-2.6,35.9,TZ-01,,
-2573344,-3541566,settlement,Segoma,Segoma,official,-4.983333,38.75,TZ-25,,
-2573291,-3541500,settlement,Sasajila,Sasajila,official,-6.716667,35.95,TZ-03,,
-2573290,-3541499,settlement,Sasajila,Sasajila,official,-5.933333,34.95,TZ-23,,
-2573203,-3541388,settlement,Salimu,Salimu,official,-4.85,35.183333,TZ-23,,
-2573094,-3541233,settlement,Rusoli,Rusoli,official,-1.85,33.416667,TZ-13,,
-2573071,-3541207,hypsographic,Runyu,Runyu,official,-10.2,38.683333,TZ-12,,
-2573070,-3541206,hydrographic,Runone,Runone,official,-1.116667,30.583333,TZ-05,,
-2573010,-3541137,hypsographic,Ruhungu,Ruhungu,official,-5.966667,37.716667,TZ-16,,
-2572988,-3541107,settlement,Rufiri,Rufiri,official,-8.633333,36.45,TZ-16,,
-2572946,-3541057,settlement,Ruanlisa,Ruanlisa,official,-6.05,34.683333,TZ-23,,
-2572945,-3541056,settlement,Ruangwa,Ruangwa,official,-10.066667,38.933333,TZ-12,,
-2572842,-3540923,settlement,Putini,Putini,official,-5.45,38.966667,TZ-25,,
-2572841,-3540922,hypsographic,Purussi,Purussi,official,-7.616667,37.5,TZ-16,,
-2572767,-3540832,settlement,Pombwe,Pombwe,official,-5.4,38.866667,TZ-25,,
-2572766,-3540831,settlement,Pombwe,Pombwe,official,-4.966667,39.766667,TZ-06,,
-2572765,-3540830,settlement,Poli,Poli,official,-3.333333,36.8,TZ-01,,
-2572764,-3540829,settlement,Pola,Pola,official,-6.233333,34.933333,TZ-23,,
-2572763,-3540828,hydrographic,Poiasi,Poiasi,official,-8.516667,39.416667,TZ-12,,
-2572762,-3540827,settlement,Pogwe,Pogwe,official,-4.966667,39.733333,TZ-06,,
-2572761,-3540826,settlement,Pogwa,Pogwa,official,-4.983333,39.75,TZ-06,,
-2572760,-3540824,hydrographic,Pitu,Pitu,official,-9.183333,35.9,TZ-000,,
-2572759,-3540823,settlement,Pito,Pito,official,-8.116667,31.633333,TZ-20,,
-2572734,-3540758,settlement,Peete,Peete,variant,-6.283333,39.416667,TZ-11,,
-2572733,-3540793,administrative_region,Pete,Pete,official,-6.278144,39.408119,TZ-11,,
-2572732,-3540791,settlement,Perani,Perani,official,-5.316667,39.7,TZ-10,,
-2572669,-3540710,settlement,Pangeni,Pangeni,official,-5.1,39.766667,TZ-06,,
-2572596,-3540933,settlement,Pwani,Pwani,variant,-5.9,39.35,TZ-07,,
-2572545,-3540545,settlement,Oldeani,Oldeani,official,-3.35,35.55,TZ-01,,
-2572516,-3540513,settlement,Nzinge,Nzinge,official,-6.166667,35.633333,TZ-03,,
-2572515,-3540510,settlement,Nzima,Nzima,official,-3.333333,32.866667,TZ-22,,
-2572514,-3540512,settlement,Nzimu,Nzimu,variant,-3.05,32.8,TZ-18,,
-2572514,-3540509,settlement,Nzima,Nzima,official,-3.05,32.8,TZ-18,,
-2572513,-3540507,settlement,Nzihe,Nzihe,variant,-7.716667,35.533333,TZ-04,,
-2572434,-3540405,hypsographic,Nyata,Nyata,official,-3.766667,37.733333,TZ-09,,
-2572389,-3540345,hydrographic,Nyanuya,Nyanuya,official,-8.533333,35.283333,TZ-04,,
-2572388,-3540344,hypsographic,Nyanuwa,Nyanuwa,official,-8.833333,33.533333,TZ-14,,
-2572387,-3540343,settlement,Nyanungu,Nyanungu,official,-1.4,34.733333,TZ-13,,
-2572337,-3540280,hypsographic,Nyangala,Nyangala,official,-6.333333,37.15,TZ-16,,
-2572336,-3540279,settlement,Nyangai,Nyangai,official,-7.2,35.433333,TZ-04,,
-2572335,-3540278,settlement,Nyandu,Nyandu,official,-6.833333,36.25,TZ-03,,
-2572213,-3540134,hydrographic,Nyama,Nyama,official,-4.866667,39.8,TZ-06,,
-2572212,-3540133,hypsographic,Nyama,Nyama,official,-4.7,35.5,TZ-26,,
-2572211,-3540131,hydrographic,Nyalwe,Nyalwe,official,-8.733333,35.233333,TZ-04,,
-2571885,-3529407,hypsographic,Injaa,Injaa,variant,-10.4,38.916667,TZ-12,,
-2571796,-3539593,settlement,Ngulwi,Ngulwi,official,-4.816667,38.3,TZ-25,,
-2571750,-3539541,settlement,Ngombo,Ngombo,official,-11.516667,34.983333,TZ-21,,
-2571749,-3539540,settlement,Ngombo,Ngombo,official,-8.866667,35.966667,TZ-16,,
-2571748,-3539539,settlement,Ngombo,Ngombo,official,-8.833333,36.05,TZ-16,,
-2571747,-3539538,settlement,Ngombi,Ngombi,official,-8.833333,36.8,TZ-16,,
-2571656,-3539429,settlement,Ngano,Ngano,official,-2.95,34.216667,TZ-30,,
-2571409,-3539124,settlement,Nanzovu,Nanzovu,official,-8.55,32.2,TZ-20,,
-2571125,-3538782,settlement,Mzinge,Mzinge,official,-7.333333,37.8,TZ-16,,
-2571078,-3538727,settlement,Mwombali,Mwombali,official,-5.766667,39.3,TZ-07,,
-2571034,-3538673,settlement,Mwera,Mwera,official,-8.55,31.566667,TZ-20,,
-2571033,-3538672,settlement,Mwera,Mwera,official,-7.986978,39.658763,TZ-19,,
-2571032,-3538671,settlement,Mwera,Mwera,official,-6.416667,39.55,TZ-11,,
-2571031,-3538670,settlement,Mwera,Mwera,official,-6.15,39.283333,TZ-11,,
-2571030,-3538669,settlement,Mwera,Mwera,official,-6.15,39.266667,TZ-15,,
-2571029,-3538668,settlement,Mwera,Mwera,official,-5.533333,38.933333,TZ-25,,
-2570985,-3538617,settlement,Mwaya,Mwaya,official,-8.533333,31.9,TZ-20,,
-2570984,-3538616,settlement,Mwaya,Mwaya,official,-8.266667,36.35,TZ-16,,
-2570961,-3538590,settlement,Mwasa,Mwasa,official,-6.666667,36.75,TZ-16,,
-2570960,-3538589,settlement,Mwasa,Mwasa,official,-5.733333,35.116667,TZ-23,,
-2570836,-3538442,hypsographic,Mwamala,Mwamala,official,-4.083333,32.95,TZ-24,,
-2570786,-3538389,settlement,Mwadudu,Mwadudu,official,-6.016667,39.4,TZ-07,,
-2570785,-3538388,spot,Mwadila,Mwadila,official,-3.25,33.866667,TZ-30,,
-2570784,-3538387,hydrographic,Mwadii,Mwadii,official,-4.9,35,TZ-23,,
-2570783,-3538385,hypsographic,Mwachesa,Mwachesa,official,-5.666667,38.6,TZ-25,,
-2570782,-3538384,hypsographic,Mwabasi,Mwabasi,official,-2.666667,34.083333,TZ-30,,
-2570611,-3538170,hydrographic,Mungo,Mungo,variant,-8.166667,35.6,TZ-04,,
-2570562,-3538097,hypsographic,Mukibusi,Mukibusi,official,-1.75,33.9,TZ-13,,
-2570457,-3537962,spot,Mugana,Mugana,official,-1.2,31.683333,TZ-05,,
-2570380,-3537862,settlement,Mtopwa,Mtopwa,official,-10.7,39.4,TZ-17,,
-2570379,-3537861,hydrographic,Mtopesi,Mtopesi,official,-10.683333,35.316667,TZ-21,,
-2570378,-3537860,hydrographic,Mtonya,Mtonya,official,-10.4,36.05,TZ-21,,
-2570377,-3537859,settlement,Mtonya,Mtonya,official,-10.4,36.116667,TZ-21,,
-2570324,-3537799,settlement,Mtika,Mtika,official,-11.216667,37.566667,TZ-21,,
-2570294,-3537768,settlement,Mtemani,Mtemani,official,-5.233333,39.766667,TZ-10,,
-2570293,-3537767,settlement,Mtemani,Mtemani,official,-5.216667,39.766667,TZ-10,,
-2570292,-3537766,settlement,Mtemani,Mtemani,official,-5.183333,39.816667,TZ-06,,
-2570291,-3537765,settlement,Mtemani,Mtemani,official,-5.183333,39.766667,TZ-06,,
-2570290,-3537764,settlement,Mtemani,Mtemani,official,-5.166667,39.766667,TZ-06,,
-2570289,-3537763,settlement,Mtemani,Mtemani,official,-5.15,39.783333,TZ-06,,
-2570288,-3537762,settlement,Mtemani,Mtemani,official,-5.133333,39.75,TZ-06,,
-2570287,-3537761,settlement,Mtemani,Mtemani,official,-5.116667,39.75,TZ-06,,
-2570286,-3537760,settlement,Mtemani,Mtemani,official,-5.1,39.783333,TZ-06,,
-2570285,-3537759,settlement,Mtemani,Mtemani,official,-5.05,39.733333,TZ-06,,
