wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
143506,176157,settlement,Artamonov,Artamonov,variant,49.973646,36.455196,UA-63,,
143618,14516345,settlement,Пушкарне,Пушкарне,unknown,49.790451,36.874594,UA-63,,
142731,175221,settlement,Uroki,Uroki,short,49.638056,37.845556,UA-000,1,
143528,19702961,spot,"Stantsiia Loseve","Stantsiia Loseve",official,49.951349,36.380431,UA-63,,
143663,14516029,settlement,Mykhaylivka,Mykhaylivka,variant,49.832979,37.267631,UA-63,,
143528,14561786,spot,"Станція Лосеве","Станція Лосеве",unknown,49.951349,36.380431,UA-63,,
144116,14493497,settlement,Шляхове,Шляхове,unknown,49.956196,37.457015,UA-63,,
142723,175213,settlement,Kruglyakovka,Kruglyakovka,variant,49.529395,37.714959,UA-63,,
143651,14516190,settlement,Одрадне,Одрадне,unknown,49.756855,37.114066,UA-63,,
142524,14510162,settlement,Ставище,Ставище,unknown,49.629126,37.146264,UA-63,,
142608,14526803,spot,"Станция Староверовка","Станция Староверовка",unknown,49.677616,37.446141,UA-63,,
142552,20348033,hydrographic,Senok,Senok,official,49.510626,37.644726,UA-63,,
142695,14505028,settlement,Tamarhanivka,Tamarhanivka,official,49.654678,37.549769,UA-63,,
143528,176180,spot,"Stantsiya Losevo","Stantsiya Losevo",variant,49.951349,36.380431,UA-63,,
142520,14509991,settlement,Олексіївка,Олексіївка,unknown,49.611209,37.183638,UA-63,,
143428,14555123,spot,"Stantsiya Novozhanove","Stantsiya Novozhanove",variant,49.95367,36.203998,UA-63,,
142529,174997,settlement,Smirno-Bulavino,Smirno-Bulavino,short,49.659444,37.116944,UA-63,,
143667,176343,settlement,Shevchenko,Shevchenko,variant,49.866667,37.305,UA-63,,
143671,14492856,settlement,Ivanivka,Ivanivka,official,49.87732,37.315229,UA-63,,
143686,176364,settlement,Petrovskiy,Petrovskiy,short,49.933056,37.324167,UA-63,,
144139,176878,settlement,"Nikolayevka Vtoraya","Nikolayevka Vtoraya",variant,49.872177,37.459728,UA-63,,
143506,19581904,settlement,Благодатне,Благодатне,unknown,49.973646,36.455196,UA-63,,
143599,176269,settlement,Selyanin,Selyanin,short,49.991111,36.755,UA-63,,
142705,175192,settlement,Sobolëvka,Sobolevka,variant,49.705281,37.562227,UA-63,,
143624,19702965,hydrographic,Hnylytsia,Hnylytsia,official,49.923616,37.004353,UA-63,,
142540,175009,settlement,Duvanka,Duvanka,official,49.535133,37.424225,UA-63,,
142693,14505260,settlement,Осадьківка,Осадьківка,unknown,49.661331,37.531667,UA-63,,
143526,176178,settlement,Losevo,Losevo,short,49.953611,36.321667,UA-63,,
142532,14515743,settlement,Огурцівка,Огурцівка,unknown,49.677907,37.169471,UA-63,,
143535,176188,settlement,Chunikhin,Chunikhin,short,49.946944,36.336667,UA-63,,
143681,14493328,settlement,Нестерівка,Нестерівка,unknown,49.901211,37.30966,UA-63,,
142709,14525672,spot,"Stantsiya Zaoskillya","Stantsiya Zaoskillya",variant,49.708161,37.636981,UA-63,,
143638,176310,settlement,Shevchenko,Shevchenko,variant,49.899933,37.207392,UA-63,,
143628,176298,settlement,Arkushino,Arkushino,variant,49.956667,37.149167,UA-63,,
142552,20348031,hydrographic,Сеньок,Сеньок,unknown,49.510626,37.644726,UA-63,,
143568,176223,settlement,"Veselyy Poselok","Veselyy Poselok",short,49.903333,36.485833,UA-63,,
143654,14516175,settlement,Лелюківка,Лелюківка,unknown,49.782777,37.134793,UA-63,,
142728,175218,settlement,Rusanovka,Rusanovka,short,49.609444,37.883889,UA-000,1,
142719,14526685,spot,Kurylivka,Kurylivka,official,49.658573,37.669541,UA-63,,
143672,14492852,settlement,Shyshkivka,Shyshkivka,official,49.875234,37.291857,UA-63,,
142723,14935438,settlement,Kruhlyakivka,Kruhlyakivka,variant,49.529395,37.714959,UA-63,,
143654,14516174,settlement,Lelyukivka,Lelyukivka,variant,49.782777,37.134793,UA-63,,
