wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1735382,-2431336,settlement,Wabibo,Wabibo,official,0.1,31.816667,UG-121,,
-1728750,-2423232,hypsographic,Kalehe,Kalehe,official,-0.95,29.616667,UG-414,,
-1727283,-2421455,settlement,Butale,Butale,official,-0.95,30.716667,UG-418,,
11330085,13322859,settlement,Roli,Roli,official,2.659294,31.006174,UG-336,,
11329864,13322367,settlement,Lowa,Lowa,official,3.347759,31.842199,UG-301,,
11326990,13316587,hydrographic,Yeka,Yeka,official,1.802946,31.789162,UG-409,,
11327199,13316857,settlement,Ayila,Ayila,official,2.448951,31.115531,UG-310,,
11328375,13319240,park,Kamuli,Kamuli,official,1.552955,31.339331,UG-403,,
11323646,13307789,park,Sonso,Sonso,official,1.66097,31.572611,UG-409,,
11326015,13314475,hydrographic,Kayebe,Kayebe,official,1.611981,31.978709,UG-409,,
11915545,14570804,hydrographic,Celu,Celu,official,3.835012,33.003488,UG-326,,
11914725,14568151,hydrographic,Akudam,Akudam,official,3.700245,33.530578,UG-000,,
11924141,14591777,settlement,Kini,Kini,official,3.857233,33.069611,UG-326,,
11866320,14471944,park,Jaka,Jaka,official,3.005227,32.907133,UG-312,,
-1732020,-2427205,hydrographic,Matawa,Matawa,official,0.734167,33.920278,UG-212,,
-1734092,-2429714,hydrographic,Obi,Obi,official,3.335957,30.941957,UG-320,,
-1728439,-2422876,settlement,Kadoto,Kadoto,official,1.2,33.733333,UG-210,,
-1727476,-2421666,settlement,Buzhaga,Buzhaga,official,-0.733333,30.383333,UG-435,,
-1731942,-2427101,hypsographic,Mandwiga,Mandwiga,official,1.2,30.9,UG-432,,
-1731556,-2426648,settlement,Lusango,Lusango,official,-0.127778,31.833611,UG-122,,
-1734067,-2429678,hypsographic,Nyeri,Nyeri,official,3.792675,31.824442,UG-309,,
-1731391,-2426442,settlement,Lubale,Lubale,official,-0.633333,30.1,UG-423,,
-1734960,-2430802,settlement,Ryeru,Ryeru,official,-0.3,30.1,UG-425,,
-1730660,-2425502,park,Kome,Kome,official,-0.083333,32.716667,UG-108,,
-1735012,-2430865,hydrographic,Sara,Sara,official,0.833834,30.05162,UG-401,,
-1730639,-2425470,hypsographic,Kokito,Kokito,official,2.283333,34.233333,UG-327,,
-1734835,-2430660,settlement,Rutokye,Rutokye,official,-0.516667,30.016667,UG-423,,
-1728211,-2424315,settlement,Kazi,Kazi,variant,0.211915,32.611856,UG-113,,
-1732632,-2427959,settlement,Musima,Musima,official,0.42727,33.55282,UG-214,,
-1730640,-2425471,settlement,Koko,Koko,official,0.616667,32.633333,UG-104,,
-1731583,-2426683,settlement,Lutoma,Lutoma,official,-0.6,31.366667,UG-110,,
-1732021,-2427206,settlement,Mate,Mate,official,0.616667,32.133333,UG-115,,
-1732355,-2427630,settlement,Mpoma,Mpoma,official,0.437085,32.73954,UG-108,,
-1731792,-2426929,settlement,Mabuye,Mabuye,official,0.268475,32.377907,UG-106,,
-1732608,-2427933,hypsographic,Musalala,Musalala,official,1,32.6,UG-104,,
-1732018,-2427202,hydrographic,Matanda,Matanda,official,-0.666667,29.7,UG-414,,
-1730082,-2424826,settlement,Kilinya,Kilinya,official,0.683333,32.366667,UG-116,,
-1731762,-2426897,hypsographic,Mabale,Mabale,official,-0.033333,31.833333,UG-122,,
-1731555,-2426647,hydrographic,Lusamatu,Lusamatu,official,-0.15,31.683333,UG-118,,
-1728097,-2422445,settlement,Iringa,Iringa,official,1.266667,32.983333,UG-226,,
-1731394,-2426446,settlement,Lubanga,Lubanga,official,0.113942,32.078186,UG-106,,
-1729906,-2424635,hydrographic,Kigoye,Kigoye,official,0.516667,31.933333,UG-115,,
-1731392,-2426444,hydrographic,Lubamba,Lubamba,official,1.166667,31.4,UG-000,,
-1735130,-2430998,hydrographic,Siroko,Siroko,official,1.483333,34.233333,UG-000,,
-1728491,-2422935,hydrographic,Kagaye,Kagaye,official,0.166667,30.883333,UG-433,,
-1731793,-2426930,hypsographic,Mabuye,Mabuye,official,0.166667,31.85,UG-121,,
-1730392,-2425185,settlement,Kitatya,Kitatya,official,0.816667,32.916667,UG-112,,
-1733533,-2429031,settlement,Ngombe,Ngombe,official,-0.083333,32.05,UG-106,,
-1727319,-2421493,settlement,Butende,Butende,official,0.928113,33.162945,UG-205,,
-1734856,-2430686,hydrographic,Ruzhozho,Ruzhozho,official,-0.35,30.233333,UG-420,,
-1732357,-2427632,hypsographic,Mpomode,Mpomode,official,0.575278,33.1475,UG-204,,
-1728045,-2422385,hypsographic,Ihunga,Ihunga,official,-0.7,30.433333,UG-435,,
-1732536,-2427839,settlement,Mulagi,Mulagi,official,0.874702,33.904135,UG-221,,
-1728047,-2422387,hypsographic,Ihunga,Ihunga,official,-1,30.05,UG-412,,
-1734763,-2430578,hydrographic,Ruhimbu,Ruhimbu,official,-1.05,30.616667,UG-418,,
-1735323,-2431251,settlement,Tweyanze,Tweyanze,official,0.733333,32.566667,UG-104,,
-1735152,-2431027,hypsographic,Sole,Sole,official,3.982753,33.969395,UG-318,,
-1732017,-2427201,hypsographic,Matan,Matan,official,2.416667,34.366667,UG-327,,
-1732607,-2427932,settlement,Musalala,Musalala,official,1,32.616667,UG-104,,
-1735460,-2431424,park,Walusi,Walusi,official,0.933333,32.616667,UG-104,,
-1729904,-2424633,settlement,Kigowa,Kigowa,official,0.363245,32.60682,UG-102,,
-1731177,-2422453,hypsographic,Iru,Iru,variant,3.349148,31.022782,UG-319,,
-1730883,-2425776,settlement,Kyampisi,Kyampisi,official,0.55,31.3,UG-107,,
-1731587,-2426687,hydrographic,Lutoto,Lutoto,official,-0.333333,30.166667,UG-420,,
-1727475,-2421665,spot,Buzami,Buzami,official,-0.05,32.116667,UG-106,,
-1734262,-2429936,hydrographic,Okwapiti,Okwapiti,official,1.25,34.133333,UG-219,,
-1735530,-2431511,settlement,Wekomire,Wekomire,official,0.45,31.016667,UG-422,,
-1730761,-2425634,hypsographic,Kura,Kura,variant,3.880853,33.974092,UG-335,,
-1734913,-2430750,hydrographic,Rwembogo,Rwembogo,official,-0.883333,29.783333,UG-414,,
-1735322,-2431250,settlement,Twalek,Twalek,official,1.35,34.7,UG-220,,
-1728462,-2422905,settlement,Kafunzo,Kafunzo,official,-1.35,30.066667,UG-404,,
-1730237,-2425011,settlement,Kiruwa,Kiruwa,official,1.283333,32.583333,UG-109,,
-1730335,-2425121,settlement,Kisote,Kisote,official,0.725392,34.00843,UG-212,,
-1730337,-2425123,settlement,Kisozi,Kisozi,official,0.28786,32.330877,UG-106,,
