wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
,,spot,"Alamo Hotel","Alamo Hotel",unknown,25.81368,-80.12375,,,
,,spot,"Mayor Hotel","Mayor Hotel",unknown,40.7143,-73.99381,,,
,,spot,Michaelny,Michaelny,unknown,40.83481,-73.93961,,,
,,spot,"Hotel Verite","Hotel Verite",unknown,40.73879,-73.9899,,,
,,spot,"Seventh Avenue Deluxe","Seventh Avenue Deluxe",unknown,40.81561,-73.94335,,,
,,spot,"Serene Homes E32","Serene Homes E32",unknown,40.74684,-73.98475,,,
,,spot,"Lincoln Center Flats Dinosaurhaus Apartments","Lincoln Center Flats Dinosaurhaus Apartments",unknown,40.78018,-73.97937,,,
,,spot,"Serene Homes E25","Serene Homes E25",unknown,40.74086,-73.98374,,,
,,spot,"Loft Flat A Dinosaurhaus Apartment","Loft Flat A Dinosaurhaus Apartment",unknown,40.75663,-73.96881,,,
,,spot,"Rockefeller Center Apartment","Rockefeller Center Apartment",unknown,40.76351,-73.99091,,,
,,spot,"Macy View Apartments","Macy View Apartments",unknown,40.74755,-73.98835,,,
,,spot,"Hotel Five44","Hotel Five44",unknown,40.76417,-73.99446,,,
,,spot,"Soho Lofts","Soho Lofts",unknown,40.71807,-73.99784,,,
,,spot,"Hotel Boutique At Grand Central","Hotel Boutique At Grand Central",unknown,40.75313,-73.97481,,,
,,spot,"Hotel East Houston","Hotel East Houston",unknown,40.72304,-73.98941,,,
,,spot,"Empire 120","Empire 120",unknown,40.80039,-73.93823,,,
,,spot,"The Inn At Irving Place","The Inn At Irving Place",unknown,40.73606,-73.98725,,,
,,spot,"Fifth Avenue Deluxe","Fifth Avenue Deluxe",unknown,40.81128,-73.93873,,,
,,spot,"The Hotel 91","The Hotel 91",unknown,40.71372,-73.99365,,,
,,spot,"The Broome","The Broome",unknown,40.72146,-73.99928,,,
,,spot,"Guest House Off Park","Guest House Off Park",unknown,40.74812,-73.98174,,,
,,spot,"The Bowery House","The Bowery House",unknown,40.72194,-73.9934,,,
,,spot,"Guggenheim Dinosaurhaus Apartment","Guggenheim Dinosaurhaus Apartment",unknown,40.77246,-73.94888,,,
,,spot,Ten15nyc,Ten15nyc,unknown,40.75215,-73.98609,,,
,,spot,"Harlem 144 Guesthouse","Harlem 144 Guesthouse",unknown,40.80529,-73.94947,,,
,,spot,"Harlem Bed And Breakfast","Harlem Bed And Breakfast",unknown,40.80401,-73.9465,,,
,,spot,"Harlem Deluxe Apartment","Harlem Deluxe Apartment",unknown,40.80864,-73.94543,,,
,,spot,"Harlem Short Term Stay","Harlem Short Term Stay",unknown,40.80421,-73.9508,,,
,,spot,"Superior Times Square Apartments","Superior Times Square Apartments",unknown,40.76511,-73.98674,,,
,,spot,"Herald Square Apartment","Herald Square Apartment",unknown,40.74578,-73.97621,,,
,,spot,"Sugar Hill Harlem Inn","Sugar Hill Harlem Inn",unknown,40.8223,-73.94835,,,
,,spot,"Hilton Garden Inn New YorkMidtown Park Ave","Hilton Garden Inn New YorkMidtown Park Ave",unknown,40.74666,-73.98242,,,
,,spot,"St Nicholas Guesthouse","St Nicholas Guesthouse",unknown,40.82581,-73.94355,,,
,,spot,"Historic District Dinosaurhaus Apartment","Historic District Dinosaurhaus Apartment",unknown,40.72498,-73.9885,,,
,,spot,"The Leo House","The Leo House",unknown,40.74578,-73.99974,,,
