wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1011519,-1494543,hydrographic,"Embalse Salto Grande","Embalse Salto Grande",official,-30.938612,-57.908061,S1-000,,
-1011519,-1494544,hydrographic,"Embalse de Salto Grande","Embalse de Salto Grande",official,-30.938612,-57.908061,S1-000,,
-1007783,-1489966,hypsographic,"Paso Piedra","Paso Piedra",official,-31.966667,-58.15,S1-000,,
-989363,-1468673,hypsographic,"Paso de la Federación","Paso de la Federacion",official,-31,-57.866667,S1-000,,
-909852,-1346953,settlement,Zapucay,Zapucay,official,-31.8,-55.333333,UY-TA,,
-908973,-1345156,hydrographic,Sauce,Sauce,official,-34.116667,-53.75,UY-RO,,
-909480,-1346132,hydrographic,Tigre,Tigre,variant,-32.4,-54.966667,UY-TA,,
-909631,-1346477,hydrographic,"Cañada Uña de Gato","Canada Una de Gato",official,-33.083333,-53.666667,UY-TT,,
-909647,-1343363,settlement,Piamontesa,Piamontesa,variant,-34.339572,-57.262462,UY-CO,,
-909287,-1345726,hydrographic,"Cañada de Soria","Canada de Soria",official,-33.333333,-55.683333,UY-DU,,
-909675,-1346571,spot,"Estación Valle Edén","Estacion Valle Eden",official,-31.833333,-56.15,UY-TA,,
-909850,-1346950,hypsographic,"Cuchilla de Zapicán","Cuchilla de Zapican",official,-33.466667,-54.983333,UY-LA,,
-909489,-1346171,hydrographic,"Puerto del Tigre","Puerto del Tigre",official,-34.8,-56.383333,UY-MO,,
-909617,-1346453,hydrographic,"Cañada Tunitas","Canada Tunitas",variant,-31.833333,-57.116667,UY-PA,,
-908937,-1344950,hydrographic,"Arroyo Sarandí del Arapey","Arroyo Sarandi del Arapey",official,-31.064198,-56.376709,UY-SA,,
-909060,-1345213,hydrographic,"Arroyo Sauce","Arroyo Sauce",variant,-33.250562,-57.265731,UY-FS,,
-909588,-1346385,hydrographic,"Bañado de los Tres Hermanos","Banado de los Tres Hermanos",variant,-32.483333,-55.283333,UY-CL,,
-909239,16677252,hydrographic,"Cañada Sauzal de los Cerros","Canada Sauzal de los Cerros",official,-34.067422,-56.186918,UY-FD,,
-909743,-1346712,hypsographic,"Cerro Vigía","Cerro Vigia",variant,-31.922263,-56.675792,UY-PA,,
-909095,-1344820,hydrographic,"Arroyo Sarandí","Arroyo Sarandi",variant,-34.243948,-54.003997,UY-RO,,
-909767,-1346784,hydrographic,"Arroyo Viraró","Arroyo Viraro",official,-32.233333,-55.933333,UY-TA,,
-909044,-1345089,hydrographic,Sauce,Sauce,variant,-32.8,-56.483333,UY-DU,,
-908820,-1344772,hydrographic,"Arroyo Sarandí","Arroyo Sarandi",official,-31.783333,-54.633333,UY-RV,,
-909601,-1346415,hydrographic,"Arroyo Tropa Vieja","Arroyo Tropa Vieja",official,-34.69776,-56.450712,UY-SJ,,
-909391,-1344818,hydrographic,"Arroyo Sarandí","Arroyo Sarandi",variant,-34.05,-54.7,UY-LA,,
-909121,16795547,hydrographic,"Arroyo del Sauce","Arroyo del Sauce",official,-31.347631,-57.029895,UY-SA,,
-909781,-1346803,hydrographic,Yacaré,Yacare,variant,-30.543899,-57.452091,UY-AR,,
-909335,-1345820,hydrographic,Tala,Tala,variant,-32.146435,-56.516922,UY-PA,,
-909104,-1345446,hydrographic,"Cañada del Sauce","Canada del Sauce",variant,-33.90009,-54.415796,UY-RO,,
-908842,-1344804,hydrographic,"Arroyo Sarandí","Arroyo Sarandi",official,-33.483333,-56.25,UY-FD,,
-909668,-1346555,hydrographic,"Cañada de Valenzuela","Canada de Valenzuela",official,-34.566667,-56.166667,UY-CA,,
-909557,-1346322,hydrographic,"Arroyo Tranquera","Arroyo Tranquera",variant,-31.466667,-55.816667,UY-TA,,
-909674,-1346569,hydrographic,"Arroyo Valle Chico","Arroyo Valle Chico",official,-33.944299,-54.533229,UY-LA,,
-909163,-1345454,hydrographic,"Cañada del Sauce","Canada del Sauce",variant,-34.305354,-54.48417,UY-RO,,
-908950,-1344985,hydrographic,"Arroyo del Sarandí Grande","Arroyo del Sarandi Grande",variant,-32.59965,-57.219526,UY-RN,,
-909710,-1346650,hypsographic,"Cerro Verde","Cerro Verde",official,-31.8,-56.766667,UY-PA,,
-908876,-1344885,hydrographic,"Cañada del Sarandi","Canada del Sarandi",variant,-30.683333,-57.033333,UY-AR,,
-909072,-1345325,hydrographic,"Arroyo del Sauce","Arroyo del Sauce",official,-33.516667,-55.366667,UY-FD,,
-909774,-1346791,hypsographic,"Cuchilla de la Virgen","Cuchilla de la Virgen",official,-34.166667,-56.5,UY-SJ,,
-909385,-1345943,hypsographic,"Cuchilla del Tala","Cuchilla del Tala",official,-33.266667,-55.783333,UY-DU,,
-909307,-1345772,spot,"Estación Tabaré","Estacion Tabare",official,-33.366667,-55.6,UY-FD,,
