wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2576038,-3545077,settlement,Daray-Tut,Daray-Tut,variant,39.820511,65.756627,UZ-SA,,
13789127,17587297,hydrographic,Maydon,Maydon,official,37.718001,66.99279,UZ-SU,,
-2579693,-3550544,settlement,Vaush,Vaush,official,40.2,65.533333,UZ-NW,,
-2579656,-3550495,settlement,Uzun,Uzun,official,40.083333,68.416667,UZ-000,,
-2579186,-3549789,hydrographic,Tangisay,Tangisay,official,39.25,67.366667,UZ-000,,
-2579084,-3549640,settlement,Sutshar,Sutshar,variant,38.969889,67.308816,UZ-QA,,
-2579055,-3549590,settlement,Sultanabad,Sultanabad,official,40.116667,65.533333,UZ-000,,
-2578882,-3549307,settlement,Sheykh-Aman,Sheykh-Aman,official,43.266667,59.566667,UZ-QR,,
-2578819,-3549208,settlement,Shakhartepa,Shakhartepa,official,39.766667,66.566667,UZ-000,,
-2578672,-3548997,settlement,Saray,Saray,variant,39.853931,67.674694,UZ-JI,,
-2578372,-3548529,settlement,Nuzh,Nuzh,official,39.8,67,UZ-000,,
-2578337,-3548483,settlement,Novaly,Novaly,variant,40.009745,66.679603,UZ-SA,,
-2577874,-3547820,settlement,Kyrk,Kyrk,official,39.766667,67.066667,UZ-000,,
-2577700,-3547576,settlement,Kumak,Kumak,official,39.983333,66.116667,UZ-000,,
-2577440,-3547821,settlement,Kyrk,Kyrk,variant,39.816667,67.3,UZ-000,,
-2576926,-3546397,settlement,Karamash,Karamash,official,40.45,67.4,UZ-000,,
-2576869,-3546326,settlement,Karakchi,Karakchi,official,40.066667,67.683333,UZ-000,,
-2575189,-3543832,settlement,Alty-Gul,Alty-Gul,variant,39.966667,65.816667,UZ-000,,
-3431460,14838265,administrative_region,Tashkent,Tashkent,unknown,41.233333,69.8,UZ-TO,,
-3431460,-4869206,administrative_region,"Tashkentskaya Oblast’","Tashkentskaya Oblast'",variant,41.233333,69.8,UZ-TO,,
-3431460,9091829,administrative_region,Toshkent,Toshkent,official,41.233333,69.8,UZ-TO,,
-3431460,-4869209,administrative_region,"Toshkent Wiloyati","Toshkent Wiloyati",variant,41.233333,69.8,UZ-TO,,
-3431460,15146477,administrative_region,"Tashkent Province","Tashkent Province",unknown,41.233333,69.8,UZ-TO,,
-3431460,-4869207,administrative_region,"Toshkent Oblasti","Toshkent Oblasti",variant,41.233333,69.8,UZ-TO,,
-3431460,9091828,administrative_region,"Toshkent Viloyati","Toshkent Viloyati",official,41.233333,69.8,UZ-TO,,
-3431460,-4869205,administrative_region,"Tashkent Oblast","Tashkent Oblast",variant,41.233333,69.8,UZ-TO,,
-3431459,15146481,administrative_region,"Tashkent City","Tashkent City",unknown,41.333333,69.25,UZ-TK,,
-3431459,14838266,administrative_region,Tashkent,Tashkent,unknown,41.333333,69.25,UZ-TK,,
-3431459,9091830,administrative_region,Toshkent,Toshkent,official,41.333333,69.25,UZ-TK,,
-3431459,-4869208,administrative_region,"Toshkent Shahri","Toshkent Shahri",official,41.333333,69.25,UZ-TK,,
-3431459,-4869204,administrative_region,"Gorod Tashkent","Gorod Tashkent",variant,41.333333,69.25,UZ-TK,,
-3431458,9091824,administrative_region,Surxondaryo,Surxondaryo,official,38,67.5,UZ-SU,,
-3431458,-4869201,administrative_region,"Surkhondaryo Oblasti","Surkhondaryo Oblasti",variant,38,67.5,UZ-SU,,
-3431458,-4869200,administrative_region,"Surkhandar’inskaya Oblast’","Surkhandar'inskaya Oblast'",variant,38,67.5,UZ-SU,,
-3431458,-4869199,administrative_region,"Sukhan-Darya Oblast","Sukhan-Darya Oblast",variant,38,67.5,UZ-SU,,
-3431458,9091816,administrative_region,"Surxondaryo Viloyati","Surxondaryo Viloyati",official,38,67.5,UZ-SU,,
-3431458,-4869202,administrative_region,"Surkhondaryo Wiloyati","Surkhondaryo Wiloyati",variant,38,67.5,UZ-SU,,
-3431457,-4869196,administrative_region,"Sirdarinskaya Oblast","Sirdarinskaya Oblast",variant,40.433333,68.666667,UZ-SI,,
-3431457,-4869197,administrative_region,"Sirdaryo Oblasti","Sirdaryo Oblasti",variant,40.433333,68.666667,UZ-SI,,
-3431457,-4869198,administrative_region,"Sirdaryo Wiloyati","Sirdaryo Wiloyati",variant,40.433333,68.666667,UZ-SI,,
-3431457,9091827,administrative_region,"Sirdaryo Viloyati","Sirdaryo Viloyati",official,40.433333,68.666667,UZ-SI,,
-3431457,9078916,administrative_region,Sirdaryo,Sirdaryo,official,40.433333,68.666667,UZ-SI,,
-3431457,-4869203,administrative_region,"Syrdar’inskaya Oblast’","Syrdar'inskaya Oblast'",variant,40.433333,68.666667,UZ-SI,,
-3431456,-4869193,administrative_region,"Samarkand Oblast","Samarkand Oblast",variant,39.8,66.433333,UZ-SA,,
-3431456,9091822,administrative_region,"Samarqand Viloyati","Samarqand Viloyati",official,39.8,66.433333,UZ-SA,,
-3431456,-4869195,administrative_region,"Samarqand Wiloyati","Samarqand Wiloyati",variant,39.8,66.433333,UZ-SA,,
-3431456,-4869194,administrative_region,"Samarkandskaya Oblast’","Samarkandskaya Oblast'",variant,39.8,66.433333,UZ-SA,,
-3431456,9091823,administrative_region,Samarqand,Samarqand,official,39.8,66.433333,UZ-SA,,
-3431454,-4869157,administrative_region,"Karakalpakskaya Avtonomnaya Sovetskaya Sotsialisticheskaya Respublika","Karakalpakskaya Avtonomnaya Sovetskaya Sotsialisticheskaya Respublika",variant,43.416667,59,UZ-QR,,
-3431454,-4869188,administrative_region,"Qoraqalpoghiston ASSR","Qoraqalpoghiston ASSR",variant,43.416667,59,UZ-QR,,
-3431454,-4869154,administrative_region,"Kara-Kalpak ASSR","Kara-Kalpak ASSR",variant,43.416667,59,UZ-QR,,
-3431454,-4869189,administrative_region,"Qoraqalpoghiston Respublikasi","Qoraqalpoghiston Respublikasi",variant,43.416667,59,UZ-QR,,
-3431454,-4869159,administrative_region,Karakalpakstan,Karakalpakstan,unknown,43.416667,59,UZ-QR,,
-3431454,496166,administrative_region,"Respublika Karakalpakstan","Respublika Karakalpakstan",variant,43.416667,59,UZ-QR,,
-3431454,-4869156,administrative_region,"Kara-Kalpakskaya ASSR","Kara-Kalpakskaya ASSR",variant,43.416667,59,UZ-QR,,
-3431454,9093007,administrative_region,Qoraqalpog‘iston,Qoraqalpog`iston,official,43.416667,59,UZ-QR,,
-3431454,-4869155,administrative_region,Karakalpakiya,Karakalpakiya,variant,43.416667,59,UZ-QR,,
-3431454,9091831,administrative_region,"Qoraqalpog‘iston Respublikasi","Qoraqalpog`iston Respublikasi",official,43.416667,59,UZ-QR,,
-3431454,-4869158,administrative_region,Karakalpakski,Karakalpakski,variant,43.416667,59,UZ-QR,,
-3431454,15146487,administrative_region,"Karakalpakstan Republic","Karakalpakstan Republic",unknown,43.416667,59,UZ-QR,,
-3431453,-4869186,administrative_region,"Qashqadaryo Oblasti","Qashqadaryo Oblasti",variant,38.833333,66.166667,UZ-QA,,
-3431453,-4869187,administrative_region,"Qashqadaryo Wiloyati","Qashqadaryo Wiloyati",variant,38.833333,66.166667,UZ-QA,,
-3431453,9091819,administrative_region,Qashqadaryo,Qashqadaryo,official,38.833333,66.166667,UZ-QA,,
-3431453,9091818,administrative_region,"Qashqadaryo Viloyati","Qashqadaryo Viloyati",official,38.833333,66.166667,UZ-QA,,
-3431453,-4869160,administrative_region,"Kashkadar’inskaya Oblast’","Kashkadar'inskaya Oblast'",variant,38.833333,66.166667,UZ-QA,,
-3431453,-4869161,administrative_region,"Kashka-Darya Oblast","Kashka-Darya Oblast",variant,38.833333,66.166667,UZ-QA,,
-3431452,9092983,administrative_region,Navoiy,Navoiy,official,41.916667,64.416667,UZ-NW,,
-3431452,9092982,administrative_region,"Navoiy Viloyati","Navoiy Viloyati",official,41.916667,64.416667,UZ-NW,,
-3431452,-4869185,administrative_region,"Nawoiy Wiloyati","Nawoiy Wiloyati",variant,41.916667,64.416667,UZ-NW,,
-3431452,-4869184,administrative_region,"Navoiyskaya Oblast’","Navoiyskaya Oblast'",variant,41.916667,64.416667,UZ-NW,,
-3431450,-4869171,administrative_region,"Namangan Oblasti","Namangan Oblasti",variant,40.933333,71.3,UZ-NG,,
-3431450,9092984,administrative_region,"Namangan Viloyati","Namangan Viloyati",official,40.933333,71.3,UZ-NG,,
-3431450,9092985,administrative_region,Namangan,Namangan,official,40.933333,71.3,UZ-NG,,
-3431450,-4869170,administrative_region,"Namangan Oblast","Namangan Oblast",variant,40.933333,71.3,UZ-NG,,
-3431450,-4869172,administrative_region,"Namanganskaya Oblast’","Namanganskaya Oblast'",variant,40.933333,71.3,UZ-NG,,
-3431450,-4869173,administrative_region,"Namangan Wiloyati","Namangan Wiloyati",variant,40.933333,71.3,UZ-NG,,
-3431448,-4869165,administrative_region,"Khorezmskaya Oblast’","Khorezmskaya Oblast'",variant,41.5,60.5,UZ-XO,,
-3431448,-4869162,administrative_region,"Khorazm Oblast","Khorazm Oblast",variant,41.5,60.5,UZ-XO,,
-3431448,9092991,administrative_region,"Xorazm Viloyati","Xorazm Viloyati",official,41.5,60.5,UZ-XO,,
-3431448,-4869163,administrative_region,"Khorazm Wiloyati","Khorazm Wiloyati",variant,41.5,60.5,UZ-XO,,
