wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-131932,-200712,administrative_region,"Vatican City State","Vatican City State",colloquial,41.903333,12.453333,VA-000,,
-131932,-200714,administrative_region,"Città Vaticano","Citta Vaticano",variant,41.903333,12.453333,VA-000,,
-131932,-183288,administrative_region,"Holy See","Holy See",variant,41.903333,12.453333,VA-000,,
-131932,-200711,administrative_region,"Stato della Città del Vaticano","Stato della Citta del Vaticano",official,41.903333,12.453333,VA-000,,
-131932,19425763,administrative_region,"Status Civitatis Vaticanae","Status Civitatis Vaticanae",variant,41.903333,12.453333,VA-000,,
-131932,-200710,administrative_region,"State of the Vatican City","State of the Vatican City",variant,41.903333,12.453333,VA-000,,
-131932,14066218,administrative_region,"Vatican City","Vatican City",colloquial,41.903333,12.453333,VA-000,,
-131932,14066217,administrative_region,"Città del Vaticano","Citta del Vaticano",official,41.903333,12.453333,VA-000,,
14954970,19686241,spot,"Tipografia Vaticana","Tipografia Vaticana",official,41.904244,12.456765,VA-000,,
14954975,19686246,road,"Via del Belvedere","Via del Belvedere",official,41.904103,12.455407,VA-000,,
14955027,19686298,spot,"Cortile della Pigna","Cortile della Pigna",official,41.905785,12.454594,VA-000,,
14954931,19686202,spot,"Caserna della Gendarmeria","Caserna della Gendarmeria",official,41.905399,12.457475,VA-000,,
14954934,19686205,spot,"Chiesa di Santa Anna","Chiesa di Santa Anna",official,41.904166,12.457471,VA-000,,
14955001,19686272,road,"Viale Pio IX","Viale Pio IX",official,41.90415,12.453817,VA-000,,
14954938,19686209,spot,"Domus Sanctae Marthae","Domus Sanctae Marthae",official,41.900769,12.453301,VA-000,,
14955022,19686293,spot,"Cortile del Belvedere","Cortile del Belvedere",official,41.904111,12.454715,VA-000,,
14954990,19686261,road,"Viale degli Olivi","Viale degli Olivi",official,41.902146,12.446914,VA-000,,
14955023,19686294,spot,"Cortile del Maggiordomo","Cortile del Maggiordomo",official,41.903303,12.456326,VA-000,,
14954946,19686217,spot,"L’Osservatore Romano","L'Osservatore Romano",official,41.90512,12.456892,VA-000,,
14955009,19686280,spot,"Ingresso del Perugino","Ingresso del Perugino",official,41.900493,12.452892,VA-000,,
14954969,19686240,road,"Stradone di Giardini","Stradone di Giardini",official,41.903942,12.454007,VA-000,,
14954944,19686215,spot,"Ingresso di Santa Anna","Ingresso di Santa Anna",official,41.903991,12.457583,VA-000,,
