wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1204465,-1770008,hydrographic,"Baleine Bay","Baleine Bay",official,13.37357149,-61.19581744,VC-03,,
-1204494,-1770135,hydrographic,"Montezuma Shoal","Montezuma Shoal",official,12.88160191,-61.19865609,VC-06,,
-1204564,-1770239,hypsographic,"Tobago Cays","Tobago Cays",official,12.6345881,-61.35897585,VC-06,,
-1204579,-1770261,hydrographic,"Worlds End Reef","Worlds End Reef",official,12.61978918,-61.32890895,VC-06,,
-1204441,-1770019,settlement,"Belle Vue","Belle Vue",variant,13.24111442,-61.11899366,VC-01,,
-1204437,-1770061,hypsographic,"Church Cay","Church Cay",official,12.95411011,-61.1337862,VC-06,,
-1204462,-1770089,hydrographic,"Friendship Bay","Friendship Bay",official,12.9899016,-61.23657983,VC-06,,
-1204530,-1770195,hypsographic,"Red Islet","Red Islet",variant,12.60133266,-61.40865758,VC-06,,
-1204557,-1770232,hydrographic,"South Glossy Bay","South Glossy Bay",official,12.70002033,-61.35039357,VC-06,,
-1204565,-1770241,hydrographic,"Trois Loups Bay","Trois Loups Bay",official,13.35046023,-61.2134998,VC-03,,
-1204561,-1770236,settlement,"Spring Village","Spring Village",official,13.25731593,-61.24483767,VC-05,,
-1204521,-1770177,hypsographic,"Porter Point","Porter Point",official,13.38270554,-61.16545928,VC-01,,
-1204473,-1770106,hypsographic,Grenadines,Grenadines,official,12.666667,-61.25,VC-06,,
-1204431,-1770054,settlement,Chateaubelair,Chateaubelair,official,13.28905583,-61.24082341,VC-03,,
-1204516,-1770121,hypsographic,"Little Saint Vincent","Little Saint Vincent",variant,12.53705742,-61.38382305,VC-06,,
-1204402,-1770011,settlement,Barawally,Barawally,variant,13.238567,-61.27317454,VC-05,,
-1204432,-1770055,hydrographic,"Chateaubelair Bay","Chateaubelair Bay",official,13.29438077,-61.23957596,VC-03,,
-1203904,-1769442,hypsographic,"Windward Islands","Windward Islands",colloquial,13.883333,-60.966667,S1-000,,
-1204410,-1770026,hydrographic,"Biabou Bay","Biabou Bay",official,13.19256272,-61.13586373,VC-01,,
-1204456,-1770083,hydrographic,"Egg Reef","Egg Reef",official,12.62465398,-61.33865766,VC-06,,
-1204560,-1770235,hydrographic,"Spring Bay","Spring Bay",official,13.0195699,-61.22053753,VC-06,,
-1204554,-1770227,settlement,"Sans Souci","Sans Souci",official,13.22719305,-61.12622895,VC-01,,
-1204581,-1770265,hypsographic,"Youngs Island","Youngs Island",variant,13.13052863,-61.20268189,VC-04,,
-1204510,-1770156,hypsographic,"Petit Bonhomme","Petit Bonhomme",official,13.21653175,-61.18088013,VC-01,,
-1204420,-1770038,settlement,"Byera Village","Byera Village",official,13.25615602,-61.12071687,VC-01,,
-1204574,-1770250,hydrographic,"Wallibou River","Wallibou River",official,13.31326236,-61.23163782,VC-03,,
-1204516,-1770168,hypsographic,"Petit Saint Vincent Island","Petit Saint Vincent Island",official,12.53705742,-61.38382305,VC-06,,
-1204581,-1770264,hypsographic,"Young Islet","Young Islet",variant,13.13052863,-61.20268189,VC-04,,
-1204526,20032744,hydrographic,"Rabacca Dry","Rabacca Dry",variant,13.30106496,-61.11660918,VC-01,,
-1204545,-1770214,administrative_region,"Parish of Saint George","Parish of Saint George",official,13.166667,-61.2,VC-04,,
-1204573,-1770251,settlement,Wallibu,Wallibu,variant,13.32028909,-61.22302611,VC-03,,
-1204477,-1770111,settlement,Kingstown,Kingstown,official,13.133333,-61.216667,VC-04,,
-1204536,-1770092,hydrographic,"Garou River","Garou River",variant,13.30813846,-61.23449425,VC-03,,
-1204525,-1770187,settlement,Questelles,Questelles,official,13.17671932,-61.24614994,VC-02,,
-1204402,-1770014,settlement,Barrualli,Barrualli,variant,13.238567,-61.27317454,VC-05,,
