wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1305928,-1889333,hypsographic,"Myall Point","Myall Point",official,18.449579,-64.615227,VG-000,,
-1305689,-1889062,hydrographic,"Bluff Bay","Bluff Bay",official,18.438184,-64.528912,VG-000,,
-1305752,-1889127,hydrographic,"Devils Bay","Devils Bay",official,18.428052,-64.445981,VG-000,,
-1305722,-1889097,hydrographic,"Cherry Ghut Bay","Cherry Ghut Bay",official,18.453608,-64.758975,VG-000,,
-1305782,-1889163,hypsographic,"Gauling Nest","Gauling Nest",official,18.465385,-64.427663,VG-000,,
-1305791,-1889175,hypsographic,"Grassy Ground Bluff","Grassy Ground Bluff",official,18.484026,-64.366791,VG-000,,
-1305794,-1889179,hypsographic,"Great Camanoe","Great Camanoe",official,18.727697,-64.328623,VG-000,,
-1305799,-1889185,hydrographic,"Great Governor Ghut","Great Governor Ghut",variant,18.498083,-64.392092,VG-000,,
-1306089,-1889508,hydrographic,"Valley Ghut","Valley Ghut",official,18.47541,-64.390613,VG-000,,
-1306020,-1889277,hypsographic,"Little Seal Dogs","Little Seal Dogs",variant,18.507518,-64.434031,VG-000,,
-1305974,-1889385,hypsographic,"Pull and be Damn Point","Pull and be Damn Point",variant,18.461674,-64.438634,VG-000,,
-1305739,-1889114,hypsographic,"Cow Wreck High Point","Cow Wreck High Point",official,18.748578,-64.389003,VG-000,,
-1305637,-1889135,hypsographic,"Drowned Island","Drowned Island",variant,18.732024,-64.332209,VG-000,,
-1305947,-1889354,hydrographic,"North Side Bay","North Side Bay",official,18.450395,-64.76388,VG-000,,
-1305833,-1889227,hypsographic,"Jack and Burns Point","Jack and Burns Point",official,18.502388,-64.348402,VG-000,,
-1305871,-1889270,hypsographic,"Little Cay","Little Cay",official,18.440022,-64.539319,VG-000,,
-1306097,-1889525,hydrographic,"Virgin Sound","Virgin Sound",official,18.519532,-64.370177,VG-000,,
-1305875,-1889285,hypsographic,"Little Van Dykes","Little Van Dykes",variant,18.454283,-64.720143,VG-000,,
-1305926,-1889331,hydrographic,"Murdering Hole","Murdering Hole",official,18.504617,-64.398683,VG-000,,
-1306050,-1889464,hydrographic,"Sprat Bay","Sprat Bay",official,18.357641,-64.576691,VG-000,,
-1305949,-1889356,hypsographic,"Nutmeg Point","Nutmeg Point",official,18.717573,-64.347044,VG-000,,
-1305822,-1889215,hydrographic,"Hawks Bill Bank","Hawks Bill Bank",official,18.616667,-64.3,VG-000,,
-1305954,-1889139,hypsographic,"East End","East End",variant,18.50336,-64.321083,VG-000,,
-1305789,-1889170,hypsographic,"Gnat Point","Gnat Point",official,18.496763,-64.380518,VG-000,,
-1305938,-1889345,hydrographic,"North Bay","North Bay",official,18.483369,-64.453981,VG-000,,
-1305808,-1889200,hydrographic,"Grey Ghut","Grey Ghut",official,18.416667,-64.633333,VG-000,,
-1305978,-1889389,hydrographic,"Purcell Ghut","Purcell Ghut",official,18.436108,-64.608109,VG-000,,
-1305970,-1889381,hydrographic,"Prickly Bay","Prickly Bay",official,18.502915,-64.365622,VG-000,,
-1305818,-1889211,hydrographic,"Handsome Bay","Handsome Bay",official,18.457554,-64.424327,VG-000,,
-1306056,-1889470,hypsographic,"Steele Point","Steele Point",official,18.389359,-64.716281,VG-000,,
-1305660,-1889033,hydrographic,"Beef Island Channel","Beef Island Channel",official,18.443111,-64.552844,VG-000,,
-1305683,-1889056,hypsographic,"Black Point","Black Point",official,18.490653,-64.372021,VG-000,,
-1306047,-1889460,settlement,"South Sound","South Sound",official,18.487231,-64.388635,VG-000,,
-1305633,-1889136,hypsographic,"Drowning Rock","Drowning Rock",variant,18.399669,-64.691402,VG-000,,
-1306040,-1889453,hydrographic,"South Bay","South Bay",official,18.386683,-64.481152,VG-000,,
-1306108,-1889536,hypsographic,"West Dog","West Dog",official,18.483509,-64.47246,VG-000,,
