wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2139350,-2968271,hydrographic,Taa,Taa,official,-15.433333,167.016667,VU-SAM,,
-2138776,-2967436,hypsographic,Pao,Pao,official,-14.933333,166.65,VU-SAM,,
-2138288,-2966826,hypsographic,Nagat,Nagat,official,-18.75,169.25,VU-TAE,,
-2136694,-2964718,hypsographic,Barias,Barias,official,-16.45,167.766667,VU-MAP,,
-2138791,-2967454,hydrographic,Paravo,Paravo,official,-15.4,166.8,VU-SAM,,
-2140084,-2969210,park,Yentobo,Yentobo,official,-16.3,168.016667,VU-MAP,,
-2136805,-2964844,hydrographic,Bingi,Bingi,official,-15.816667,168.166667,VU-PAM,,
-2138927,-2967628,hydrographic,Popot,Popot,official,-15.983333,167.183333,VU-MAP,,
-2137321,-2965587,settlement,Karo,Karo,official,-16.033333,167.183333,VU-MAP,,
-2137298,-2965550,park,Itas,Itas,official,-20.15,169.816667,VU-TAE,,
-2137279,-2965530,hydrographic,Irhan,Irhan,official,-15.916667,167.3,VU-MAP,,
-2138714,-2967346,hydrographic,Ouyel,Ouyel,official,-15.083333,167.05,VU-SAM,,
-2138026,-2966458,settlement,Malori,Malori,official,-15.466667,166.883333,VU-SAM,,
-2139348,-2968269,settlement,Sydney,Sydney,official,-19.533333,169.266667,VU-TAE,,
-2139895,-2968987,hypsographic,Waterpu,Waterpu,official,-15.2,167.116667,VU-SAM,,
-2137659,-2966006,settlement,Letut,Letut,official,-15.066667,167.033333,VU-SAM,,
-2139509,-2968481,hypsographic,Témouri,Temouri,official,-17.7,168.233333,VU-SEE,,
-2137320,-2965586,park,Karné,Karne,official,-15.95,167.316667,VU-MAP,,
-2136961,-2965099,hydrographic,Eas,Eas,official,-16.366667,168.216667,VU-MAP,,
-2138586,-2967164,hypsographic,Norhous,Norhous,official,-16.05,167.333333,VU-MAP,,
-2137540,-2965860,settlement,Lavousi,Lavousi,official,-15.466667,168.15,VU-PAM,,
-2137806,-2966184,park,Lonamen,Lonamen,official,-16.25,167.933333,VU-MAP,,
-2139479,-2968446,settlement,Tavoni,Tavoni,official,-15.483333,166.95,VU-SAM,,
-2138280,-2966815,hypsographic,Nabouk,Nabouk,official,-16.466667,167.75,VU-MAP,,
-2140039,-2969150,hypsographic,Wowo,Wowo,official,-14.783333,166.65,VU-SAM,,
-2138489,-2967041,hydrographic,Nèr,Ner,official,-16.116667,167.266667,VU-MAP,,
-2139510,-2968482,park,Ténak,Tenak,official,-16.266667,168.916667,VU-MAP,,
-2139410,-2968342,settlement,Tanboun,Tanboun,official,-15.466667,166.75,VU-SAM,,
14925171,19617771,settlement,Elualu,Elualu,official,-19.516989,169.251237,VU-000,,
-2195416,-3038653,park,Melanesia,Melanesia,colloquial,-12,160,S1-000,,
-2140116,-2968358,administrative_region,"Circonscription de Tanna","Circonscription de Tanna",official,-19.25,169.25,VU-TAE,,
-2140116,-3022941,administrative_region,"Southern District","Southern District",variant,-19.25,169.25,VU-TAE,,
-2140115,-2968052,administrative_region,"Circonscription de Santo","Circonscription de Santo",official,-14.5,167.5,VU-TOB,,
-2140115,-3022940,administrative_region,"Northern District","Northern District",variant,-14.5,167.5,VU-TOB,,
-2140096,-2969224,hypsographic,"Colline de Ziréa","Colline de Zirea",official,-17.6,168.333333,VU-SEE,,
-2140095,-2969221,park,Yoksiwévé,Yoksiweve,official,-18.766667,168.983333,VU-TAE,,
-2140094,-2969220,hydrographic,Yokowo,Yokowo,official,-15.233333,166.666667,VU-SAM,,
-2140093,-2969219,settlement,Yoknaéka,Yoknaeka,official,-19.55,169.3,VU-TAE,,
-2140092,-2969218,settlement,Yimnakayip,Yimnakayip,variant,-19.4006,169.311408,VU-TAE,,
-2140092,19625595,settlement,Imnalkaip,Imnalkaip,official,-19.4006,169.311408,VU-TAE,,
-2140091,-2969217,park,Yientap,Yientap,official,-16.283333,168,VU-MAP,,
-2140090,-2969216,hydrographic,"Yeu Méténia","Yeu Metenia",variant,-13.109366,166.55645,VU-TOB,,
-2140090,322831,hydrographic,"Yeu Méténia Bay","Yeu Metenia Bay",variant,-13.109366,166.55645,VU-TOB,,
-2140090,6211756,hydrographic,"Picot Bay","Picot Bay",variant,-13.109366,166.55645,VU-TOB,,
-2140090,18653387,hydrographic,"Yeu Metenia Bay","Yeu Metenia Bay",official,-13.109366,166.55645,VU-TOB,,
-2140090,-2967574,hydrographic,"Baie Picot","Baie Picot",variant,-13.109366,166.55645,VU-TOB,,
-2140089,-2969215,hypsographic,"Pointe Yetchio","Pointe Yetchio",official,-16.733333,168.15,VU-SEE,,
-2140088,19612054,settlement,Etap,Etap,official,-19.581651,169.335711,VU-TAE,,
-2140088,-2969214,settlement,Yétap,Yetap,variant,-19.581651,169.335711,VU-TAE,,
-2140087,-2969223,settlement,Ytapoua,Ytapoua,variant,-19.633333,169.45,VU-TAE,,
-2140087,-2969213,settlement,Yétakapé,Yetakape,official,-19.633333,169.45,VU-TAE,,
-2140086,-2969212,settlement,Yérou,Yerou,official,-19.583333,169.333333,VU-TAE,,
-2140085,-2969211,park,Yenyor,Yenyor,official,-16.3,168.016667,VU-MAP,,
-2140083,-2969209,hypsographic,"Pointe Yentenir","Pointe Yentenir",official,-16.316667,167.983333,VU-MAP,,
-2140082,-2969208,hydrographic,Yenséoué,Yenseoue,official,-16.3,167.966667,VU-MAP,,
-2140081,-2969207,settlement,Yéno,Yeno,official,-16.25,167.983333,VU-MAP,,
-2140080,-2969205,hydrographic,"Anse Yemyu","Anse Yemyu",variant,-16.65,168.133333,VU-SEE,,
-2140080,-2969204,hydrographic,"Anse Yemiu","Anse Yemiu",variant,-16.65,168.133333,VU-SEE,,
-2140080,-2969206,hydrographic,"Yemyu Cove","Yemyu Cove",variant,-16.65,168.133333,VU-SEE,,
-2140080,-2969203,hydrographic,"Baie Yéméyou","Baie Yemeyou",official,-16.65,168.133333,VU-SEE,,
-2140079,-2969202,settlement,Yémamoso,Yemamoso,official,-16.716667,168.116667,VU-SEE,,
-2140078,-2969201,settlement,Yélowouwou,Yelowouwou,official,-16.283333,167.966667,VU-MAP,,
-2140077,-2969200,hypsographic,"Pointe Yéliméou","Pointe Yelimeou",variant,-19.22367,169.600782,VU-TAE,,
-2140077,19625796,hypsographic,"Ialimiau Point","Ialimiau Point",official,-19.22367,169.600782,VU-TAE,,
-2140076,-2969199,settlement,Yéléwar,Yelewar,official,-16.283333,167.15,VU-MAP,,
-2140075,-2969198,hypsographic,"Pointe Yélé","Pointe Yele",official,-14.95,167.1,VU-SAM,,
-2140074,-2969197,hydrographic,Yawi,Yawi,official,-16.683333,168.266667,VU-SEE,,
-2140073,19611169,settlement,Yatukwei,Yatukwei,official,-19.575457,169.456205,VU-TAE,,
-2140073,-2969196,settlement,Yatoukwey,Yatoukwey,variant,-19.575457,169.456205,VU-TAE,,
-2140072,-2969188,hypsographic,Yarri,Yarri,official,-18.816667,169.083333,VU-TAE,,
-2140071,-2969187,settlement,Yarouareung,Yarouareung,variant,-19.647562,169.398877,VU-TAE,,
-2140071,14255770,settlement,Yéruareng,Yeruareng,variant,-19.647562,169.398877,VU-TAE,,
-2140071,19612025,settlement,Yeruareng,Yeruareng,official,-19.647562,169.398877,VU-TAE,,
-2140070,-2969186,hydrographic,Yar,Yar,official,-15.1,167.083333,VU-SAM,,
-2140069,-2969185,settlement,Yapnawitaleng,Yapnawitaleng,variant,-19.549009,169.348584,VU-TAE,,
-2140069,19612064,settlement,Iapnoutaling,Iapnoutaling,official,-19.549009,169.348584,VU-TAE,,
-2140068,-2969184,settlement,Yapimay,Yapimay,official,-19.566667,169.316667,VU-TAE,,
-2140067,-2969183,hypsographic,"Mont Yapéto","Mont Yapeto",official,-16.733333,168.316667,VU-SEE,,
-2140066,-2968729,settlement,Vapana,Vapana,variant,-16.633333,168.133333,VU-SEE,,
-2140066,-2969182,settlement,Yapana,Yapana,official,-16.633333,168.133333,VU-SEE,,
-2140054,-2969170,settlement,Yanamwakel,Yanamwakel,variant,-19.509154,169.448627,VU-TAE,,
-2140065,-2969189,hypsographic,Yasava,Yasava,variant,-19.527941,169.44595,VU-TAE,,
-2140065,-2969194,hypsographic,"Yasur Volcano","Yasur Volcano",variant,-19.527941,169.44595,VU-TAE,,
-2140065,-2969193,hypsographic,"Mount Yasur","Mount Yasur",official,-19.527941,169.44595,VU-TAE,,
-2140065,6211742,hypsographic,Yasur,Yasur,variant,-19.527941,169.44595,VU-TAE,,
