wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1309695,-1894587,settlement,Lano,Lano,official,-13.25844,-176.168445,WF-000,,
-1309697,-1894589,hypsographic,Lanumaha,Lanumaha,official,-13.296507,-176.238193,WF-000,,
-1309679,-1894561,hypsographic,"Pointe Halalo","Pointe Halalo",official,-13.35,-176.183333,WF-000,,
-1309758,-1894701,hydrographic,"Singave Bay","Singave Bay",variant,-14.294125,-178.160576,WF-SG,,
-1309665,-1894535,undersea,"Field Bank","Field Bank",variant,-12.283333,-174.8,WF-000,,
-1309645,-1894503,undersea,"Adolph Seamount","Adolph Seamount",official,-11.916667,-178.166667,WF-000,,
-1309727,-1894641,hypsographic,"Île Nukufutu","Ile Nukufutu",variant,-13.184867,-176.204235,WF-000,,
-1309766,16265766,settlement,Te’esi,Te'esi,official,-13.349063,-176.203964,WF-000,,
-1309666,-1894537,hypsographic,"Point Finekova","Point Finekova",variant,-13.366667,-176.133333,WF-000,,
-1309716,-1894623,hypsographic,"Sommet Matsi","Sommet Matsi",official,-14.25,-178.166667,WF-000,,
-1309664,16265678,hypsographic,"Île Fenuafo’ou","Ile Fenuafo'ou",official,-13.388494,-176.214031,WF-000,,
-1309777,17025656,administrative_region,Uvea,Uvea,official,-13.283333,-176.2,WF-UV,,
-1309765,-1894710,hydrographic,"Banca Tabiuni","Banca Tabiuni",variant,-12.1,-174.583333,WF-000,,
-1309683,-1894565,hypsographic,"Mont Hologa","Mont Hologa",official,-13.288886,-176.215054,WF-000,,
-1309650,17025654,administrative_region,Alo,Alo,official,-14.3,-178.1,WF-AL,,
-1309761,-1894522,hypsographic,"Rochers de Champeaux","Rochers de Champeaux",variant,-14.244456,-178.180421,WF-SG,,
-1309763,-1894708,hypsographic,"Southwest Rock","Southwest Rock",variant,-14.316667,-178.15,WF-000,,
-1309701,-1894594,hypsographic,"Pointe Lausikula","Pointe Lausikula",official,-13.31382,-176.246764,WF-000,,
-1309713,16729848,settlement,Mata’Utu,Mata'Utu,variant,-13.2825,-176.173611,WF-UV,,
-1309712,-1894617,hypsographic,"Pointe Matala","Pointe Matala",variant,-13.344995,-176.176256,WF-000,,
-1309736,-1894652,hypsographic,"Île Nukutapu","Ile Nukutapu",variant,-13.363562,-176.224415,WF-000,,
-1309754,-1894688,hydrographic,"Chenal Sain","Chenal Sain",official,-14.333333,-178.05,WF-000,,
-1309720,-1894627,hydrographic,"Baie de Mua","Baie de Mua",official,-13.376929,-176.192755,WF-000,,
-1309712,16265868,hypsographic,"Pointe Matala’a","Pointe Matala'a",official,-13.344995,-176.176256,WF-000,,
-1309692,-1894583,undersea,"Lalla Rookh Bank","Lalla Rookh Bank",variant,-12.916667,-175.666667,WF-000,,
-1309743,-1894601,hypsographic,"Little Peak","Little Peak",variant,-14.25,-178.183333,WF-000,,
-1309686,-1894574,hypsographic,"Îles de Horne","Iles de Horne",variant,-14.306045,-178.082536,WF-000,,
-1309752,-1894684,hypsographic,"Pointe Rouge","Pointe Rouge",variant,-13.349289,-176.183941,WF-000,,
-1309649,-1894509,settlement,Alo,Alo,variant,-14.30918,-178.12256,WF-AL,,
-1309719,-1894626,settlement,Mua,Mua,official,-14.32632,-178.05688,WF-AL,,
-1309783,18916756,settlement,Vele,Vele,official,-14.31187,-178.07739,WF-AL,,
-1309752,16266652,hypsographic,"Pointe Tufumal","Pointe Tufumal",official,-13.349289,-176.183941,WF-000,,
-1309763,-1894709,hypsographic,"Rocher du Sud-Ouest","Rocher du Sud-Ouest",official,-14.316667,-178.15,WF-000,,
-1309690,-1894581,hypsographic,"Mont Kolofau","Mont Kolofau",official,-14.344224,-178.039275,WF-AL,,
-1309787,-1894750,administrative_region,"Territoire des Îles Wallis et Futuna","Territoire des Iles Wallis et Futuna",official,-13.3,-176.2,WF-000,,
-1309706,-1894607,hypsographic,"Mont Lula","Mont Lula",variant,-13.27439,-176.203497,WF-000,,
-1309769,-1894720,hypsographic,"Tepoko Point","Tepoko Point",variant,-13.265347,-176.162399,WF-000,,
-1309737,-1894653,hypsographic,"Île Nukuteatea","Ile Nukuteatea",variant,-13.204464,-176.178546,WF-000,,
-1309734,-1894687,hypsographic,"Sail Rock","Sail Rock",variant,-13.369156,-176.198899,WF-000,,
-1309747,-1894674,hypsographic,"Sommet des Pyramides","Sommet des Pyramides",official,-14.25,-178.15,WF-000,,
-1309760,-1894692,hypsographic,"Sommet de Schouwen","Sommet de Schouwen",variant,-14.27065,-178.139112,WF-000,,
-1309767,-1894717,hypsographic,"Île Tekaviki","Ile Tekaviki",official,-13.275554,-176.15241,WF-000,,
-1309651,-1894511,hypsographic,"Pointe d’Alo","Pointe d'Alo",official,-14.316667,-178.116667,WF-000,,
-1309686,-1894572,hypsographic,"Hoorne Islands","Hoorne Islands",variant,-14.306045,-178.082536,WF-000,,
-1309733,-1894648,hypsographic,"Île Nukuofo","Ile Nukuofo",variant,-13.358113,-176.212556,WF-000,,
-1309660,-1894528,settlement,Fakauita,Fakauita,official,-13.25,-176.183333,WF-000,,
-1309782,-1894741,settlement,Vaitupu,Vaitupu,official,-13.228767,-176.186776,WF-000,,
-1309672,-1894547,hypsographic,"Fungalai Island","Fungalai Island",variant,-13.280772,-176.14624,WF-000,,
-1309770,-1894721,settlement,Tufuone,Tufuone,official,-13.221705,-176.206341,WF-000,,
-1309705,-1894606,hypsographic,"Île Luaniva","Ile Luaniva",official,-13.272216,-176.148025,WF-000,,
-1309670,-1894545,hydrographic,"Foss Reef","Foss Reef",official,-14.416667,-176,WF-000,,
-1309704,-1894504,hypsographic,"Mont Afala","Mont Afala",variant,-13.256693,-176.176934,WF-000,,
-1309662,-1894530,settlement,Falaleu,Falaleu,official,-13.288306,-176.179147,WF-000,,
-1309656,-1894519,undersea,"Bayonnaise Seamount","Bayonnaise Seamount",official,-12.116667,-179.716667,WF-000,,
-1309731,-1894646,hypsographic,"Île Nukulaelae","Ile Nukulaelae",variant,-13.185014,-176.19879,WF-000,,
-1309734,16265750,hypsographic,"Nuku Ta’aki Moa","Nuku Ta'aki Moa",official,-13.369156,-176.198899,WF-000,,
-1309666,-1894538,hypsographic,"Pointe Finékovi","Pointe Finekovi",official,-13.366667,-176.133333,WF-000,,
-1309668,-1894540,hypsographic,"Pointe Fogoné","Pointe Fogone",variant,-13.352121,-176.205001,WF-000,,
-1309702,-1894599,hypsographic,"Rochers Lion","Rochers Lion",variant,-14.29681,-178.15939,WF-SG,,
-1309654,-1894516,hypsographic,"Mont Atalika","Mont Atalika",official,-13.329403,-176.215086,WF-000,,
-1309759,16729820,administrative_region,"Circonscription de Sigave","Circonscription de Sigave",official,-14.266667,-178.166667,WF-SG,,
-1309671,-1894546,hydrographic,"Passe Fugauvea","Passe Fugauvea",variant,-13.253843,-176.257985,WF-000,,
-1309751,-1894682,hydrographic,"Rotumah Shoal","Rotumah Shoal",variant,-13.416667,-179.35,WF-000,,
-1309674,-1894553,settlement,Gahi,Gahi,official,-13.336914,-176.193549,WF-000,,
-1309768,-1894718,settlement,Tepa,Tepa,official,-13.319164,-176.189769,WF-000,,
-1309706,-1894608,hypsographic,"Mont Lulu","Mont Lulu",variant,-13.27439,-176.203497,WF-000,,
-1309735,-1894651,hypsographic,"Île Nukutapu","Ile Nukutapu",variant,-13.218996,-176.168482,WF-000,,
-1309686,-1894573,hypsographic,"Iles de Horn","Iles de Horn",variant,-14.306045,-178.082536,WF-000,,
-1309764,18916726,settlement,Tavai,Tavai,official,-14.24495,-178.16902,WF-SG,,
-1309700,-1894593,hypsographic,"Mont Lausikula","Mont Lausikula",official,-13.316667,-176.216667,WF-000,,
-1309737,16276236,hypsographic,Nukuteatea,Nukuteatea,official,-13.204464,-176.178546,WF-000,,
-1309661,-1894529,hypsographic,"Pointe Falaise","Pointe Falaise",variant,-14.299898,-178.073204,WF-AL,,
-1309761,-1894704,hypsographic,Somalama,Somalama,variant,-14.244456,-178.180421,WF-SG,,
-1309684,-1894569,undersea,"Home Seamount","Home Seamount",official,-12.916667,-175.616667,WF-000,,
-1309741,-1894664,hydrographic,"Pasco Reef","Pasco Reef",official,-13.083333,-174.416667,WF-000,,
