wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
10526441,11105374,settlement,Sasita,Sasita,official,-14.040095,-171.560977,WS-000,,
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1307143,-1890869,hydrographic,"A‘ana Reef","A`ana Reef",official,-13.853585,-172.074596,WS-000,,
-1307623,-1891549,hypsographic,"Tafua Upolu","Tafua Upolu",variant,-13.878082,-171.963978,WS-000,,
-1307319,-1891125,settlement,Leusoali’i,Leusoali'i,official,-13.863964,-171.689912,WS-000,,
-1307616,11103882,settlement,Atoe,Atoe,variant,-13.95202,-171.515405,WS-000,,
-1307391,11292058,hydrographic,"Mulivai Stream","Mulivai Stream",official,-13.832087,-171.765828,WS-000,,
-1307627,-1891554,settlement,Utufa’alalafa,Utufa'alalafa,official,-14.003721,-171.425895,WS-000,,
-1307149,-1890876,settlement,Aganoa,Aganoa,official,-14.030675,-171.766354,WS-000,,
-1307205,-1890960,settlement,Fai’a’ai,Fai'a'ai,official,-13.670298,-172.641122,WS-000,,
-1307663,-1891600,hypsographic,Vaiolo,Vaiolo,variant,-13.666794,-172.206947,WS-000,,
-1307491,-1891368,hypsographic,"Cape Salia","Cape Salia",official,-13.514302,-172.802451,WS-000,,
-1307651,-1891586,hypsographic,"Vailele Berg","Vailele Berg",variant,-13.861459,-171.717058,WS-000,,
-1307333,-1891144,settlement,Magia,Magia,official,-13.828925,-171.985475,WS-000,,
-1307495,-1891372,settlement,Saluafata,Saluafata,official,-13.875505,-171.60244,WS-000,,
-1307251,-1891038,settlement,Fogasavai’i,Fogasavai'i,official,-13.680259,-172.626723,WS-000,,
-1307317,-1891122,settlement,Leulumoenga,Leulumoenga,variant,-13.822975,-171.961272,WS-AA,,
-1307616,-1891542,settlement,Uafato,Uafato,official,-13.95202,-171.515405,WS-000,,
-1307636,-1891566,hypsographic,"Mount Vaea","Mount Vaea",official,-13.863686,-171.773723,WS-000,,
-1307226,-1890989,settlement,Faleolo,Faleolo,official,-13.827459,-172.014993,WS-000,,
-1307636,-1891567,hypsographic,"Vaea Mountain","Vaea Mountain",variant,-13.863686,-171.773723,WS-000,,
