wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
9021371,9021371,hypsographic,Kik,Kik,official,42.129167,20.725,XK-000,,
9021478,9021478,hypsographic,Uši,Usi,official,42.025278,20.711667,XK-000,,
-1151841,19650071,hypsographic,"Балкански Полуостров","Балкански Полуостров",unknown,44,23,S1-000,,
-1151841,-1698243,hypsographic,"Balkanski Poluostrov","Balkanski Poluostrov",official,44,23,S1-000,,
-1151841,19650073,hypsographic,"Βαλκανική Χερσόνησο","Βαλκανική Χερσόνησο",unknown,44,23,S1-000,,
-1151841,19650065,hypsographic,"Valkanikí Chersónisos","Valkaniki Chersonisos",official,44,23,S1-000,,
-1151841,19650064,hypsographic,"Balkansko Poluostrvo","Balkansko Poluostrvo",official,44,23,S1-000,,
-1151841,19650063,hypsographic,"Gadishulli Ballkanik","Gadishulli Ballkanik",official,44,23,S1-000,,
-1151841,19650069,hypsographic,"Balkan Yarımadası","Balkan Yarimadasi",official,44,23,S1-000,,
-1151841,19650066,hypsographic,"Balkanski Poluostrov","Balkanski Poluostrov",official,44,23,S1-000,,
-1151841,19650072,hypsographic,"Балканско Полуострво","Балканско Полуострво",unknown,44,23,S1-000,,
-1151841,-1698242,hypsographic,Balkans,Balkans,variant,44,23,S1-000,,
-1151841,19650067,hypsographic,"Peninsula Balcanică","Peninsula Balcanica",official,44,23,S1-000,,
-1151841,19650068,hypsographic,"Balkanski Poluotok","Balkanski Poluotok",official,44,23,S1-000,,
-1151841,-1698241,hypsographic,"Balkan Peninsula","Balkan Peninsula",colloquial,44,23,S1-000,,
-1151841,19650070,hypsographic,"Балкански Полуостров","Балкански Полуостров",unknown,44,23,S1-000,,
-105986,503263,hypsographic,"Mali Ksulje e Priftit","Mali Ksulje e Priftit",official,41.8775,20.595278,XK-000,,
-105986,503261,hypsographic,"Mali Ksulje e Priftit","Mali Ksulje e Priftit",official,41.8775,20.595278,XK-000,,
-105986,203785,hypsographic,Šerupa,Serupa,variant,41.8775,20.595278,XK-000,,
-105986,503232,hypsographic,"Maja e Ksula e Priftit","Maja e Ksula e Priftit",official,41.8775,20.595278,XK-000,,
-105986,503272,hypsographic,Sherupë,Sherupe,variant,41.8775,20.595278,XK-000,,
-102481,-149686,spot,"Železnička Stanica Zvečan","Zeleznicka Stanica Zvecan",official,42.910278,20.846667,XK-37,,
-102481,500417,spot,"Stanica Zvečan","Stanica Zvecan",variant,42.910278,20.846667,XK-37,,
-102480,-149685,settlement,Zvečan,Zvecan,official,42.9075,20.840278,XK-37,,
-102480,-148321,settlement,Zaccan,Zaccan,variant,42.9075,20.840278,XK-37,,
-102480,11006572,settlement,Звечан,Звечан,unknown,42.9075,20.840278,XK-37,,
-102480,502436,settlement,Zveçan,Zvecan,official,42.9075,20.840278,XK-37,,
-102468,503781,hypsographic,"Guri i Kuq","Guri i Kuq",variant,42.663113,20.134151,XK-000,,
-102468,-149668,hypsographic,"Žuti Kamen","Zuti Kamen",official,42.663113,20.134151,XK-000,,
-102455,11055421,settlement,Жур,Жур,unknown,42.163889,20.621111,XK-27,,
-102455,501581,settlement,Zhur,Zhur,official,42.163889,20.621111,XK-27,,
-102455,-149649,settlement,Žur,Zur,official,42.163889,20.621111,XK-27,,
-102455,522136,settlement,Zhuri,Zhuri,variant,42.163889,20.621111,XK-27,,
-102448,-149641,settlement,Zupče,Zupce,official,42.896111,20.767778,XK-36,,
-102448,11094674,settlement,Zupçë,Zupce,variant,42.896111,20.767778,XK-36,,
-102448,520643,settlement,Zupç,Zupc,short,42.896111,20.767778,XK-36,,
-102448,11094673,settlement,Зупче,Зупче,unknown,42.896111,20.767778,XK-36,,
-102419,-149595,settlement,Zulfaj,Zulfaj,official,42.298056,20.406667,XK-05,,
-102419,11019327,settlement,Зулфај,Зулфај,unknown,42.298056,20.406667,XK-05,,
-102419,9120786,settlement,Zylfaj,Zylfaj,official,42.298056,20.406667,XK-05,,
-102408,522839,settlement,Zhujë,Zhuje,official,42.686111,21.637222,XK-13,,
-102408,522977,settlement,Mehuka,Mehuka,variant,42.686111,21.637222,XK-13,,
-102408,522840,settlement,Zhuja,Zhuja,variant,42.686111,21.637222,XK-13,,
-102408,11033727,settlement,Жуја,Жуја,unknown,42.686111,21.637222,XK-13,,
-102408,-149581,settlement,Žuja,Zuja,official,42.686111,21.637222,XK-13,,
-102393,-149560,settlement,"Zubin Potok","Zubin Potok",official,42.914444,20.689722,XK-36,,
-102393,11002580,settlement,"Zubin Potok","Zubin Potok",official,42.914444,20.689722,XK-36,,
-102393,11006571,settlement,"Зубин Поток","Зубин Поток",unknown,42.914444,20.689722,XK-36,,
-102393,11094672,settlement,Zubinpotok,Zubinpotok,variant,42.914444,20.689722,XK-36,,
-102383,11074044,settlement,Зрзе,Зрзе,unknown,42.349722,20.570556,XK-28,,
-102383,-149546,settlement,Zrze,Zrze,official,42.349722,20.570556,XK-28,,
-102383,-149271,settlement,Zirze,Zirze,variant,42.349722,20.570556,XK-28,,
-102383,501688,settlement,Xërxë,Xerxe,official,42.349722,20.570556,XK-28,,
-102383,-149241,settlement,Žirče,Zirce,variant,42.349722,20.570556,XK-28,,
-102380,501195,settlement,Xërxë,Xerxe,official,42.078889,20.685278,XK-02,,
-102380,11014009,settlement,Зрза,Зрза,unknown,42.078889,20.685278,XK-02,,
-102380,11114489,settlement,Xërxe,Xerxe,variant,42.078889,20.685278,XK-02,,
-102380,-149542,settlement,Zrza,Zrza,official,42.078889,20.685278,XK-02,,
-102380,9037145,settlement,Xërxa,Xerxa,variant,42.078889,20.685278,XK-02,,
-102380,-149545,settlement,Zrze,Zrze,variant,42.078889,20.685278,XK-02,,
-102338,11071668,settlement,Zojz,Zojz,short,42.298056,20.698611,XK-27,,
-102338,11071666,settlement,Зојић,Зојић,unknown,42.298056,20.698611,XK-27,,
-102338,521135,settlement,Zojiq,Zojiq,variant,42.298056,20.698611,XK-27,,
-102338,-149475,settlement,Zojić,Zojic,official,42.298056,20.698611,XK-27,,
-102334,-149492,settlement,Zošište,Zosiste,variant,42.375278,20.702222,XK-28,,
-102334,11074048,settlement,Zoçishtë,Zocishte,short,42.375278,20.702222,XK-28,,
-102334,-149466,settlement,Zočište,Zociste,official,42.375278,20.702222,XK-28,,
-102334,11074047,settlement,Зочиште,Зочиште,unknown,42.375278,20.702222,XK-28,,
-102326,-149452,hypsographic,Zminjak,Zminjak,official,42.233333,20.566667,XK-000,,
-102314,-149439,hypsographic,Zmić,Zmic,official,42.837778,20.823889,XK-000,,
-102299,6272185,settlement,Zllapeku,Zllapeku,variant,42.6125,20.348333,XK-24,,
-102299,520853,settlement,Qellopek,Qellopek,variant,42.6125,20.348333,XK-24,,
-102299,6272184,settlement,Zallpeku,Zallpeku,variant,42.6125,20.348333,XK-24,,
-102299,6272183,settlement,Zllapek,Zllapek,official,42.6125,20.348333,XK-24,,
-102299,502899,settlement,Zllopek,Zllopek,variant,42.6125,20.348333,XK-24,,
-102299,-149421,settlement,Zlopek,Zlopek,official,42.6125,20.348333,XK-24,,
-102299,11063751,settlement,Злопек,Злопек,unknown,42.6125,20.348333,XK-24,,
-102294,502870,settlement,Zllakuqan,Zllakuqan,official,42.661111,20.54,XK-14,,
-102294,9120210,settlement,Zllokuqan,Zllokuqan,variant,42.661111,20.54,XK-14,,
-102294,11035971,settlement,Злокућане,Злокућане,unknown,42.661111,20.54,XK-14,,
-102294,-149415,settlement,Zlokućane,Zlokucane,official,42.661111,20.54,XK-14,,
-102294,-149418,settlement,Zlokućani,Zlokucani,variant,42.661111,20.54,XK-14,,
-102293,11037806,settlement,Zllokuqan,Zllokuqan,variant,42.503821,21.021847,XK-17,,
-102293,11037804,settlement,Злокућане,Злокућане,unknown,42.503821,21.021847,XK-17,,
-102293,-149414,settlement,Zlokućane,Zlokucane,official,42.503821,21.021847,XK-17,,
-102293,518243,settlement,Zllakuqi,Zllakuqi,variant,42.503821,21.021847,XK-17,,
-102293,11037805,settlement,Zllakuqan,Zllakuqan,official,42.503821,21.021847,XK-17,,
-102286,-149398,hypsographic,Žlijeb,Zlijeb,variant,42.76673,20.254277,S1-000,,
-102286,-149406,hypsographic,Žljeb,Zljeb,official,42.76673,20.254277,S1-000,,
-102285,9037350,settlement,Zlipotoku,Zlipotoku,variant,41.978056,20.66,XK-02,,
-102285,11013911,settlement,Zlipotok,Zlipotok,official,41.978056,20.66,XK-02,,
-102285,11013912,settlement,"Зли Поток","Зли Поток",unknown,41.978056,20.66,XK-02,,
-102285,522324,settlement,"Prroni i Keq","Prroni i Keq",variant,41.978056,20.66,XK-02,,
-102285,501100,settlement,Potok,Potok,variant,41.978056,20.66,XK-02,,
-102285,9037353,settlement,Prronaj,Prronaj,variant,41.978056,20.66,XK-02,,
-102285,-149404,settlement,"Zli Potok","Zli Potok",official,41.978056,20.66,XK-02,,
-102284,-149403,hypsographic,"Zlipotočka Planina","Zlipotocka Planina",official,41.925833,20.718611,XK-000,,
-102247,-149356,settlement,Zlatare,Zlatare,official,42.645454,21.222344,XK-26,,
-102247,11011411,settlement,Zllatar,Zllatar,official,42.645454,21.222344,XK-26,,
-102247,11011410,settlement,Златаре,Златаре,unknown,42.645454,21.222344,XK-26,,
-102247,520992,settlement,Zllatarë,Zllatare,variant,42.645454,21.222344,XK-26,,
-102246,520600,settlement,Zllatar,Zllatar,official,42.400278,21.2875,XK-03,,
-102246,-149355,settlement,Zlatare,Zlatare,official,42.400278,21.2875,XK-03,,
-102246,11014091,settlement,Златаре,Златаре,unknown,42.400278,21.2875,XK-03,,
