wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2088058,-2899724,settlement,Zoumougine,Zoumougine,official,-12.733333,45.133333,YT-000,,
-2088053,-2899705,hydrographic,"Banc Vaucluse","Banc Vaucluse",official,-12.65,45.133333,YT-000,,
-2088053,-2899704,hydrographic,Vaucluse,Vaucluse,variant,-12.65,45.133333,YT-000,,
-2088053,-2899706,hydrographic,"Vaucluse Shoal","Vaucluse Shoal",variant,-12.65,45.133333,YT-000,,
-2088048,-2899688,hypsographic,"Tsonga Samazi","Tsonga Samazi",official,-12.7,45.133333,YT-000,,
-2088043,-2899678,hydrographic,"Banc de la Surprise","Banc de la Surprise",official,-12.633333,45.133333,YT-000,,
-2088043,-2899679,hydrographic,"Surprise Reef","Surprise Reef",variant,-12.633333,45.133333,YT-000,,
-2088041,-2899675,hypsographic,"Pointe Sud","Pointe Sud",official,-12.817255,45.286917,YT-000,,
-2088041,-2899672,hypsographic,"South Point","South Point",variant,-12.817255,45.286917,YT-000,,
-2088020,-2899634,hypsographic,"Pointe du Rocher","Pointe du Rocher",official,-12.866667,45.133333,YT-000,,
-2088020,-2899633,hypsographic,"Point du Rocher","Point du Rocher",variant,-12.866667,45.133333,YT-000,,
-2088019,-2899629,hypsographic,"Pointe du Récif","Pointe du Recif",official,-12.916667,45.1,YT-000,,
-2088019,-2899630,hypsographic,"Récif Point","Recif Point",variant,-12.916667,45.1,YT-000,,
-2088018,-2899632,hypsographic,"Reef Islet","Reef Islet",variant,-12.827582,45.284307,YT-000,,
-2088018,-2899627,hypsographic,"Ile du Recif","Ile du Recif",variant,-12.827582,45.284307,YT-000,,
-2088018,-2899628,hypsographic,"Îlot du Récif","Ilot du Recif",official,-12.827582,45.284307,YT-000,,
-2088015,-2899620,hydrographic,"Récif de la Prévoyante","Recif de la Prevoyante",official,-12.692563,45.167638,YT-000,,
-2088015,-2899619,hydrographic,"Banc de la Prévoyante","Banc de la Prevoyante",variant,-12.692563,45.167638,YT-000,,
-2088015,-2899621,hydrographic,"Prévoyante Reef","Prevoyante Reef",variant,-12.692563,45.167638,YT-000,,
-2088009,-2899606,hydrographic,"Récif Peïtro","Recif Peitro",official,-12.69473,45.189808,YT-000,,
-2088009,-2899604,hydrographic,Pei-ho,Pei-ho,variant,-12.69473,45.189808,YT-000,,
-2088009,-2899605,hydrographic,"Pei-ho Reef","Pei-ho Reef",variant,-12.69473,45.189808,YT-000,,
-2088003,16260518,hypsographic,Petite-Terre,Petite-Terre,variant,-12.780042,45.285312,YT-000,,
-2088003,-2899595,hypsographic,"Pamanzi Be","Pamanzi Be",variant,-12.780042,45.285312,YT-000,,
-2088003,14513297,hypsographic,"Île Pamandzi","Ile Pamandzi",official,-12.780042,45.285312,YT-000,,
