wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1219448,-1787730,hydrographic,Dambuthi,Dambuthi,official,-27.400278,32.059449,ZA-KZN,,
-1221057,-1789524,park,"Devils Peak Forest Reserve","Devils Peak Forest Reserve",short,-33.933333,18.416667,ZA-WC,,
-1219950,-1788283,spot,"De Bad","De Bad",official,-32.381418,21.702825,ZA-WC,,
-1220379,-1788768,spot,"De Hoop","De Hoop",official,-28.787449,25.663062,ZA-FS,,
-1220891,-1789333,spot,"De Rietkuil","De Rietkuil",official,-33.726499,20.276551,ZA-WC,,
-1220992,-1777711,spot,Biesiesfontein,Biesiesfontein,variant,-31.026975,17.978439,ZA-WC,,
-1220204,-1788572,spot,Deepdale,Deepdale,short,-34.206468,19.89339,ZA-WC,,
-1219803,-1788120,hypsographic,Dassiekop,Dassiekop,official,-34.229488,18.426416,ZA-WC,,
-1218825,-1787015,spot,Cowley,Cowley,official,-27.590329,23.113752,ZA-NC,,
-1219507,-1787793,settlement,Damplaats,Damplaats,short,-28.580253,23.172969,ZA-NC,,
-1220738,-1789164,spot,Denver,Denver,official,-26.206036,28.096556,ZA-GP,,
-1221443,-1789955,spot,"Die Kranz","Die Kranz",official,-29.40504,25.426019,ZA-FS,,
-1219283,-1787551,hydrographic,Dadewabo,Dadewabo,official,-28.521871,30.548834,ZA-KZN,,
-1219737,-1886379,hypsographic,Wolwekop,Wolwekop,variant,-31.008443,22.879451,ZA-NC,,
-1219571,-1787859,hypsographic,"Danger Point","Danger Point",official,-32.968705,27.985839,ZA-EC,,
-1220100,-1788457,spot,"De Draai","De Draai",official,-34.310675,20.115804,ZA-WC,,
-1220017,-1788369,spot,"De Brande Duin","De Brande Duin",official,-30.833333,17.7,ZA-NC,,
-1219272,-1787540,spot,Dada,Dada,official,-30.433419,30.249135,ZA-KZN,,
-1220716,-1789142,spot,Dennehof,Dennehof,official,-34.038832,19.315323,ZA-WC,,
-1219652,-1787948,hypsographic,Dansterkop,Dansterkop,official,-30.217916,19.401989,ZA-NC,,
-1221462,-1789979,hypsographic,"Die Losplaat","Die Losplaat",official,-30.705541,26.084348,ZA-EC,,
-1219113,-1829988,hypsographic,Macoba,Macoba,variant,-28.143797,31.558417,ZA-KZN,,
-1219409,-1787687,spot,Dalmuir,Dalmuir,official,-22.52969,29.395405,ZA-LP,,
-1219744,-1788056,hypsographic,Daskraalkop,Daskraalkop,official,-31.732822,22.36668,ZA-WC,,
-1219842,-1788164,spot,"Dassie Straat","Dassie Straat",official,-31.816667,19.016667,ZA-WC,,
-1220531,-1789961,spot,"Die Kruis Suid","Die Kruis Suid",variant,-29.682095,21.188141,ZA-NC,,
-1220167,-1788532,spot,Deelmede,Deelmede,official,-27.133333,23.566667,ZA-NW,,
-1219182,-1787447,spot,"Cypher Put","Cypher Put",variant,-30.622496,24.540357,ZA-NC,,
-1220437,-1788827,hydrographic,"De Hoopdam","De Hoopdam",official,-32.429116,24.398374,ZA-EC,,
-1221251,-1789743,spot,Didsbury,Didsbury,official,-24.508721,30.531982,ZA-LP,,
-1220679,-1789095,spot,"De Mullers Kraal","De Mullers Kraal",official,-32.783333,25.316667,ZA-EC,,
-1218807,-1785416,hypsographic,"Cave Rock","Cave Rock",variant,-33.084235,27.825946,ZA-EC,,
-1219847,-1788170,spot,"Dassie Vlakte","Dassie Vlakte",official,-31.99963,19.769922,ZA-NC,,
-1218914,-1787114,settlement,Crediton,Crediton,short,-32.694462,28.019557,ZA-EC,,
-1220923,-1789370,spot,"De Rust","De Rust",official,-27.59876,26.751968,ZA-FS,,
-1219760,-1788074,hypsographic,Dasseneiland,Dasseneiland,official,-33.424593,18.087549,ZA-WC,,
-1219633,-1787927,spot,"Dank Fontein","Dank Fontein",official,-31.068654,26.71231,ZA-EC,,
-1221384,-1789890,spot,"Die Hoogte","Die Hoogte",official,-28.356246,25.850417,ZA-FS,,
-1221187,-1789665,spot,Diamant,Diamant,official,-24.084238,27.498479,ZA-LP,,
-1220024,-1788377,spot,"De Bron","De Bron",short,-33.242194,18.468769,ZA-WC,,
-1220078,-1788434,spot,"De Deur","De Deur",official,-24.917231,27.333021,ZA-LP,,
-1221388,-1789894,hypsographic,"Die Hoogtekop","Die Hoogtekop",short,-28.292442,25.954197,ZA-FS,,
-1221183,-1789661,spot,Diamant,Diamant,official,-27.373982,30.99909,ZA-KZN,,
-1219231,-1787489,hypsographic,Daantjieskraalkop,Daantjieskraalkop,official,-33.019713,24.027676,ZA-EC,,
-1220913,-1789358,settlement,Dertig,Dertig,official,-25.279379,28.224205,ZA-NW,,
-1219971,-1788313,hypsographic,"De Beers Pass","De Beers Pass",variant,-28.314399,29.502923,ZA-000,,
-1221249,-1789740,hypsographic,"Didima Range","Didima Range",official,-32.47692,26.63187,ZA-EC,,
-1218806,-1786993,spot,Coventry,Coventry,official,-29.340534,24.053535,ZA-NC,,
-1219049,-1787270,hydrographic,Cumakzla,Cumakzla,variant,-32.592429,27.442537,ZA-EC,,
-1220082,-1788438,spot,"De Diepte","De Diepte",official,-24.217974,29.688098,ZA-LP,,
-1219504,-1787787,spot,Damplaats,Damplaats,short,-27.7579,28.160165,ZA-FS,,
-1221115,-1789584,spot,"De Wagendrift","De Wagendrift",official,-25.354433,29.396847,ZA-MP,,
-1221219,-1789702,hypsographic,Diaspunt,Diaspunt,official,-34.356393,18.495259,ZA-WC,,
-1220123,-1788484,spot,Deelfontein,Deelfontein,official,-28.188516,24.925451,ZA-NC,,
-1220265,-1788644,spot,"De Goedeverwachting","De Goedeverwachting",official,-26.15779,30.201846,ZA-MP,,
-1221147,-1789621,spot,"De Windam","De Windam",official,-23.505831,29.870079,ZA-LP,,
-1220438,-1788828,park,"De Hoop Nature Reserve","De Hoop Nature Reserve",official,-34.447535,20.486605,ZA-WC,,
-1219399,-1787676,spot,Dalmanutha,Dalmanutha,official,-25.749727,30.21343,ZA-MP,,
-1220621,-1789032,spot,"Delos Estate","Delos Estate",short,-30.176853,30.702074,ZA-KZN,,
-1218958,-1787168,spot,Cromdale,Cromdale,official,-26.94809,20.846689,ZA-NC,,
-1220357,-1788746,spot,"De Hoop","De Hoop",official,-24.623729,29.005197,ZA-LP,,
-1220683,-1789100,spot,"De Naauwte","De Naauwte",official,-29.856258,20.946213,ZA-NC,,
-1221321,-1788458,spot,"De Draai","De Draai",variant,-29.950639,17.961399,ZA-NC,,
-1220321,-1788706,spot,"De Hoek","De Hoek",short,-27.945561,29.290348,ZA-FS,,
-1219949,-1788282,spot,"De Bad","De Bad",official,-28.831643,24.091698,ZA-NC,,
-1220713,-1789139,spot,Dennegeur,Dennegeur,official,-25.331885,30.827704,ZA-MP,,
-1220960,-1789407,settlement,"De Rust","De Rust",short,-31.721939,25.859289,ZA-EC,,
-1218955,-1787165,spot,Crofton,Crofton,official,-27.495174,23.587534,ZA-NC,,
-1219357,-1787630,hydrographic,Dakanim,Dakanim,official,-33.04356,26.862263,ZA-EC,,
-1218942,-1787143,hypsographic,Crocodile,Crocodile,official,-28.718189,28.976879,ZA-KZN,,
-1221270,-1789766,hypsographic,"Die Berg","Die Berg",short,-28.5,25.816667,ZA-FS,,
-1220210,-1788580,spot,Deepdene,Deepdene,official,-26.511207,30.662249,ZA-MP,,
-1220734,-1789160,spot,Denstaat,Denstaat,official,-22.195533,29.272845,ZA-LP,,
-1221338,-1789839,hydrographic,"Die Erf se Loop","Die Erf se Loop",official,-31.158521,22.579271,ZA-NC,,
-1218862,-1787060,spot,Craigieburn,Craigieburn,official,-24.668689,30.975318,ZA-MP,,
-1221287,-1789785,spot,"Die Brak","Die Brak",official,-33.058613,19.995075,ZA-WC,,
-1221385,-1789891,spot,"Die Hoogte","Die Hoogte",short,-34.016667,22.25,ZA-WC,,
-1220234,-1788612,spot,Deeside,Deeside,official,-23.764796,30.522366,ZA-LP,,
-1219993,-1788343,hypsographic,Debiniga,Debiniga,short,-27.283333,22.466667,ZA-NC,,
-1220512,-1788912,spot,"De Kop","De Kop",official,-31.551767,20.296599,ZA-NC,,
-1219935,-1788266,spot,Deadbeat,Deadbeat,official,-23.030166,28.675653,ZA-LP,,
-1221033,-1789496,spot,"De Villersville","De Villersville",official,-29.042776,24.71709,ZA-FS,,
-1220852,-1789287,spot,Derby,Derby,official,-26.864116,30.78885,ZA-MP,,
-1219543,-1787829,spot,Damspruit,Damspruit,official,-27.700257,26.730555,ZA-FS,,
-1220322,-1788707,spot,"De Hoek","De Hoek",official,-28.060499,21.36579,ZA-NC,,
-1219939,-1788270,spot,Dealesrust,Dealesrust,official,-28.805833,25.660654,ZA-FS,,
-1220949,-1789396,spot,"De Rust","De Rust",short,-31.426207,20.884281,ZA-NC,,
-1220731,-1800601,settlement,Genozano,Genozano,variant,-29.613859,31.151364,ZA-KZN,,
-1221230,-1789715,settlement,Dibeng,Dibeng,official,-27.592911,22.875403,ZA-NC,,
-1220500,-1788898,spot,"De Kol","De Kol",official,-33.625941,26.308827,ZA-EC,,
-1221288,-1789787,park,"Die Brak","Die Brak",official,-31.064126,23.741374,ZA-NC,,
-1220576,-1788984,spot,Delarey,Delarey,official,-26.053273,27.603724,ZA-GP,,
-1220231,-1788609,spot,"Deer Park","Deer Park",official,-23.717992,30.305942,ZA-LP,,
-1220613,-1789023,spot,"De List","De List",official,-32.743443,21.393416,ZA-WC,,
-1220728,-1789154,spot,"De Noute","De Noute",official,-29.874794,20.926597,ZA-NC,,
-1219348,-1787619,spot,Dagwacht,Dagwacht,official,-27.432435,30.305855,ZA-KZN,,
-1221245,-1789735,spot,Didima,Didima,official,-26.601959,23.781204,ZA-NW,,
-1220566,-1788973,spot,Delagift,Delagift,short,-33.3607,18.925586,ZA-WC,,
-1219364,-1787638,spot,Dalajalon,Dalajalon,official,-32.71131,22.260151,ZA-WC,,
-1220771,-1790052,spot,"Die Panne","Die Panne",variant,-32.459759,23.272285,ZA-EC,,
-1221222,-1789706,hypsographic,Diasstrand,Diasstrand,official,-34.354525,18.482433,ZA-WC,,
-1218935,-1787136,spot,Crieff,Crieff,official,-29.312338,21.751274,ZA-NC,,
-1219708,-1788015,spot,Dartmoor,Dartmoor,official,-29.311746,29.624692,ZA-KZN,,
-1220652,-1789495,spot,Deville,Deville,variant,-31.576467,23.426209,ZA-NC,,
-1219233,-1787491,spot,Daantjieskuil,Daantjieskuil,official,-27.945254,25.629192,ZA-FS,,
-1220546,-1788949,park,Dekselsdrif,Dekselsdrif,official,-32.422528,21.706854,ZA-WC,,
-1219585,-1787874,hypsographic,Danielshoogte,Danielshoogte,official,-32.959556,20.776532,ZA-WC,,
-1218839,-1787033,spot,Cradock,Cradock,short,-30.066667,29.833333,ZA-KZN,,
-1218880,-1787080,spot,Craigvach,Craigvach,short,-29.566667,29.9,ZA-KZN,,
-1219527,-1788032,spot,Dasfontein,Dasfontein,variant,-31.957098,21.891098,ZA-NC,,
-1219609,-1787902,spot,Dankbaar,Dankbaar,official,-26.951402,28.04348,ZA-FS,,
-1219884,-1788214,spot,"Davids Valley","Davids Valley",official,-27.502359,28.970927,ZA-FS,,
-1218767,-1786419,hydrographic,"Coleni Spruit","Coleni Spruit",variant,-29.134201,30.698086,ZA-KZN,,
-1218889,-1787089,hydrographic,"Cramond Satellite Dam","Cramond Satellite Dam",official,-29.376488,30.439222,ZA-KZN,,
-1219867,-1788193,spot,"David Daie","David Daie",official,-26.468123,30.691416,ZA-MP,,
-1220170,-1788535,spot,Deelpan,Deelpan,official,-27.214468,27.393108,ZA-FS,,
-1220443,-1788834,settlement,"De Hoop (2)","De Hoop (2)",short,-30.859655,26.964675,ZA-EC,,
-1219690,-1787996,spot,Darling,Darling,official,-27.007383,29.31835,ZA-MP,,
-1219531,-1787817,hydrographic,"Damsfontein se Rivier","Damsfontein se Rivier",official,-31.872421,21.899022,ZA-NC,,
-1218885,-1787085,spot,Cramond,Cramond,official,-29.393868,30.407432,ZA-KZN,,
-1219145,-1787388,spot,Cyferfontein,Cyferfontein,official,-30.378587,25.806635,ZA-FS,,
-1219870,-1788199,settlement,Davidsfontein,Davidsfontein,short,-31.098711,26.298076,ZA-EC,,
-1219602,-1787894,spot,Danielsrust,Danielsrust,official,-28.774989,25.249679,ZA-FS,,
-1219033,-1787251,spot,Cullenswood,Cullenswood,official,-31.146367,27.879872,ZA-EC,,
-1219718,-1788025,spot,Dasbos,Dasbos,variant,-33.133333,19.033333,ZA-WC,,
-1220661,-1789077,hypsographic,"De Magtenburg","De Magtenburg",official,-29.348827,30.179445,ZA-KZN,,
-1220815,-1789244,spot,"De Put","De Put",official,-24.995238,27.267094,ZA-NW,,
-1220191,-1788557,hypsographic,Deelsvlei,Deelsvlei,short,-30.166159,18.60327,ZA-NC,,
-1221428,-1789938,hypsographic,"Die Kop","Die Kop",official,-28.910575,30.953068,ZA-KZN,,
-1219370,-1787644,spot,"Dale Avon","Dale Avon",official,-25.133333,26.316667,ZA-NW,,
-1220912,-1789357,spot,Dersley,Dersley,official,-26.209373,28.42203,ZA-GP,,
-1221434,-1789944,hypsographic,"Die Koppies","Die Koppies",official,-34.620294,19.537465,ZA-WC,,
-1220015,-1788367,spot,"De Brakkefontein","De Brakkefontein",official,-33.61735,20.311657,ZA-WC,,
-1221427,-1789937,hypsographic,"Die Kop","Die Kop",official,-32.887191,18.123936,ZA-WC,,
-1220331,-1788717,spot,"De Hoek","De Hoek",short,-34.191279,24.790691,ZA-EC,,
-1219075,-1787302,spot,Cupar,Cupar,official,-27.902357,30.266137,ZA-KZN,,
-1219588,-1787878,hypsographic,Danielskop,Danielskop,short,-31.15,19.8,ZA-NC,,
-1219960,-1788296,spot,"De Banken","De Banken",official,-29.216667,20.75,ZA-NC,,
-1219825,-1788144,spot,Dassieshoek,Dassieshoek,official,-23.533333,30.016667,ZA-LP,,
-1221303,-1789802,hypsographic,"Die Bulte","Die Bulte",official,-29.416667,21.933333,ZA-NC,,
-1219780,-1788096,spot,Dassiefontein,Dassiefontein,official,-31.567779,24.396548,ZA-NC,,
-1219582,-1787870,hydrographic,"Danie Joubertsdam","Danie Joubertsdam",official,-25.206869,31.004106,ZA-MP,,
-1219024,-1787240,hypsographic,Cuku,Cuku,official,-27.258317,30.434255,ZA-MP,,
-1221032,-1789493,spot,"De Ville","De Ville",official,-25.536479,22.902935,ZA-NW,,
-1221266,-1789762,hypsographic,"Die Banke","Die Banke",official,-31.21616,22.061436,ZA-NC,,
-1219030,-1787248,spot,Cullendale,Cullendale,official,-27.481937,23.188379,ZA-NC,,
-1219362,-1787635,spot,Dakota-B,Dakota-B,official,-25.347418,23.2572,ZA-NW,,
-1219808,-1788125,spot,"Dassie Leegte","Dassie Leegte",official,-31.167003,20.256373,ZA-NC,,
-1220472,-1788866,spot,"De Kamp","De Kamp",official,-30.405143,20.80262,ZA-NC,,
-1218832,-1787025,hydrographic,"Cracker Bay","Cracker Bay",official,-30.646075,30.53301,ZA-KZN,,
-1219452,-1787734,spot,Damfontein,Damfontein,official,-30.06201,25.659769,ZA-FS,,
-1220597,-1789006,spot,Delfkom,Delfkom,official,-27.307022,31.164557,ZA-MP,,
-1220250,-1788629,spot,"De Ganna","De Ganna",official,-32.133333,19.5,ZA-NC,,
-1221122,-1789591,hydrographic,"Dewdrop Stream","Dewdrop Stream",official,-28.546778,29.677486,ZA-KZN,,
-1221329,-1789829,hypsographic,"Die Duiwel","Die Duiwel",official,-32.07647,23.901832,ZA-WC,,
-1221459,-1789976,spot,"Die Leliebloem","Die Leliebloem",short,-33.283333,18.416667,ZA-WC,,
-1219391,-1787668,settlement,Dalkeith,Dalkeith,short,-31.660506,26.286731,ZA-EC,,
-1218850,-1787047,spot,"Craig Dhu","Craig Dhu",official,-29.611354,29.353195,ZA-KZN,,
