wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2305792,-3182706,hydrographic,Tur,Tur,official,-14.9,29.116667,ZM-02,,
-2305488,-3182291,hydrographic,Tau,Tau,official,-9.116667,31.183333,ZM-05,,
-2298818,-3173762,settlement,Mwase,Mwase,official,-12.45,33.316667,ZM-03,,
-2295375,-3169246,settlement,Mpali,Mpali,official,-14.4,29.3,ZM-02,,
-2278172,-3145895,settlement,Bulwe,Bulwe,official,-12.166667,33.05,ZM-03,,
-2299185,-3174279,settlement,Mwiya,Mwiya,official,-15.55,23.616667,ZM-01,,
-2299190,-3174284,settlement,Mwiya,Mwiya,official,-16.133333,23.433333,ZM-01,,
-2299258,-3174391,hydrographic,Mzimu,Mzimu,official,-11.3,32.883333,ZM-10,,
-2298300,-3173094,settlement,Muyenga,Muyenga,official,-15.3,22.916667,ZM-01,,
-2300611,-3176067,hypsographic,Neta,Neta,official,-16.483333,22.45,ZM-01,,
-2299666,-3174888,settlement,Namailo,Namailo,official,-13.025969,30.954416,ZM-02,,
-2303981,-3180498,hydrographic,Sibende,Sibende,official,-14.583333,24.233333,ZM-01,,
-2299067,-3174127,settlement,Mwikisa,Mwikisa,official,-14.7,23.033333,ZM-01,,
-2304265,-3180830,hypsographic,Sikuyu,Sikuyu,official,-15.883333,23.3,ZM-01,,
-2305598,-3182441,hypsographic,Timba,Timba,official,-11.165726,31.784787,ZM-10,,
-2300515,-3175946,settlement,Ndiyo,Ndiyo,official,-15.55,23.1,ZM-01,,
-2298428,-3173254,settlement,Mwala,Mwala,official,-14.616667,25.383333,ZM-01,,
-2299068,-3174128,settlement,Mwikisa,Mwikisa,official,-14.733333,23.05,ZM-01,,
-2300118,-3175448,hypsographic,Nandoa,Nandoa,official,-15.666667,22.266667,ZM-01,,
-2301283,-3176919,hydrographic,Nkusa,Nkusa,official,-10.116667,31.983333,ZM-05,,
-2305005,-3181694,hypsographic,Sitoya,Sitoya,official,-15.483333,22.116667,ZM-01,,
-2300610,-3176066,hydrographic,Nesiki,Nesiki,official,-16.766667,23.416667,ZM-01,,
-2297373,-3171882,hydrographic,Munwa,Munwa,official,-9.55,29.316667,ZM-04,,
-2297374,-3171883,hydrographic,Munwa,Munwa,official,-9.877657,31.366781,ZM-05,,
-2299070,-3174130,settlement,Mwikisa,Mwikisa,official,-17.183333,24.6,ZM-01,,
-2300144,-3175480,settlement,Nango,Nango,official,-10.583333,32.466667,ZM-10,,
-2299193,-3174287,settlement,Mwiya,Mwiya,official,-16.333333,22.25,ZM-01,,
-2305402,-3182174,settlement,Taculi,Taculi,official,-14.326239,26.906061,ZM-06,,
-2302113,-3178100,hydrographic,Panga,Panga,official,-17.895941,26.081342,ZM-07,,
-2305601,-3182444,hydrographic,Timba,Timba,official,-8.677966,31.199624,ZM-05,,
-2305495,-3182308,settlement,Teagles,Teagles,official,-15.466667,28.25,ZM-09,,
-2299257,-3174390,hydrographic,Mzime,Mzime,official,-14.307461,32.050519,ZM-03,,
-2302349,-3178434,hydrographic,Pumpi,Pumpi,official,-12.820306,30.099209,ZM-02,,
-2304378,-3180949,settlement,Silumba,Silumba,official,-15.55,22.2,ZM-01,,
-2302847,-3179048,settlement,Samson,Samson,official,-8.9,31.616667,ZM-05,,
-2301284,-3176920,vegetation,Nkusi,Nkusi,official,-17.233333,24.716667,ZM-01,,
-2305496,-3182309,settlement,Teali,Teali,official,-12.583333,30.883333,ZM-10,,
-2299069,-3174129,settlement,Mwikisa,Mwikisa,official,-16.283333,23.233333,ZM-01,,
-2299183,-3174277,settlement,Mwiya,Mwiya,official,-15.533333,23.083333,ZM-01,,
-2302441,-3178578,settlement,Rusangu,Rusangu,official,-16.433333,27.533333,ZM-07,,
-2300837,-3176337,settlement,Ngosa,Ngosa,official,-10.776057,30.843609,ZM-05,,
-2305042,-3181733,hypsographic,Situtu,Situtu,official,-15.983333,25.1,ZM-01,,
-2299857,-3175120,hydrographic,Nambo,Nambo,official,-13.478224,30.330301,ZM-02,,
-2298298,-3173092,settlement,Muyenga,Muyenga,official,-14.6,22.233333,ZM-01,,
-2305490,-3182293,hypsographic,Tawala,Tawala,official,-15.216667,29.133333,ZM-09,,
-2305006,-3181696,settlement,Sitoya,Sitoya,official,-16.9,25.133333,ZM-01,,
-2304623,-3181230,settlement,Simuna,Simuna,official,-13.95,24.416667,ZM-01,,
-2301285,-3176921,hydrographic,Nkusu,Nkusu,official,-13.707466,32.094337,ZM-03,,
-2301040,-3176608,settlement,Njombi,Njombi,official,-13.116667,23.05,ZM-06,,
-2302253,-3178292,settlement,Pindoma,Pindoma,official,-14.787205,29.148376,ZM-02,,
-2303156,-3179424,settlement,Selonga,Selonga,official,-16.95,23.466667,ZM-01,,
-2305491,-3182295,settlement,Tawale,Tawale,official,-13.466667,32.65,ZM-03,,
-2299831,-3175088,settlement,Namba,Namba,official,-15.235922,23.344306,ZM-01,,
-2305036,-3181727,spot,Situna,Situna,official,-14.633333,22,ZM-01,,
-2305860,-3182802,hypsographic,Umba,Umba,official,-12.65,30.766667,ZM-10,,
-2300565,-3176005,settlement,Ndumba,Ndumba,official,-14.783333,23.133333,ZM-01,,
-2300440,-3175860,settlement,Ndambi,Ndambi,official,-14.3,22.1,ZM-01,,
-2303110,-3179361,hydrographic,Seba,Seba,official,-16.716667,23.166667,ZM-01,,
-2301829,-3177704,hydrographic,Nyanga,Nyanga,official,-12.939138,31.458002,ZM-10,,
-2300320,-3175697,settlement,Nasumpa,Nasumpa,official,-16.2,26.95,ZM-07,,
-2297372,-3171881,hydrographic,Munwa,Munwa,official,-8.994585,29.021685,ZM-04,,
-2305187,-3181908,hydrographic,Songe,Songe,official,-14.666667,27.2,ZM-02,,
-2305525,-3182342,settlement,Tembwe,Tembwe,official,-14.316667,31.4,ZM-03,,
-2305493,-3182301,settlement,Tazwera,Tazwera,official,-13.533333,32.433333,ZM-03,,
-2303109,-3179358,settlement,Sazue,Sazue,official,-15.55,23.733333,ZM-01,,
-2300886,-3176398,administrative_region,Ng’uma,Ng'uma,official,-15.5,22.666667,ZM-01,,
-2305880,-3182831,settlement,Upangi,Upangi,official,-14,22.233333,ZM-01,,
-2300562,-3176002,settlement,Ndumba,Ndumba,official,-13.55,23.15,ZM-06,,
-2300345,-3175727,hydrographic,Natulu,Natulu,official,-15.933333,23.2,ZM-01,,
-2300836,-3176336,hypsographic,Ngosa,Ngosa,official,-15.066667,30.216667,ZM-09,,
-2306295,-3183451,settlement,Yanika,Yanika,official,-15.033333,25.25,ZM-01,,
-2303107,-3179356,settlement,Sazinga,Sazinga,official,-15.283333,22.65,ZM-01,,
-2303154,-3179422,hypsographic,Sellala,Sellala,official,-12.366667,31,ZM-10,,
-2305492,-3182296,hydrographic,Tawanga,Tawanga,official,-9.5,32.783333,ZM-10,,
-2302301,-3178364,settlement,Pondani,Pondani,official,-14.65,30.916667,ZM-03,,
-2306218,-3183329,settlement,Winda,Winda,official,-9.883333,31.35,ZM-05,,
-2303155,-3179423,hydrographic,Seloki,Seloki,official,-12.147196,24.054419,ZM-06,,
-2298231,-3173004,settlement,Muwayo,Muwayo,official,-16.471428,24.801944,ZM-01,,
-2303982,-3180499,settlement,Sibeso,Sibeso,official,-14.366667,22.75,ZM-01,,
-2300564,-3176004,settlement,Ndumba,Ndumba,official,-14.6,23.666667,ZM-01,,
-2305862,-3182805,hydrographic,Umba,Umba,official,-14.316667,30.566667,ZM-03,,
-2301192,-3176795,settlement,Nkonge,Nkonge,official,-14.283333,24.983333,ZM-01,,
-2300918,-3176436,hydrographic,Ngwambo,Ngwambo,official,-13.55,32,ZM-03,,
-2301951,-3177878,hydrographic,Nyinda,Nyinda,official,-14.833333,22,ZM-01,,
-2300663,-3176133,settlement,Ngandu,Ngandu,official,-13.833333,22.683333,ZM-06,,
-2300885,-3176397,hypsographic,Ngulwe,Ngulwe,official,-15.416667,23.333333,ZM-01,,
-2299043,-3174095,hydrographic,Mwezi,Mwezi,official,-17.55,24.966667,ZM-01,,
-2300563,-3176003,settlement,Ndumba,Ndumba,official,-13.966667,23.216667,ZM-06,,
-2305403,-3182175,settlement,Tadeyo,Tadeyo,official,-13.05,32.916667,ZM-03,,
-2299191,-3174285,settlement,Mwiya,Mwiya,official,-16.166667,23.4,ZM-01,,
-2299255,-3174388,settlement,Mzimba,Mzimba,official,-13.116667,32.916667,ZM-03,,
-2299830,-3175087,settlement,Namba,Namba,official,-14.866667,23.716667,ZM-01,,
-2300143,-3175479,settlement,Nangili,Nangili,official,-14.9,23.066667,ZM-01,,
-2302763,-3178947,hydrographic,Samba,Samba,official,-13.716667,32,ZM-03,,
-2300891,-3176404,hydrographic,Ngumbu,Ngumbu,official,-9.283333,32.6,ZM-10,,
-2300858,-3176369,settlement,Ngozi,Ngozi,official,-13.493467,32.796321,ZM-03,,
-2305599,-3182442,hypsographic,Timba,Timba,official,-13.9,31.566667,ZM-03,,
-2301282,-3176918,hydrographic,Nkusa,Nkusa,official,-9.433333,31.55,ZM-05,,
-2305600,-3182443,park,Timba,Timba,official,-12.266667,29.966667,ZM-02,,
-2298136,-3172880,hydrographic,Mutulwa,Mutulwa,official,-9.857171,30.37392,ZM-05,,
-2302398,-3178505,park,Roan,Roan,official,-15.283333,28.316667,ZM-09,,
-2305183,-3181903,hydrographic,Soneli,Soneli,official,-9.252847,32.456399,ZM-10,,
-2302206,-3158172,hydrographic,Kapepi,Kapepi,variant,-12.941697,30.442043,ZM-02,,
-2300887,-3176399,hypsographic,Nguma,Nguma,official,-15.2,29.25,ZM-09,,
-2302761,-3178945,hydrographic,Samba,Samba,official,-10.688723,32.368646,ZM-10,,
-2298843,-3173800,settlement,Mwatipa,Mwatipa,official,-8.55,29.116667,ZM-04,,
-2301013,-3176574,hydrographic,Njenga,Njenga,official,-13.625218,25.781182,ZM-06,,
-2297370,-3171879,settlement,Munwa,Munwa,official,-8.616596,29.947763,ZM-05,,
-2301150,-3176746,settlement,Nkole,Nkole,official,-10.533333,31.216667,ZM-05,,
-2300561,-3176001,settlement,Ndumba,Ndumba,official,-13.016667,22.666667,ZM-06,,
-2301287,-3176925,hydrographic,Nkuti,Nkuti,official,-12.232308,29.107645,ZM-04,,
-2297801,-3172460,settlement,Musofu,Musofu,official,-13.533333,29.05,ZM-02,,
-2298299,-3173093,settlement,Muyenga,Muyenga,official,-15.216667,23.683333,ZM-01,,
-2305184,-3181904,settlement,Songa,Songa,official,-15.133333,26.516667,ZM-02,,
-2304573,-3181161,settlement,Simon,Simon,official,-9.683333,31.2,ZM-05,,
-2299186,-3174280,settlement,Mwiya,Mwiya,official,-15.583333,23.416667,ZM-01,,
