wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2316805,-3196596,hydrographic,Mosa,Mosa,official,-20,27.616667,ZW-000,,
-2312665,-3191082,spot,Ibrox,Ibrox,official,-18.3,30.016667,ZW-000,,
-2310748,-3188745,spot,Eland,Eland,official,-19.3861,30.591031,ZW-MI,,
-2316105,-3195614,hypsographic,Mavinga,Mavinga,official,-18.333333,26.45,ZW-000,,
-2306990,-3184076,spot,Aurora,Aurora,official,-18.300962,29.85818,ZW-MW,,
-2311358,-3189472,hydrographic,Gasana,Gasana,official,-17.583333,28.516667,ZW-000,,
-2312737,-3191175,hypsographic,Indzera,Indzera,official,-18.341992,32.803663,ZW-MA,,
-2317461,-3197571,spot,Murenza,Murenza,official,-17,30.483333,ZW-000,,
-2313605,-3192349,spot,Kenombo,Kenombo,official,-18.178817,30.799638,ZW-ME,,
-2322132,-3203788,spot,Sunrise,Sunrise,official,-19.7,30.05,ZW-000,,
-2315409,-3194675,hydrographic,Mapati,Mapati,official,-21.6,28.966667,ZW-000,,
-2312738,-3191176,spot,Inez,Inez,official,-18.333333,30.166667,ZW-000,,
-2306989,-3184075,spot,Aurera,Aurera,official,-17.6,32.25,ZW-000,,
-2315369,-3194616,spot,Manzi,Manzi,official,-18.938934,30.748677,ZW-ME,,
-2317624,-3197790,hydrographic,Mususe,Mususe,official,-17.616667,29.35,ZW-000,,
-2319498,-3200440,spot,Olivia,Olivia,official,-18.379788,31.944614,ZW-MA,,
-2306744,-3183788,spot,Adela,Adela,variant,-17.833333,29.9,ZW-000,,
-2315549,-3194864,spot,Mari,Mari,official,-18.497421,31.653062,ZW-ME,,
-2317940,-3198247,spot,Nada,Nada,official,-18.433333,30.133333,ZW-000,,
-2311935,-3190182,hypsographic,Guma,Guma,official,-16.783814,30.455775,ZW-MW,,
-2312951,-3191506,spot,Jabula,Jabula,official,-21.533333,31.216667,ZW-000,,
-2311233,-3189301,hydrographic,Futu,Futu,official,-16.144947,29.588865,ZW-MW,,
-2311402,-3189527,spot,Geluk,Geluk,official,-18.293437,30.720156,ZW-ME,,
-2312113,-3190425,hydrographic,Gwedope,Gwedope,official,-18.500427,30.444708,ZW-MW,,
-2323159,-3205193,hydrographic,Utare,Utare,official,-16.466667,29.783333,ZW-000,,
-2311400,-3189525,spot,Geluk,Geluk,official,-17.305292,31.142782,ZW-MC,,
-2311235,-3189304,spot,Fylde,Fylde,official,-18.15,29.983333,ZW-000,,
-2317816,-3198054,spot,Mvebi,Mvebi,official,-17.65,30.416667,ZW-000,,
-2319471,-3200410,settlement,Odzi,Odzi,official,-18.961671,32.405571,ZW-MA,,
-2320420,-3201527,spot,Rufaro,Rufaro,official,-18.045259,31.995004,ZW-ME,,
-2312010,-3190281,hypsographic,Guve,Guve,official,-21.466667,29.483333,ZW-000,,
-2319497,-3200439,spot,Olive,Olive,official,-17.65,30.616667,ZW-000,,
-2319556,-3200511,spot,Oukar,Oukar,official,-18.833333,32.266667,ZW-000,,
-2311934,-3190181,spot,Guma,Guma,official,-16.909262,30.213486,ZW-MW,,
-2306744,-3183790,spot,Adele,Adele,official,-17.833333,29.9,ZW-000,,
-2322064,-3203707,spot,Suba,Suba,official,-18.716667,32.3,ZW-000,,
-2319446,-3200384,spot,Nzou,Nzou,variant,-16.69134,29.089415,ZW-MW,,
-2310393,-3188340,spot,Dopton,Dopton,official,-19.402646,30.022079,ZW-MI,,
-2316652,-3196400,hydrographic,Mneno,Mneno,official,-18.420034,28.335536,ZW-MI,,
-2309604,-3187377,spot,Cissie,Cissie,official,-18.627439,29.746391,ZW-MW,,
-2307199,-3184328,spot,Basalt,Basalt,official,-18.66998,30.813179,ZW-ME,,
-2316106,-3195615,hypsographic,Mavire,Mavire,official,-19.783333,32.183333,ZW-000,,
-2316367,-3195977,spot,Mcknew,Mcknew,official,-18.283333,30.066667,ZW-000,,
-2322131,-3203787,spot,Sunrise,Sunrise,official,-18.283333,30.1,ZW-000,,
-2312153,-3190472,spot,Gweni,Gweni,official,-19.483333,32.783333,ZW-000,,
-2312237,-3190578,spot,Halsted,Halsted,official,-18.339665,32.190168,ZW-MA,,
-2306746,-3183793,hypsographic,Adhlana,Adhlana,official,-21,28.5,ZW-000,,
-2311335,-3189441,spot,Garamwe,Garamwe,official,-18.008901,30.269366,ZW-MW,,
-2307268,-3184411,spot,Bee,Bee,official,-18.383814,29.435137,ZW-MI,,
-2320372,-3201464,spot,Rouge,Rouge,official,-18.20397,29.816066,ZW-MW,,
-2309779,-3187573,spot,Cowley,Cowley,official,-17.616667,30.483333,ZW-000,,
-2319532,-3200480,spot,Ordoff,Ordoff,official,-18.274071,29.863178,ZW-MW,,
-2317594,-3197753,spot,Muskwe,Muskwe,official,-17.45,31.983333,ZW-000,,
-2316854,-3196660,settlement,Moyeni,Moyeni,official,-19.486258,27.608087,ZW-MN,,
-2323990,-3206212,settlement,Ziga,Ziga,official,-19.208412,27.475273,ZW-MN,,
-2317445,-3197550,hypsographic,Murari,Murari,official,-19.6,32.65,ZW-000,,
-2307267,-3184410,spot,Bee,Bee,official,-17.85,29.883333,ZW-000,,
-2319604,-3200566,spot,Pambili,Pambili,official,-17.283333,30.45,ZW-000,,
-2322130,-3203786,spot,Sunrise,Sunrise,official,-18.371407,32.050644,ZW-MA,,
-2319530,-3200478,spot,Orchid,Orchid,official,-18.233333,29.75,ZW-000,,
-2323339,-3205401,spot,Vulcan,Vulcan,official,-18.283333,30.016667,ZW-000,,
-2317668,-3197859,hypsographic,Mutemwa,Mutemwa,official,-17.401872,32.276837,ZW-ME,,
-2309801,-3187597,spot,Credo,Credo,official,-19.016667,32.516667,ZW-000,,
-2320443,-3201558,spot,Ruimte,Ruimte,official,-19.809207,28.09272,ZW-MN,,
-2319527,-3200474,spot,Orangia,Orangia,official,-19.303608,30.748316,ZW-MI,,
-2310490,-3188450,spot,Druid,Druid,official,-20.566667,29.666667,ZW-000,,
-2310394,-3188341,spot,Dora,Dora,official,-17.55,29.966667,ZW-000,,
-2322035,-3203677,spot,Stow,Stow,official,-17.616667,30.45,ZW-000,,
-2319470,-3200409,spot,Odzi,Odzi,official,-18.951034,32.402808,ZW-MA,,
-2306992,-3184078,hydrographic,Austen,Austen,official,-18.64019,29.734777,ZW-MI,,
-2323402,-3205485,hypsographic,Waka,Waka,official,-19.883333,32.233333,ZW-000,,
